Unnamed: 0,Name,Team,Cmp,1D,1D%,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Drops,Drop%,BadTh,Bad%,Sk,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr,Link,Pass_Att,Pass_Yds,Pass_TD,Int,Sk_Yds,Pass_Lng,Rate,Rush_Att,Rush_Yds,Rush_TD,Rush_Lng,Fmb,FL,Pct,Date,Opponent,Hmcrt_adv,Stadium,Roof,Surface,Temperature,Humidity,Wind,Precipitation,Forecast
0,K.Cousins,Atlanta Falcons,20,11,35.5,163,5.6,86,4.3,3.0,144,7.2,0,0.0%,0,0.0%,2,0,0,0,2,6.5%,0,0.0,/players/C/CousKi00.htm,29,230,1,1,1,50,89.7,1,-1,0,0,2,0,100.0,922,Kansas City Chiefs,1,Mercedes-Benz,indoors,turf,86,54,8,2,Clear
1,P.Mahomes,Kansas City Chiefs,26,13,33.3,209,5.4,80,3.1,2.1,137,5.3,0,0.0%,0,0.0%,0,0,0,0,0,0.0%,3,10.0,/players/M/MahoPa00.htm,39,217,2,1,0,27,87.2,6,17,0,15,0,0,100.0,922,Atlanta Falcons,0,Mercedes-Benz,indoors,turf,86,54,8,2,Clear
2,M.Stafford,Los Angeles Rams,16,8,28.6,251,10.0,139,8.7,5.6,82,5.1,0,0.0%,0,0.0%,3,0,0,0,3,10.7%,0,0.0,/players/S/StafMa00.htm,25,221,1,0,23,50,105.6,0,0,0,0,0,0,100.0,922,San Francisco 49ers,1,SoFi,indoors,turf,70,61,6,0,Clear
3,B.Purdy,San Francisco 49ers,22,13,41.9,333,11.1,228,10.4,7.6,64,2.9,0,0.0%,0,0.0%,1,0,0,0,1,2.6%,7,5.3,/players/P/PurdBr00.htm,30,292,3,0,4,34,137.1,10,41,0,11,1,1,100.0,922,Los Angeles Rams,0,SoFi,indoors,turf,70,61,6,0,Clear
4,D.Carr,New Orleans Saints,14,7,26.9,168,6.7,92,6.6,3.7,50,3.6,0,0.0%,0,0.0%,1,0,0,0,1,3.7%,1,4.0,/players/C/CarrDe02.htm,25,142,1,1,12,29,69.1,2,3,0,4,0,0,100.0,922,Philadelphia Eagles,1,Caesars Superdome,indoors,turf,87,68,7,1,Mostly Cloudy
5,J.Hurts,Philadelphia Eagles,29,11,26.2,264,6.9,111,3.8,2.9,200,6.9,0,0.0%,0,0.0%,4,0,0,0,4,8.9%,3,10.7,/players/H/HurtJa00.htm,38,311,0,1,23,61,88.8,8,25,0,21,1,1,100.0,922,New Orleans Saints,0,Caesars Superdome,indoors,turf,87,68,7,1,Mostly Cloudy
6,B.Mayfield,Tampa Bay Buccaneers,25,11,27.5,113,3.4,54,2.2,1.6,109,4.4,0,0.0%,0,0.0%,7,0,0,0,7,17.5%,0,0.0,/players/M/MayfBa00.htm,33,163,1,1,31,13,83.3,0,0,0,0,0,0,100.0,922,Denver Broncos,1,Raymond James,outdoors,grass,85,59,5,10,Partly Cloudy
7,B.Nix,Denver Broncos,25,8,22.2,248,6.9,117,4.7,3.3,99,4.0,0,0.0%,0,0.0%,0,0,0,0,0,0.0%,3,10.0,/players/N/NixxBo00.htm,36,216,0,0,0,31,85.0,9,47,1,22,0,0,100.0,922,Tampa Bay Buccaneers,0,Raymond James,outdoors,grass,85,59,5,10,Partly Cloudy
8,D.Watson,Cleveland Browns,21,7,15.6,289,7.8,122,5.8,3.3,74,3.5,0,0.0%,0,0.0%,8,0,0,0,8,17.0%,2,13.5,/players/W/WatsDe00.htm,37,196,2,0,48,24,89.5,4,26,0,14,2,2,97.0,922,New York Giants,1,Huntington Bank Field,outdoors,grass,80,54,6,2,Clear
9,D.Jones,New York Giants,24,13,36.1,227,6.7,73,3.0,2.1,163,6.8,0,0.0%,0,0.0%,2,0,0,0,2,5.3%,2,4.5,/players/J/JoneDa05.htm,34,236,2,0,8,28,109.4,8,20,0,8,1,0,100.0,922,Cleveland Browns,0,Huntington Bank Field,outdoors,grass,80,54,6,2,Clear
