Unnamed: 0,Name,Team,Cmp,1D,1D%,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Drops,Drop%,BadTh,Bad%,Sk,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr,Link,Pass_Att,Pass_Yds,Pass_TD,Int,Sk_Yds,Pass_Lng,Rate,Rush_Att,Rush_Yds,Rush_TD,Rush_Lng,Fmb,FL,Pct,Date,Opponent,Hmcrt_adv,Stadium,Roof,Surface,Temperature,Humidity,Wind,Precipitation,Forecast
0,D.Carr,New Orleans Saints,16,8,32.0,214,8.6,104,6.5,4.2,165,10.3,0,0.0%,0,0.0%,0,0,0,0,0,0.0%,2,9.0,/players/C/CarrDe02.htm,25,269,2,0,0,67,126.9,4,17,0,13,1,0,96.0,1110,Atlanta Falcons,1,Caesars Superdome,indoors,turf,78,88,13,53,Rain
1,C.Stroud,Houston Texans,19,12,32.4,253,7.7,115,6.1,3.5,117,6.2,0,0.0%,0,0.0%,4,0,0,0,4,10.5%,1,5.0,/players/S/StroCJ00.htm,33,232,1,2,40,36,64.2,1,5,0,5,1,0,100.0,1110,Detroit Lions,1,NRG,indoors,turf,75,79,9,0,Clear
2,J.Goff,Detroit Lions,15,11,36.7,292,9.7,111,7.4,3.7,129,8.6,0,0.0%,0,0.0%,0,0,0,0,0,0.0%,1,2.0,/players/G/GoffJa00.htm,30,240,2,5,0,37,59.7,1,2,0,2,0,0,100.0,1110,Houston Texans,0,NRG,indoors,turf,75,79,9,0,Clear
3,K.Murray,Arizona Cardinals,22,15,60.0,111,4.6,86,3.9,3.6,180,8.2,0,0.0%,0,0.0%,1,0,0,0,1,4.0%,0,0.0,/players/M/MurrKy00.htm,24,266,1,0,7,44,126.7,3,21,2,12,1,0,88.0,1110,New York Jets,1,State Farm,indoors,grass,72,15,5,0,Clear
4,A.Rodgers,New York Jets,22,10,26.3,215,6.1,68,3.1,1.9,83,3.8,0,0.0%,0,0.0%,3,0,0,0,3,7.9%,0,0.0,/players/R/RodgAa00.htm,35,151,0,0,23,15,72.4,0,0,0,0,1,1,100.0,1110,Arizona Cardinals,0,State Farm,indoors,grass,72,15,5,0,Clear
5,M.Jones,Jacksonville Jaguars,14,5,20.0,177,8.0,59,4.2,2.7,52,3.7,0,0.0%,0,0.0%,3,0,0,0,3,11.1%,2,3.5,/players/J/JoneMa05.htm,22,111,0,2,24,23,38.3,5,8,1,5,1,1,100.0,1110,Minnesota Vikings,1,EverBank,outdoors,grass,78,79,16,39,Mostly Cloudy
6,S.Darnold,Minnesota Vikings,24,15,38.5,345,9.1,146,6.1,3.8,95,4.0,0,0.0%,0,0.0%,1,0,0,0,1,2.4%,3,9.0,/players/D/DarnSa00.htm,38,241,0,3,8,28,48.2,7,28,0,11,0,0,100.0,1110,Jacksonville Jaguars,0,EverBank,outdoors,grass,78,79,16,39,Mostly Cloudy
7,J.Daniels,Washington Commanders,17,7,18.9,234,6.9,115,6.8,3.4,87,5.1,0,0.0%,0,0.0%,3,0,0,0,3,7.7%,2,2.5,/players/D/DaniJa02.htm,34,202,0,0,20,54,68.5,3,5,0,4,0,0,100.0,1110,Pittsburgh Steelers,1,Northwest,outdoors,grass,54,49,7,21,Clear
8,R.Wilson,Pittsburgh Steelers,14,9,29.0,312,11.1,114,8.1,4.1,81,5.8,0,0.0%,0,0.0%,3,0,0,0,3,9.4%,1,6.0,/players/W/WilsRu00.htm,28,195,3,1,23,34,93.6,4,3,0,6,0,0,100.0,1110,Washington Commanders,0,Northwest,outdoors,grass,54,49,7,21,Clear
9,B.Young,Carolina Panthers,15,6,23.1,165,6.6,81,5.4,3.2,45,3.0,0,0.0%,0,0.0%,1,0,0,0,1,3.6%,2,15.0,/players/Y/YounBr01.htm,25,126,1,0,8,24,86.4,2,30,0,24,0,0,100.0,1110,New York Giants,1,Allianz Arena,outdoors,grass,43,88,8,4,Mostly Cloudy
