Unnamed: 0,Name,Team,Cmp,1D,1D%,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Drops,Drop%,BadTh,Bad%,Sk,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr,Link,Pass_Att,Pass_Yds,Pass_TD,Int,Sk_Yds,Pass_Lng,Rate,Rush_Att,Rush_Yds,Rush_TD,Rush_Lng,Fmb,FL,Pct,Date,Opponent,Hmcrt_adv,Stadium,Roof,Surface,Temperature,Humidity,Wind,Precipitation,Forecast
0,D.Prescott,Dallas Cowboys,27,13,31.0,329,8.4,139,5.1,3.6,154,5.7,0,0.0%,0,0.0%,3,0,0,0,3,7.0%,1,8.0,/players/P/PresDa01.htm,39,293,1,2,14,65,78.3,2,12,0,8,1,0,96.0,915,New Orleans Saints,1,AT&amp;T,indoors,turf,84,55,7,9,Clear
1,D.Carr,New Orleans Saints,11,8,47.1,135,8.4,110,10.0,6.9,133,12.1,0,0.0%,0,0.0%,1,0,0,0,1,5.9%,0,0.0,/players/C/CarrDe02.htm,16,243,2,1,1,70,125.0,1,1,1,1,0,0,90.0,915,Dallas Cowboys,0,AT&amp;T,indoors,turf,84,55,7,9,Clear
2,W.Levis,Tennessee Titans,19,7,21.9,284,10.1,110,5.8,3.9,82,4.3,0,0.0%,0,0.0%,4,0,0,0,4,11.4%,3,12.0,/players/L/LeviWi00.htm,28,192,1,1,22,40,84.2,4,38,0,21,1,1,100.0,915,New York Jets,1,Nissan,outdoors,grass,81,61,9,7,Clear
3,A.Rodgers,New York Jets,18,9,28.1,167,5.6,80,4.4,2.7,96,5.3,0,0.0%,0,0.0%,2,0,0,0,2,6.1%,1,2.0,/players/R/RodgAa00.htm,30,176,2,0,12,26,98.7,2,1,0,2,0,0,100.0,915,Tennessee Titans,0,Nissan,outdoors,grass,81,61,9,7,Clear
4,B.Nix,Denver Broncos,20,8,21.6,313,8.9,119,6.0,3.4,127,6.4,0,0.0%,0,0.0%,2,0,0,0,2,5.1%,2,3.5,/players/N/NixxBo00.htm,35,246,0,2,15,49,55.2,4,25,0,13,0,0,100.0,915,Pittsburgh Steelers,1,Empower Field at Mile High,outdoors,grass,82,16,10,17,Mostly Cloudy
5,J.Fields,Pittsburgh Steelers,13,7,31.8,137,6.9,65,5.0,3.3,52,4.0,0,0.0%,0,0.0%,2,0,0,0,2,7.7%,4,6.8,/players/F/FielJu00.htm,20,117,1,0,7,16,97.3,8,27,0,16,1,0,100.0,915,Denver Broncos,0,Empower Field at Mile High,outdoors,grass,82,16,10,17,Mostly Cloudy
6,T.Lawrence,Jacksonville Jaguars,14,9,26.5,364,12.1,145,10.4,4.8,75,5.4,0,0.0%,0,0.0%,4,0,0,0,4,11.1%,2,22.5,/players/L/LawrTr00.htm,30,220,0,0,24,66,71.5,2,45,0,33,1,0,100.0,915,Cleveland Browns,1,EverBank,outdoors,grass,80,77,10,27,Overcast
7,D.Watson,Cleveland Browns,22,7,19.4,218,6.4,120,5.5,3.5,66,3.0,0,0.0%,0,0.0%,2,0,0,0,2,5.3%,2,4.0,/players/W/WatsDe00.htm,34,186,0,0,14,30,78.8,5,20,1,9,0,0,96.0,915,Jacksonville Jaguars,0,EverBank,outdoors,grass,80,77,10,27,Overcast
8,B.Young,Carolina Panthers,18,3,10.7,71,2.7,22,1.2,0.8,62,3.4,0,0.0%,0,0.0%,2,0,0,0,2,6.9%,1,6.0,/players/Y/YounBr01.htm,26,84,0,1,15,12,57.2,1,6,0,6,0,0,100.0,915,Los Angeles Chargers,1,Bank of America,outdoors,grass,76,66,14,10,Mostly Cloudy
9,J.Herbert,Los Angeles Chargers,14,8,38.1,136,6.8,66,4.7,3.3,64,4.6,0,0.0%,0,0.0%,1,0,0,0,1,4.5%,1,8.0,/players/H/HerbJu00.htm,20,130,2,1,0,29,100.0,6,18,0,13,1,1,100.0,915,Carolina Panthers,0,Bank of America,outdoors,grass,76,66,14,10,Mostly Cloudy
10,S.Darnold,Minnesota Vikings,17,9,31.0,161,6.2,107,6.3,4.1,161,9.5,0,0.0%,0,0.0%,3,0,0,0,3,9.7%,2,17.0,/players/D/DarnSa00.htm,26,268,2,1,10,97,109.1,5,32,0,18,2,0,100.0,915,San Francisco 49ers,1,U.S. Bank,indoors,turf,79,67,8,2,Partly Cloudy
11,B.Purdy,San Francisco 49ers,28,17,40.5,289,8.0,231,8.3,6.4,88,3.1,0,0.0%,0,0.0%,6,0,0,0,6,13.6%,2,6.0,/players/P/PurdBr00.htm,36,319,1,1,22,28,101.3,2,12,0,11,1,1,100.0,915,Minnesota Vikings,0,U.S. Bank,indoors,turf,79,67,8,2,Partly Cloudy
12,K.Murray,Arizona Cardinals,17,9,40.9,214,10.2,165,9.7,7.9,101,5.9,0,0.0%,0,0.0%,1,0,0,0,1,3.8%,4,12.3,/players/M/MurrKy00.htm,21,266,3,0,8,60,158.3,5,59,0,26,0,0,91.0,915,Los Angeles Rams,1,State Farm,indoors,grass,99,26,8,10,Clear
13,M.Stafford,Los Angeles Rams,19,9,28.1,159,5.9,112,5.9,4.1,104,5.5,0,0.0%,0,0.0%,5,0,0,0,5,15.6%,0,0.0,/players/S/StafMa00.htm,27,216,0,0,24,42,94.1,0,0,0,0,1,1,100.0,915,Arizona Cardinals,0,State Farm,indoors,grass,99,26,8,10,Clear
14,M.Willis,Green Bay Packers,12,6,42.9,81,5.8,64,5.3,4.6,58,4.8,0,0.0%,0,0.0%,0,0,0,0,0,0.0%,2,11.0,/players/W/WillMa12.htm,14,122,1,0,0,39,126.8,6,41,0,19,0,0,100.0,915,Indianapolis Colts,1,Lambeau Field,outdoors,grass,82,58,7,1,Clear
15,A.Richardson,Indianapolis Colts,17,10,28.6,415,12.2,130,7.6,3.8,74,4.4,0,0.0%,0,0.0%,1,0,0,0,1,2.7%,2,16.0,/players/R/RichAn03.htm,34,204,1,3,6,30,41.8,4,37,0,21,2,0,100.0,915,Green Bay Packers,0,Lambeau Field,outdoors,grass,82,58,7,1,Clear
16,J.Daniels,Washington Commanders,23,11,32.4,108,3.7,81,3.5,2.8,145,6.3,0,0.0%,0,0.0%,5,0,0,0,5,13.2%,4,8.3,/players/D/DaniJa02.htm,29,226,0,0,16,34,99.1,10,44,0,14,0,0,99.0,915,New York Giants,1,Northwest,outdoors,grass,75,51,7,0,Partly Cloudy
17,D.Jones,New York Giants,16,11,37.9,220,7.9,79,4.9,2.8,99,6.2,0,0.0%,0,0.0%,1,0,0,0,1,3.3%,1,6.0,/players/J/JoneDa05.htm,28,178,2,0,3,28,100.0,5,32,0,9,0,0,100.0,915,Washington Commanders,0,Northwest,outdoors,grass,75,51,7,0,Partly Cloudy
18,J.Goff,Detroit Lions,34,15,27.3,368,6.7,168,4.9,3.1,139,4.1,0,0.0%,0,0.0%,0,0,0,0,0,0.0%,2,2.5,/players/G/GoffJa00.htm,55,307,0,2,0,50,61.7,2,5,0,3,0,0,100.0,915,Tampa Bay Buccaneers,1,Ford Field,indoors,turf,81,44,8,0,Clear
19,B.Mayfield,Tampa Bay Buccaneers,12,9,37.5,152,8.0,95,7.9,5.0,90,7.5,0,0.0%,0,0.0%,5,0,0,0,5,17.9%,4,8.8,/players/M/MayfBa00.htm,19,185,1,1,39,41,90.9,5,34,1,12,2,0,100.0,915,Detroit Lions,0,Ford Field,indoors,turf,81,44,8,0,Clear
20,C.Stroud,Houston Texans,23,11,28.2,260,7.2,128,5.6,3.6,132,5.7,0,0.0%,0,0.0%,3,0,0,0,3,7.7%,0,0.0,/players/S/StroCJ00.htm,36,260,1,0,25,28,94.7,1,-1,0,0,0,0,100.0,915,Chicago Bears,1,NRG,indoors,turf,88,58,8,21,Mostly Cloudy
21,C.Williams,Chicago Bears,23,7,15.9,274,7.4,43,1.9,1.2,131,5.7,0,0.0%,0,0.0%,7,0,0,0,7,14.6%,4,11.0,/players/W/WillCa03.htm,37,174,0,2,40,27,51.0,5,44,0,24,0,0,100.0,915,Houston Texans,0,NRG,indoors,turf,88,58,8,21,Mostly Cloudy
22,L.Jackson,Baltimore Ravens,21,14,38.9,266,7.8,149,7.1,4.4,98,4.7,0,0.0%,0,0.0%,2,0,0,0,2,5.3%,2,8.5,/players/J/JackLa00.htm,34,247,1,1,15,21,81.4,5,45,0,25,0,0,100.0,915,Las Vegas Raiders,1,M&amp;T Bank,outdoors,grass,78,47,13,0,Clear
23,G.Minshew,Las Vegas Raiders,30,14,32.6,238,6.3,153,5.1,4.0,123,4.1,0,0.0%,0,0.0%,5,0,0,0,5,11.6%,0,0.0,/players/M/MinsGa00.htm,38,276,1,1,43,30,94.7,1,-1,0,-1,1,0,100.0,915,Baltimore Ravens,0,M&amp;T Bank,outdoors,grass,78,47,13,0,Clear
