,Name,Team,Cmp,1D,1D%,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Drops,Drop%,BadTh,Bad%,Sk,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr,Link,Pass_Att,Pass_Yds,Pass_TD,Int,Sk_Yds,Pass_Lng,Rate,Rush_Att,Rush_Yds,Rush_TD,Rush_Lng,Fmb,FL,Pct,Date,Opponent,Hmcrt_adv,Stadium,Roof,Surface,Temperature,Humidity,Wind,Precipitation,Forecast
0,R.Wilson,Pittsburgh Steelers,16,12,40.0,246,8.5,149,9.3,5.1,115,7.2,0,0.0%,0,0.0%,1,0,0,0,1,3.2%,1,1.0,/players/W/WilsRu00.htm,29,264,2,0,4,44,109.0,3,3,1,1,0,0,100.0,1020,New York Jets,1,Acrisure,outdoors,grass,73,45,7,0,Clear
1,A.Rodgers,New York Jets,24,13,32.5,193,4.9,90,3.8,2.3,186,7.8,0,0.0%,0,0.0%,1,0,0,0,1,2.5%,0,0,/players/R/RodgAa00.htm,39,276,1,2,7,57,70.0,0,0,0,0,0,0,100.0,1020,Pittsburgh Steelers,0,Acrisure,outdoors,grass,73,45,7,0,Clear
2,D.Lock,New York Giants,3,0,0.0,71,8.9,-3,-1.0,-0.4,9,3.0,0,0.0%,0,0.0%,1,0,0,0,1,10.0%,1,13.0,/players/L/LockDr00.htm,8,6,0,0,6,5,45.8,1,13,0,13,2,0,21.0,1020,Philadelphia Eagles,1,MetLife,outdoors,turf,62,31,8,0,Foggy
3,D.Jones,New York Giants,14,6,21.4,128,6.1,48,3.4,2.3,51,3.6,0,0.0%,0,0.0%,7,0,0,0,7,23.3%,2,5.5,/players/J/JoneDa05.htm,21,99,0,0,56,14,77.3,5,20,0,9,0,0,79.0,1020,Philadelphia Eagles,1,MetLife,outdoors,turf,62,31,8,0,Foggy
4,J.Hurts,Philadelphia Eagles,10,6,33.3,100,7.1,76,7.6,5.4,38,3.8,0,0.0%,0,0.0%,4,0,0,0,4,19.0%,3,7.0,/players/H/HurtJa00.htm,14,114,1,0,36,41,119.3,7,22,2,16,0,0,82.0,1020,New York Giants,0,MetLife,outdoors,turf,62,31,8,0,Foggy
5,J.Love,Green Bay Packers,24,12,33.3,297,9.0,139,5.8,4.2,81,3.4,0,0.0%,0,0.0%,3,0,0,0,3,8.3%,0,0,/players/L/LoveJo03.htm,33,220,3,2,25,30,95.5,0,0,0,0,0,0,100.0,1020,Houston Texans,1,Lambeau Field,outdoors,grass,68,43,9,1,Clear
6,C.Stroud,Houston Texans,10,6,24.0,153,7.3,40,4.0,1.9,46,4.6,0,0.0%,0,0.0%,4,0,0,0,4,13.8%,4,5.0,/players/S/StroCJ00.htm,21,86,0,0,31,28,58.8,5,19,0,10,0,0,100.0,1020,Green Bay Packers,0,Lambeau Field,outdoors,grass,68,43,9,1,Clear
7,D.Watson,Cleveland Browns,15,5,26.3,111,6.5,78,5.2,4.6,50,3.3,0,0.0%,0,0.0%,2,0,0,0,2,10.5%,0,0,/players/W/WatsDe00.htm,17,128,0,0,13,21,98.0,2,0,0,2,0,0,39.0,1020,Cincinnati Bengals,1,Huntington Bank Field,outdoors,grass,67,51,5,1,Clear
8,D.Thompson-Robinson,Cleveland Browns,11,3,12.0,132,5.5,36,3.3,1.5,46,4.2,0,0.0%,0,0.0%,1,0,0,0,1,4.0%,0,0,/players/T/ThomDo02.htm,24,82,0,2,3,16,19.8,3,44,0,34,1,0,45.0,1020,Cincinnati Bengals,1,Huntington Bank Field,outdoors,grass,67,51,5,1,Clear
9,J.Burrow,Cincinnati Bengals,15,8,28.6,261,10.4,89,5.9,3.6,92,6.1,0,0.0%,0,0.0%,3,0,0,0,3,10.7%,0,0,/players/B/BurrJo01.htm,25,181,2,0,17,25,108.9,3,-3,0,0,0,0,100.0,1020,Cleveland Browns,0,Huntington Bank Field,outdoors,grass,67,51,5,1,Clear
