,Name,Team,Cmp,1D,1D%,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Drops,Drop%,BadTh,Bad%,Sk,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr,Link,Pass_Att,Pass_Yds,Pass_TD,Int,Sk_Yds,Pass_Lng,Rate,Rush_Att,Rush_Yds,Rush_TD,Rush_Lng,Fmb,FL,Pct,Date,Opponent,Hmcrt_adv,Stadium,Roof,Surface,Temperature,Humidity,Wind,Precipitation,Forecast
1,J.Flacco,Indianapolis Colts,23,11,25.6,376,9.4,170,7.4,4.3,94,4.1,0,0.0%,0,0.0%,3,0,0,0,3,7.0%,0,0,/players/F/FlacJo00.htm,40,264,1,0,12,40,85.8,0,0,0,0,0,0,100.0,100005,Jacksonville Jaguars,1,Lucas Oil,indoors,turf,21,71,5,83,Snow
3,M.Jones,Jacksonville Jaguars,20,10,29.4,262,8.2,125,6.3,3.9,100,5.0,0,0.0%,0,0.0%,2,0,0,0,2,5.6%,2,8.5,/players/J/JoneMa05.htm,32,225,1,1,19,41,80.9,5,17,0,12,0,0,100.0,100005,Indianapolis Colts,0,Lucas Oil,indoors,turf,21,71,5,83,Snow
5,T.Lance,Dallas Cowboys,20,12,33.3,213,6.3,103,5.2,3.0,141,7.1,0,0.0%,0,0.0%,2,0,0,0,2,5.4%,1,8.0,/players/L/LancTr00.htm,34,244,0,0,16,33,81.0,6,26,0,9,0,0,100.0,100005,Washington Commanders,1,AT&amp;T,indoors,turf,44,49,14,0,Clear
7,J.Daniels,Washington Commanders,6,1,6.3,111,9.3,4,0.7,0.3,34,5.7,0,0.0%,0,0.0%,4,0,0,0,4,23.5%,1,16.0,/players/D/DaniJa02.htm,12,38,0,0,18,11,56.9,4,27,0,16,0,0,45.0,100005,Dallas Cowboys,0,AT&amp;T,indoors,turf,44,49,14,0,Clear
9,M.Mariota,Washington Commanders,15,10,50.0,159,8.8,104,6.9,5.8,57,3.8,0,0.0%,0,0.0%,2,0,0,0,2,9.1%,2,4.0,/players/M/MariMa01.htm,18,161,2,0,25,29,141.0,5,56,1,33,0,0,55.0,100005,Dallas Cowboys,0,AT&amp;T,indoors,turf,44,49,14,0,Clear
11,B.Nix,Denver Broncos,26,15,51.7,164,5.7,131,5.0,4.5,190,7.3,0,0.0%,0,0.0%,0,0,0,0,0,0.0%,3,14.0,/players/N/NixxBo00.htm,29,321,4,0,0,47,152.4,7,47,0,27,0,0,88.0,100005,Kansas City Chiefs,1,Empower Field at Mile High,outdoors,grass,30,54,6,3,Partly Cloudy
13,C.Wentz,Kansas City Chiefs,10,4,19.0,120,7.1,45,4.5,2.6,53,5.3,0,0.0%,0,0.0%,4,0,0,0,4,19.0%,0,0,/players/W/WentCa00.htm,17,98,0,0,22,25,75.1,0,0,0,0,0,0,85.0,100005,Denver Broncos,0,Empower Field at Mile High,outdoors,grass,30,54,6,3,Partly Cloudy
15,A.Rodgers,New York Jets,23,14,35.9,210,5.8,125,5.4,3.5,149,6.5,0,0.0%,0,0.0%,3,0,0,0,3,7.7%,0,0,/players/R/RodgAa00.htm,36,274,4,1,17,43,112.5,0,0,0,0,0,0,100.0,100005,Miami Dolphins,1,MetLife,outdoors,turf,31,36,17,0,Clear
17,T.Huntley,Miami Dolphins,25,14,31.1,251,6.1,140,5.6,3.4,87,3.5,0,0.0%,0,0.0%,4,0,0,0,4,8.3%,3,5.3,/players/H/HuntTy01.htm,41,227,1,2,28,23,63.8,3,16,0,6,4,1,100.0,100005,New York Jets,0,MetLife,outdoors,turf,31,36,17,0,Clear
19,B.Mayfield,Tampa Bay Buccaneers,21,11,33.3,254,7.9,181,8.6,5.7,40,1.9,0,0.0%,0,0.0%,1,0,0,0,1,2.5%,7,10.9,/players/M/MayfBa00.htm,32,221,2,1,5,33,93.4,9,68,0,28,0,0,100.0,100005,New Orleans Saints,1,Raymond James,outdoors,grass,68,42,6,0,Partly Cloudy
