,Name,Team,Cmp,1D,1D%,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Drops,Drop%,BadTh,Bad%,Sk,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr,Link,Pass_Att,Pass_Yds,Pass_TD,Int,Sk_Yds,Pass_Lng,Rate,Rush_Att,Rush_Yds,Rush_TD,Rush_Lng,Fmb,FL,Pct,Date,Opponent,Hmcrt_adv,Stadium,Roof,Surface,Temperature,Humidity,Wind,Precipitation,Forecast
1,D.Lock,New York Giants,17,10,43.5,179,7.8,140,8.2,6.1,169,9.9,0,0.0%,0,0.0%,0,0,0,0,0,0.0%,1,5.0,/players/L/LockDr00.htm,23,309,4,0,0,59,155.3,5,0,1,5,0,0,100.0,1229,Indianapolis Colts,1,MetLife,outdoors,turf,54,93,0,10,Foggy
3,J.Flacco,Indianapolis Colts,26,16,40.0,383,10.1,205,7.9,5.4,125,4.8,0,0.0%,0,0.0%,2,0,0,0,2,5.0%,0,0,/players/F/FlacJo00.htm,38,330,2,2,10,49,90.9,1,1,0,1,1,1,100.0,1229,New York Giants,0,MetLife,outdoors,turf,54,93,0,10,Foggy
5,B.Mayfield,Tampa Bay Buccaneers,27,17,50.0,253,7.9,191,7.1,6.0,168,6.2,0,0.0%,0,0.0%,2,0,0,0,2,5.7%,1,2.0,/players/M/MayfBa00.htm,32,359,5,0,10,42,153.0,1,2,0,2,0,0,86.0,1229,Carolina Panthers,1,Raymond James,outdoors,grass,76,86,6,72,Mostly Cloudy
7,B.Young,Carolina Panthers,15,10,30.3,343,12.3,185,12.3,6.6,18,1.2,0,0.0%,0,0.0%,5,0,0,0,5,14.3%,2,4.0,/players/Y/YounBr01.htm,28,203,2,0,38,40,100.7,2,8,0,7,2,0,100.0,1229,Tampa Bay Buccaneers,0,Raymond James,outdoors,grass,76,86,6,72,Mostly Cloudy
9,J.Daniels,Washington Commanders,24,13,31.7,260,7.2,103,4.3,2.9,124,5.2,0,0.0%,0,0.0%,5,0,0,0,5,10.2%,8,9.5,/players/D/DaniJa02.htm,36,227,3,1,31,37,100.1,16,127,0,25,0,0,100.0,1229,Atlanta Falcons,1,Northwest,outdoors,grass,58,93,7,85,Overcast
11,M.Penix,Atlanta Falcons,19,11,29.7,420,12.0,140,7.4,4.0,83,4.4,0,0.0%,0,0.0%,2,0,0,0,2,5.3%,1,3.0,/players/P/PeniMi00.htm,35,223,1,1,12,31,71.5,2,3,0,3,2,0,100.0,1229,Washington Commanders,0,Northwest,outdoors,grass,58,93,7,85,Overcast
13,S.Rattler,New Orleans Saints,20,8,20.5,285,7.9,103,5.2,2.9,115,5.8,0,0.0%,0,0.0%,3,0,0,0,3,7.3%,2,9.0,/players/R/RattSp00.htm,36,218,1,2,27,30,59.7,3,46,0,28,1,0,100.0,1229,Las Vegas Raiders,1,Caesars Superdome,indoors,turf,61,84,9,0,Clear
15,A.O'Connell,Las Vegas Raiders,20,14,38.9,350,10.0,154,7.7,4.4,88,4.4,0,0.0%,0,0.0%,1,0,0,0,1,2.8%,0,0,/players/O/OConAi00.htm,35,242,2,0,10,29,97.6,3,-1,0,1,0,0,100.0,1229,New Orleans Saints,0,Caesars Superdome,indoors,turf,61,84,9,0,Clear
17,D.Thompson-Robinson,Cleveland Browns,24,7,14.6,263,5.6,100,4.2,2.1,70,2.9,0,0.0%,0,0.0%,1,0,0,0,1,2.1%,0,0,/players/T/ThomDo02.htm,47,170,0,1,8,17,50.8,4,10,0,9,1,1,100.0,1229,Miami Dolphins,1,Huntington Bank Field,outdoors,grass,61,76,9,71,Rain
19,T.Huntley,Miami Dolphins,22,12,40.0,144,5.5,123,5.6,4.7,102,4.6,0,0.0%,0,0.0%,4,0,0,0,4,11.4%,5,10.6,/players/H/HuntTy01.htm,26,225,1,0,19,25,115.5,7,52,1,18,1,0,100.0,1229,Cleveland Browns,0,Huntington Bank Field,outdoors,grass,61,76,9,71,Rain
21,T.McKee,Philadelphia Eagles,3,2,50.0,52,13.0,32,10.7,8.0,22,7.3,0,0.0%,0,0.0%,0,0,0,0,0,0.0%,0,0,/players/M/McKeTa01.htm,4,54,2,0,0,25,156.2,2,-2,0,-1,0,0,32.0,1229,Dallas Cowboys,1,Lincoln Financial Field,outdoors,grass,64,87,14,13,Mostly Cloudy
23,K.Pickett,Philadelphia Eagles,10,4,26.7,133,8.9,116,11.6,7.7,27,2.7,0,0.0%,0,0.0%,0,0,0,0,0,0.0%,0,0,/players/P/PickKe00.htm,15,143,1,0,0,49,119.6,3,3,1,2,0,0,68.0,1229,Dallas Cowboys,1,Lincoln Financial Field,outdoors,grass,64,87,14,13,Mostly Cloudy
25,C.Rush,Dallas Cowboys,15,7,24.1,261,9.3,81,5.4,2.9,66,4.4,0,0.0%,0,0.0%,1,0,0,0,1,3.4%,0,0,/players/R/RushCo00.htm,28,147,1,2,7,22,50.7,1,2,0,2,0,0,95.0,1229,Philadelphia Eagles,0,Lincoln Financial Field,outdoors,grass,64,87,14,13,Mostly Cloudy
27,S.Darnold,Minnesota Vikings,33,20,45.5,327,7.6,199,6.0,4.6,178,5.4,0,0.0%,0,0.0%,1,0,0,0,1,2.3%,0,0,/players/D/DarnSa00.htm,43,377,3,1,5,37,116.1,3,-3,0,-1,0,0,100.0,1229,Green Bay Packers,1,U.S. Bank,indoors,turf,37,95,6,9,Foggy
29,J.Love,Green Bay Packers,19,11,33.3,305,10.2,115,6.1,3.8,70,3.7,0,0.0%,0,0.0%,3,0,0,0,3,8.8%,1,6.0,/players/L/LoveJo03.htm,30,185,1,0,18,35,91.7,1,6,0,6,0,0,100.0,1229,Minnesota Vikings,0,U.S. Bank,indoors,turf,37,95,6,9,Foggy
31,J.Allen,Buffalo Bills,16,9,33.3,169,6.3,102,6.4,3.8,80,5.0,0,0.0%,0,0.0%,0,0,0,0,0,0.0%,1,10.0,/players/A/AlleJo02.htm,27,182,2,0,0,30,104.2,5,17,1,10,0,0,86.0,1229,New York Jets,1,Highmark,outdoors,turf,51,92,7,46,Rain
