,Name,Team,Cmp,1D,1D%,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Drops,Drop%,BadTh,Bad%,Sk,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr,Link,Pass_Att,Pass_Yds,Pass_TD,Int,Sk_Yds,Pass_Lng,Rate,Rush_Att,Rush_Yds,Rush_TD,Rush_Lng,Fmb,FL,Pct,Date,Opponent,Hmcrt_adv,Stadium,Roof,Surface,Temperature,Humidity,Wind,Precipitation,Forecast
1,P.Mahomes,Kansas City Chiefs,16,7,25.0,149,6.0,79,4.9,3.2,98,6.1,0,0.0%,0,0.0%,3,0,0,0,3,9.7%,3,6.7,/players/M/MahoPa00.htm,25,177,1,0,15,49,98.2,7,14,0,15,1,0,100.0,1000018,Houston Texans,1,GEHA Field at Arrowhead,outdoors,grass,23,52,17,1,Clear
3,C.Stroud,Houston Texans,19,12,33.3,269,9.6,185,9.7,6.6,60,3.2,0,0.0%,0,0.0%,8,0,0,0,8,19.5%,5,8.6,/players/S/StroCJ00.htm,28,245,0,0,58,34,95.1,6,42,0,28,1,0,100.0,1000018,Kansas City Chiefs,0,GEHA Field at Arrowhead,outdoors,grass,23,52,17,1,Clear
5,J.Goff,Detroit Lions,23,17,40.5,332,8.3,160,7.0,4.0,153,6.7,0,0.0%,0,0.0%,2,0,0,0,2,4.7%,1,7.0,/players/G/GoffJa00.htm,40,313,1,3,16,34,59.7,1,7,0,7,1,1,96.0,1000018,Washington Commanders,1,Ford Field,indoors,turf,27,73,7,0,Clear
7,J.Daniels,Washington Commanders,22,12,38.7,181,5.8,111,5.0,3.6,188,8.5,0,0.0%,0,0.0%,0,0,0,0,0,0.0%,5,5.0,/players/D/DaniJa02.htm,31,299,2,0,0,58,122.9,16,51,0,15,0,0,100.0,1000018,Detroit Lions,0,Ford Field,indoors,turf,27,73,7,0,Clear
