Unnamed: 0,Name,Team,Cmp,1D,1D%,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Drops,Drop%,BadTh,Bad%,Sk,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr,Link,Pass_Att,Pass_Yds,Pass_TD,Int,Sk_Yds,Pass_Lng,Rate,Rush_Att,Rush_Yds,Rush_TD,Rush_Lng,Fmb,FL,Pct,Date,Opponent,Hmcrt_adv,Stadium,Roof,Surface,Temperature,Humidity,Wind,Precipitation,Forecast
0,A.O'Connell,Las Vegas Raiders,27,11,26.8,228,5.7,82,3.0,2.1,145,5.4,0,0.0%,0,0.0%,1,0,0,0,1,2.4%,0,0.0,/players/O/OConAi00.htm,40,227,1,1,9,30,79.9,0,0,0,0,0,0,100.0,1013,Pittsburgh Steelers,1,Allegiant,indoors,grass,84,9,5,0,Clear
1,J.Fields,Pittsburgh Steelers,14,6,22.2,210,8.8,101,7.2,4.2,44,3.1,0,0.0%,0,0.0%,3,0,0,0,3,9.7%,4,8.5,/players/F/FielJu00.htm,24,145,0,0,35,31,75.9,11,59,2,18,1,0,100.0,1013,Las Vegas Raiders,0,Allegiant,indoors,grass,84,9,5,0,Clear
2,C.Rush,Dallas Cowboys,8,4,36.4,43,3.9,22,2.8,2.0,24,3.0,0,0.0%,0,0.0%,0,0,0,0,0,0.0%,0,0.0,/players/R/RushCo00.htm,11,46,0,1,0,15,42.2,1,2,0,2,0,0,26.0,1013,Detroit Lions,1,AT&amp;T,indoors,turf,95,21,8,1,Clear
3,D.Prescott,Dallas Cowboys,17,6,16.2,292,8.8,96,5.6,2.9,82,4.8,0,0.0%,0,0.0%,4,0,0,0,4,10.5%,1,1.0,/players/P/PresDa01.htm,33,178,0,2,26,27,42.2,1,1,0,1,0,0,74.0,1013,Detroit Lions,1,AT&amp;T,indoors,turf,95,21,8,1,Clear
4,J.Goff,Detroit Lions,18,13,48.1,259,10.4,148,8.2,5.9,167,9.3,0,0.0%,0,0.0%,2,0,0,0,2,6.9%,2,3.0,/players/G/GoffJa00.htm,25,315,3,0,17,52,153.7,3,5,0,5,0,0,84.0,1013,Dallas Cowboys,0,AT&amp;T,indoors,turf,95,21,8,1,Clear
5,A.Dalton,Carolina Panthers,26,12,31.6,265,7.0,147,5.7,3.9,74,2.8,0,0.0%,0,0.0%,0,0,0,0,0,0.0%,2,9.5,/players/D/DaltAn00.htm,38,221,2,2,0,21,78.9,3,21,0,18,0,0,100.0,1013,Atlanta Falcons,1,Bank of America,outdoors,grass,81,44,9,1,Clear
6,K.Cousins,Atlanta Falcons,19,11,36.7,182,6.1,122,6.4,4.1,103,5.4,0,0.0%,0,0.0%,0,0,0,0,0,0.0%,0,0.0,/players/C/CousKi00.htm,30,225,1,0,0,52,97.2,4,-5,0,0,0,0,100.0,1013,Carolina Panthers,0,Bank of America,outdoors,grass,81,44,9,1,Clear
7,C.Williams,Chicago Bears,23,14,43.8,118,4.1,87,3.8,3.0,139,6.0,0,0.0%,0,0.0%,3,0,0,0,3,8.8%,2,21.0,/players/W/WillCa03.htm,29,226,4,1,5,31,124.4,4,56,0,23,0,0,95.0,1013,Jacksonville Jaguars,1,Tottenham,outdoors,grass,57,77,6,2,Overcast
8,T.Lawrence,Jacksonville Jaguars,23,14,36.8,300,8.6,113,4.9,3.2,121,5.3,0,0.0%,0,0.0%,3,0,0,0,3,7.3%,3,6.0,/players/L/LawrTr00.htm,35,234,2,1,20,24,91.8,4,17,0,10,0,0,95.0,1013,Chicago Bears,0,Tottenham,outdoors,grass,57,77,6,2,Overcast
9,L.Jackson,Baltimore Ravens,20,16,57.1,250,9.6,174,8.7,6.7,149,7.5,0,0.0%,0,0.0%,2,0,0,0,2,6.9%,1,4.0,/players/J/JackLa00.htm,26,323,1,1,15,44,114.7,11,40,0,33,0,0,100.0,1013,Washington Commanders,1,M&amp;T Bank,outdoors,grass,74,39,10,2,Clear
