,Name,Team,Cmp,1D,1D%,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Drops,Drop%,BadTh,Bad%,Sk,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr,Link,Pass_Att,Pass_Yds,Pass_TD,Int,Sk_Yds,Pass_Lng,Rate,Rush_Att,Rush_Yds,Rush_TD,Rush_Lng,Fmb,FL,Pct,Date,Opponent,Hmcrt_adv,Stadium,Roof,Surface,Temperature,Humidity,Wind,Precipitation,Forecast
0,J.Love,Green Bay Packers,23,10,25.6,364,9.3,182,7.9,4.7,91,4.0,0,0.0%,0,0.0%,0,0,0,0,0,0.0%,0,0,/players/L/LoveJo03.htm,39,273,0,1,0,41,69.7,3,0,0,0,3,0,100.0,1103,Detroit Lions,1,Lambeau Field,outdoors,grass,51,80,9,98,Rain
1,J.Goff,Detroit Lions,18,8,34.8,81,3.7,58,3.2,2.6,87,4.8,0,0.0%,0,0.0%,1,0,0,0,1,4.3%,0,0,/players/G/GoffJa00.htm,22,145,1,0,8,26,109.3,3,-2,0,0,0,0,100.0,1103,Green Bay Packers,0,Lambeau Field,outdoors,grass,51,80,9,98,Rain
2,M.Rudolph,Tennessee Titans,20,13,38.2,309,9.4,159,8.0,4.8,81,4.1,0,0.0%,0,0.0%,1,0,0,0,1,2.8%,2,8.0,/players/R/RudoMa00.htm,33,240,2,1,7,25,90.5,4,19,0,13,1,0,100.0,1103,New England Patriots,1,Nissan,outdoors,grass,81,60,17,4,Mostly Cloudy
3,D.Maye,New England Patriots,29,10,22.2,300,7.3,72,2.5,1.8,134,4.6,0,0.0%,0,0.0%,4,0,0,0,4,7.7%,7,13.6,/players/M/MayeDr00.htm,41,206,1,2,21,21,69.8,8,95,0,26,2,1,100.0,1103,Tennessee Titans,0,Nissan,outdoors,grass,81,60,17,4,Mostly Cloudy
4,K.Cousins,Atlanta Falcons,19,12,46.2,136,5.7,78,4.1,3.3,144,7.6,0,0.0%,0,0.0%,2,0,0,0,2,7.7%,0,0,/players/C/CousKi00.htm,24,222,3,0,12,36,144.8,4,-11,0,0,2,1,100.0,1103,Dallas Cowboys,1,Mercedes-Benz,indoors,turf,66,76,6,0,Overcast
5,D.Prescott,Dallas Cowboys,18,6,22.2,90,3.8,49,2.7,2.0,84,4.7,0,0.0%,0,0.0%,3,0,0,0,3,10.3%,2,13.5,/players/P/PresDa01.htm,24,133,1,0,7,27,101.6,3,30,0,22,0,0,61.0,1103,Atlanta Falcons,0,Mercedes-Benz,indoors,turf,66,76,6,0,Overcast
6,C.Rush,Dallas Cowboys,13,7,28.0,204,8.2,69,5.3,2.8,46,3.5,0,0.0%,0,0.0%,0,0,0,0,0,0.0%,0,0,/players/R/RushCo00.htm,25,115,1,0,0,22,77.9,1,4,0,4,1,0,39.0,1103,Atlanta Falcons,0,Mercedes-Benz,indoors,turf,66,76,6,0,Overcast
7,D.Jones,New York Giants,20,10,35.7,193,7.4,133,6.7,5.1,41,2.1,0,0.0%,0,0.0%,2,0,0,0,2,6.9%,1,11.0,/players/J/JoneDa05.htm,26,174,2,0,12,35,119.7,7,54,1,24,1,1,100.0,1103,Washington Commanders,1,MetLife,outdoors,turf,52,31,6,0,Clear
8,J.Daniels,Washington Commanders,15,8,36.4,132,6.0,102,6.8,4.6,107,7.1,0,0.0%,0,0.0%,0,0,0,0,0,0.0%,3,9.7,/players/D/DaniJa02.htm,22,209,2,0,0,42,128.8,8,35,0,16,0,0,100.0,1103,New York Giants,0,MetLife,outdoors,turf,52,31,6,0,Clear
9,B.Young,Carolina Panthers,16,8,29.6,211,8.1,65,4.1,2.5,106,6.6,0,0.0%,0,0.0%,1,0,0,0,1,3.4%,2,6.0,/players/Y/YounBr01.htm,26,171,1,1,5,46,77.6,4,9,0,9,0,0,100.0,1103,New Orleans Saints,1,Bank of America,outdoors,grass,64,42,7,0,Mostly Cloudy
10,D.Carr,New Orleans Saints,18,12,37.5,199,6.4,77,4.3,2.5,159,8.8,0,0.0%,0,0.0%,1,0,0,0,1,3.1%,0,0,/players/C/CarrDe02.htm,31,236,1,0,6,25,92.9,0,0,0,0,0,0,99.0,1103,Carolina Panthers,0,Bank of America,outdoors,grass,64,42,7,0,Mostly Cloudy
11,J.Hurts,Philadelphia Eagles,18,11,40.7,236,9.8,170,9.4,7.1,60,3.3,0,0.0%,0,0.0%,3,0,0,0,3,9.1%,6,7.7,/players/H/HurtJa00.htm,24,230,2,0,20,46,132.3,13,67,1,21,0,0,100.0,1103,Jacksonville Jaguars,1,Lincoln Financial Field,outdoors,grass,58,34,6,0,Partly Cloudy
12,T.Lawrence,Jacksonville Jaguars,16,9,27.3,286,9.2,121,7.6,3.9,48,3.0,0,0.0%,0,0.0%,2,0,0,0,2,5.7%,2,4.0,/players/L/LawrTr00.htm,31,169,0,2,14,24,40.9,5,8,2,4,0,0,100.0,1103,Philadelphia Eagles,0,Lincoln Financial Field,outdoors,grass,58,34,6,0,Partly Cloudy
13,J.Winston,Cleveland Browns,26,14,26.9,395,8.6,189,7.3,4.1,46,1.8,0,0.0%,0,0.0%,6,0,0,0,6,10.7%,4,6.3,/players/W/WinsJa00.htm,46,235,1,3,22,21,50.5,5,27,0,13,1,0,100.0,1103,Los Angeles Chargers,1,Huntington Bank Field,outdoors,grass,62,32,11,0,Clear
14,J.Herbert,Los Angeles Chargers,18,10,30.3,271,10.0,153,8.5,5.7,129,7.2,0,0.0%,0,0.0%,6,0,0,0,6,17.6%,1,4.0,/players/H/HerbJu00.htm,27,282,2,0,36,66,125.8,3,2,0,4,0,0,100.0,1103,Cleveland Browns,0,Huntington Bank Field,outdoors,grass,62,32,11,0,Clear
15,L.Jackson,Baltimore Ravens,16,12,60.0,150,7.9,141,8.8,7.4,139,8.7,0,0.0%,0,0.0%,1,0,0,0,1,4.5%,2,6.0,/players/J/JackLa00.htm,19,280,3,0,11,53,158.3,3,4,0,11,1,0,89.0,1103,Denver Broncos,1,M&amp;T Bank,outdoors,grass,56,29,5,0,Clear
