Unnamed: 0,Name,Team,Cmp,1D,1D%,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Drops,Drop%,BadTh,Bad%,Sk,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr,Link,Pass_Att,Pass_Yds,Pass_TD,Int,Sk_Yds,Pass_Lng,Rate,Rush_Att,Rush_Yds,Rush_TD,Rush_Lng,Fmb,FL,Pct,Date,Opponent,Hmcrt_adv,Stadium,Roof,Surface,Temperature,Humidity,Wind,Precipitation,Forecast
0,C.Rush,Dallas Cowboys,16,9,26.5,249,8.0,97,6.1,3.1,86,5.4,0,0.0%,0,0.0%,3,0,0,0,3,8.6%,1,3.0,/players/R/RushCo00.htm,31,183,2,1,17,43,77.8,2,5,0,3,0,0,100.0,129,Cincinnati Bengals,1,AT&amp;T,indoors,turf,61,53,7,0,Clear
1,J.Burrow,Cincinnati Bengals,33,18,39.1,278,6.3,162,4.9,3.7,207,6.3,0,0.0%,0,0.0%,2,0,0,0,2,4.3%,0,0.0,/players/B/BurrJo01.htm,44,369,3,1,10,40,112.8,2,-2,0,-1,1,0,100.0,129,Dallas Cowboys,0,AT&amp;T,indoors,turf,61,53,7,0,Clear
