Unnamed: 0,Name,Team,Cmp,1D,1D%,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Drops,Drop%,BadTh,Bad%,Sk,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr,Link,Pass_Att,Pass_Yds,Pass_TD,Int,Sk_Yds,Pass_Lng,Rate,Rush_Att,Rush_Yds,Rush_TD,Rush_Lng,Fmb,FL,Pct,Date,Opponent,Hmcrt_adv,Stadium,Roof,Surface,Temperature,Humidity,Wind,Precipitation,Forecast
0,T.Tagovailoa,Miami Dolphins,33,21,44.7,286,6.1,132,4.0,2.8,199,6.0,0,0.0%,0,0.0%,0,0,0,0,0,0.0%,1,3.0,/players/T/TagoTu00.htm,47,331,2,0,0,21,104.1,1,3,0,3,0,0,100.0,1208,New York Jets,1,Hard Rock,outdoors,grass,78,57,13,1,Mostly Cloudy
1,A.Rodgers,New York Jets,27,18,42.9,262,6.7,160,5.9,4.1,179,6.6,0,0.0%,0,0.0%,3,0,0,0,3,7.1%,0,0.0,/players/R/RodgAa00.htm,39,339,1,0,20,42,104.5,0,0,0,0,0,0,100.0,1208,Miami Dolphins,0,Hard Rock,outdoors,grass,78,57,13,1,Mostly Cloudy
2,R.Wilson,Pittsburgh Steelers,15,6,22.2,206,7.9,84,5.6,3.2,74,4.9,0,0.0%,0,0.0%,1,0,0,0,1,3.4%,2,6.0,/players/W/WilsRu00.htm,26,158,2,0,11,22,101.1,6,17,0,8,0,0,100.0,1208,Cleveland Browns,1,Acrisure,outdoors,grass,48,60,14,1,Clear
3,J.Winston,Cleveland Browns,24,11,25.0,325,7.9,149,6.2,3.6,63,2.6,0,0.0%,0,0.0%,3,0,0,0,3,6.7%,1,5.0,/players/W/WinsJa00.htm,41,212,2,2,16,35,68.3,4,28,0,11,1,0,100.0,1208,Pittsburgh Steelers,0,Acrisure,outdoors,grass,48,60,14,1,Clear
4,B.Purdy,San Francisco 49ers,20,13,50.0,244,9.8,167,8.4,6.7,158,7.9,0,0.0%,0,0.0%,1,0,0,0,1,3.7%,1,5.0,/players/P/PurdBr00.htm,25,325,2,0,4,39,145.4,5,11,0,5,0,0,93.0,1208,Chicago Bears,1,Levi's,outdoors,grass,66,53,6,0,Mostly Cloudy
5,C.Williams,Chicago Bears,17,9,30.0,143,6.2,65,3.8,2.8,69,4.1,0,0.0%,0,0.0%,7,0,0,0,7,21.9%,2,9.5,/players/W/WillCa03.htm,23,134,2,0,46,17,116.9,4,27,0,10,1,1,92.0,1208,San Francisco 49ers,0,Levi's,outdoors,grass,66,53,6,0,Mostly Cloudy
6,S.Darnold,Minnesota Vikings,22,15,46.9,291,10.4,237,10.8,8.5,110,5.0,0,0.0%,0,0.0%,4,0,0,0,4,11.8%,2,4.0,/players/D/DarnSa00.htm,28,347,5,0,29,52,157.9,4,7,0,5,0,0,97.0,1208,Atlanta Falcons,1,U.S. Bank,indoors,turf,38,70,7,4,Overcast
7,K.Cousins,Atlanta Falcons,23,15,39.5,305,8.2,195,8.5,5.3,149,6.5,0,0.0%,0,0.0%,1,0,0,0,1,2.6%,0,0.0,/players/C/CousKi00.htm,37,344,0,2,6,49,70.1,0,0,0,0,0,0,100.0,1208,Minnesota Vikings,0,U.S. Bank,indoors,turf,38,70,7,4,Overcast
8,J.Hurts,Philadelphia Eagles,14,7,28.0,124,5.9,65,4.6,3.1,43,3.1,0,0.0%,0,0.0%,4,0,0,0,4,14.8%,2,25.0,/players/H/HurtJa00.htm,21,108,2,0,25,27,110.8,8,59,1,35,1,0,100.0,1208,Carolina Panthers,1,Lincoln Financial Field,outdoors,grass,57,44,14,0,Mostly Cloudy
9,B.Young,Carolina Panthers,19,11,31.4,366,10.8,139,7.3,4.1,52,2.7,0,0.0%,0,0.0%,1,0,0,0,1,2.4%,6,5.0,/players/Y/YounBr01.htm,34,191,1,1,7,31,69.6,7,29,0,11,0,0,100.0,1208,Philadelphia Eagles,0,Lincoln Financial Field,outdoors,grass,57,44,14,0,Mostly Cloudy
