Unnamed: 0,Name,Team,Cmp,1D,1D%,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Drops,Drop%,BadTh,Bad%,Sk,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr,Link,Pass_Att,Pass_Yds,Pass_TD,Int,Sk_Yds,Pass_Lng,Rate,Rush_Att,Rush_Yds,Rush_TD,Rush_Lng,Fmb,FL,Pct,Date,Opponent,Hmcrt_adv,Stadium,Roof,Surface,Temperature,Humidity,Wind,Precipitation,Forecast
0,G.Smith,Seattle Seahawks,30,18,34.0,443,8.5,139,4.6,2.7,173,5.8,0,0.0%,0,0.0%,1,0,0,0,1,1.9%,0,0.0,/players/S/SmitGe00.htm,52,312,1,2,6,37,65.5,1,0,0,0,0,0,100.0,1010,San Francisco 49ers,1,Lumen Field,outdoors,turf,60,70,5,0,Clear
1,B.Purdy,San Francisco 49ers,18,10,35.7,200,7.1,128,7.1,4.6,127,7.1,0,0.0%,0,0.0%,0,0,0,0,0,0.0%,3,6.7,/players/P/PurdBr00.htm,28,255,3,0,0,76,129.3,4,19,0,10,0,0,100.0,1010,Seattle Seahawks,0,Lumen Field,outdoors,turf,60,70,5,0,Clear
