Play,Expert,Team,Name,Opponent,Hmcrt_adv,All Game Percentages,All Game Correct,Last 3 Percentages,Last 3 Correct,Last 5 Percentages,Last 5 Correct,Temperature,Wind,Humidity,Precipitation,Forecast,Stadium,Roof,Surface,Odds,Units,Payout,Profit
B.Robinson o0.5 rush_td+rec_td,LinesAtLunch,Atlanta Falcons,b.robinson,Tampa Bay Buccaneers,1.0,0.25,0,0.3333333333333333,0,0.25,0,74,5,80,4,Partly Cloudy,Mercedes-Benz,indoors,turf,-135.0,1.35,2.35,1.0
B.Irving o0.5 rush_td+rec_td,shadybiev,Tampa Bay Buccaneers,b.irving,Atlanta Falcons,0.0,0.25,0,0.3333333333333333,0,0.25,0,74,5,80,4,Partly Cloudy,Mercedes-Benz,indoors,turf,150.0,1.5,3.75,2.25
K.Pitts o0.5 rush_td+rec_td,charliedisturco,Atlanta Falcons,k.pitts,Tampa Bay Buccaneers,1.0,0.25,0,0.0,0,0.25,0,74,5,78,1,Mostly Cloudy,Mercedes-Benz,indoors,turf,310.0,0.15,0.6149999999999999,0.4649999999999998
K.Pitts o0.5 rush_td+rec_td,daletanhardt,Atlanta Falcons,k.pitts,Tampa Bay Buccaneers,1.0,0.25,0,0.0,0,0.25,0,83,10,78,1,Mostly Cloudy,Mercedes-Benz,indoors,turf,310.0,1.2,4.919999999999999,3.719999999999999
K.Pitts o0.5 rush_td+rec_td,theprophunter0_,Atlanta Falcons,k.pitts,Tampa Bay Buccaneers,1.0,0.25,0,0.0,0,0.25,0,80,6,78,1,Mostly Cloudy,Mercedes-Benz,indoors,turf,240.0,0.5,1.7,1.2
K.Pitts o0.5 rush_td+rec_td,sirlockselot_,Atlanta Falcons,k.pitts,Tampa Bay Buccaneers,1.0,0.25,0,0.0,0,0.25,0,80,6,78,1,Mostly Cloudy,Mercedes-Benz,indoors,turf,310.0,1.0,4.1,3.1
