,Name,Team,Tgt,Rec,Rec_Yds,Rec_TD,Rush_Att,Rush_Yds,Rush_TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br,Rush_Lng,Rec_Lng,FL,Pct,Date,Opponent,Hmcrt_adv,Stadium,Roof,Surface,Temperature,Humidity,Wind,Precipitation,Forecast
1,R.Odunze,Chicago Bears,4,1,15,0,0,0,0,0,0,0,0,0,0,0,0,15,0,92.0,1226,Seattle Seahawks,1,Soldier Field,outdoors,grass,49,89,7,34,Overcast
3,R.Johnson,Chicago Bears,0,0,0,0,4,5,0,1,5,1.3,0,0.0,0,0,3,0,0,33.0,1226,Seattle Seahawks,1,Soldier Field,outdoors,grass,49,89,7,34,Overcast
5,D.Moore,Chicago Bears,8,6,54,0,2,8,0,0,8,4.0,0,0.0,0,0,11,18,0,95.0,1226,Seattle Seahawks,1,Soldier Field,outdoors,grass,49,89,7,34,Overcast
7,D.Swift,Chicago Bears,5,4,28,0,12,53,0,2,53,4.4,0,0.0,0,0,12,24,0,66.0,1226,Seattle Seahawks,1,Soldier Field,outdoors,grass,49,89,7,34,Overcast
9,C.Williams,Chicago Bears,0,0,0,0,5,37,0,1,37,7.4,0,0.0,0,0,16,0,0,100.0,1226,Seattle Seahawks,1,Soldier Field,outdoors,grass,49,89,7,34,Overcast
11,J.Smith-Njigba,Seattle Seahawks,6,3,32,0,0,0,0,0,0,0,0,0,0,0,0,19,0,96.0,1226,Chicago Bears,0,Soldier Field,outdoors,grass,49,89,7,34,Overcast
13,K.McIntosh,Seattle Seahawks,0,0,0,0,7,46,0,1,46,6.6,0,0.0,0,0,25,0,0,25.0,1226,Chicago Bears,0,Soldier Field,outdoors,grass,49,89,7,34,Overcast
15,Z.Charbonnet,Seattle Seahawks,3,3,19,0,15,57,0,3,57,3.8,0,0.0,0,0,11,11,0,75.0,1226,Chicago Bears,0,Soldier Field,outdoors,grass,49,89,7,34,Overcast
17,G.Smith,Seattle Seahawks,0,0,0,0,3,19,0,1,19,6.3,0,0.0,0,0,16,0,0,100.0,1226,Chicago Bears,0,Soldier Field,outdoors,grass,49,89,7,34,Overcast
18,D.Metcalf,Seattle Seahawks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1226,Chicago Bears,0,Soldier Field,outdoors,grass,49,89,7,34,Overcast
19,N.Fant,Seattle Seahawks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1226,Chicago Bears,0,Soldier Field,outdoors,grass,49,89,7,34,Overcast
20,K.Allen,Chicago Bears,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1226,Seattle Seahawks,1,Soldier Field,outdoors,grass,49,89,7,34,Overcast
21,T.Lockett,Seattle Seahawks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1226,Chicago Bears,0,Soldier Field,outdoors,grass,49,89,7,34,Overcast
22,G.Everett,Chicago Bears,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1226,Seattle Seahawks,1,Soldier Field,outdoors,grass,49,89,7,34,Overcast
23,P.Brown,Seattle Seahawks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,1226,Chicago Bears,0,Soldier Field,outdoors,grass,49,89,7,34,Overcast
