Unnamed: 0,Name,Team,Tgt,Rec,Rec_Yds,Rec_TD,Rush_Att,Rush_Yds,Rush_TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br,Rush_Lng,Rec_Lng,FL,Rush_1D,Rush_YBC,Rush_YBC/Att,Rush_YAC,Rush_YAC/Att,Rush_BrkTkl,Pct,Date,Opponent,Hmcrt_adv,Stadium,Roof,Surface,Temperature,Humidity,Wind,Precipitation,Forecast
0.0,J.Reed,Green Bay Packers,3,3,26,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,13,0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,1124,San Francisco 49ers,1,Lambeau Field,outdoors,grass,63,86,7,0,Mostly Cloudy
1.0,T.Kraft,Green Bay Packers,2,2,26,1,0,0,0,0,0,0.0,0,0.0,0,0.0,0,15,0,0.0,0.0,0.0,0.0,0.0,0.0,79.0,1124,San Francisco 49ers,1,Lambeau Field,outdoors,grass,63,86,7,0,Mostly Cloudy
2.0,C.Watson,Green Bay Packers,3,0,0,0,1,4,0,0,4,4.0,0,0.0,0,0.0,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,1124,San Francisco 49ers,1,Lambeau Field,outdoors,grass,63,86,7,0,Mostly Cloudy
3.0,B.Melton,Green Bay Packers,1,0,0,0,1,5,0,0,5,5.0,0,0.0,0,0.0,5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,1124,San Francisco 49ers,1,Lambeau Field,outdoors,grass,63,86,7,0,Mostly Cloudy
4.0,C.Brooks,Green Bay Packers,1,1,15,0,4,11,0,0,11,2.8,0,0.0,0,0.0,5,15,0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,1124,San Francisco 49ers,1,Lambeau Field,outdoors,grass,63,86,7,0,Mostly Cloudy
5.0,E.Wilson,Green Bay Packers,0,0,0,0,9,41,0,3,41,4.6,0,0.0,0,0.0,19,0,0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,1124,San Francisco 49ers,1,Lambeau Field,outdoors,grass,63,86,7,0,Mostly Cloudy
6.0,J.Jacobs,Green Bay Packers,1,0,0,0,26,106,3,8,106,4.1,0,0.0,0,0.0,18,0,0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,1124,San Francisco 49ers,1,Lambeau Field,outdoors,grass,63,86,7,0,Mostly Cloudy
7.0,J.Love,Green Bay Packers,0,0,0,0,1,2,0,0,0,0.0,0,0.0,0,0.0,2,0,0,1.0,2.0,2.0,0.0,0.0,0.0,94.0,1124,San Francisco 49ers,1,Lambeau Field,outdoors,grass,63,86,7,0,Mostly Cloudy
8.0,K.Juszczyk,San Francisco 49ers,1,1,14,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,14,0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,1124,Green Bay Packers,0,Lambeau Field,outdoors,grass,77,66,13,4,Clear
9.0,D.Samuel,San Francisco 49ers,4,1,21,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,21,0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,1124,Green Bay Packers,0,Lambeau Field,outdoors,grass,77,66,13,4,Clear
10.0,C.McCaffrey,San Francisco 49ers,4,3,37,0,11,31,0,2,31,2.8,0,0.0,0,0.0,9,23,1,0.0,0.0,0.0,0.0,0.0,0.0,82.0,1124,Green Bay Packers,0,Lambeau Field,outdoors,grass,77,66,13,4,Clear
11.0,B.Allen,San Francisco 49ers,0,0,0,0,2,5,0,0,0,0.0,0,0.0,0,0.0,6,0,1,0.0,5.0,2.5,0.0,0.0,0.0,100.0,1124,Green Bay Packers,0,Lambeau Field,outdoors,grass,77,66,13,4,Clear
12.0,T.McLaurin,Washington Commanders,6,5,102,1,0,0,0,0,0,0.0,0,0.0,0,0.0,0,86,0,0.0,0.0,0.0,0.0,0.0,0.0,81.0,1124,Dallas Cowboys,1,Northwest,outdoors,grass,90,72,6,66,Mostly Cloudy
13.0,D.Brown,Washington Commanders,2,2,22,0,1,14,0,1,14,14.0,0,0.0,0,0.0,14,20,0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,1124,Dallas Cowboys,1,Northwest,outdoors,grass,90,72,6,66,Mostly Cloudy
14.0,J.McNichols,Washington Commanders,0,0,0,0,3,22,0,1,22,7.3,0,0.0,0,0.0,13,0,0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,1124,Dallas Cowboys,1,Northwest,outdoors,grass,90,72,6,66,Mostly Cloudy
15.0,A.Ekeler,Washington Commanders,3,2,2,0,9,22,0,1,22,2.4,0,0.0,0,0.0,3,2,0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,1124,Dallas Cowboys,1,Northwest,outdoors,grass,90,72,6,66,Mostly Cloudy
16.0,J.Daniels,Washington Commanders,0,0,0,0,7,74,1,0,0,0.0,0,0.0,0,0.0,23,0,0,4.0,74.0,10.6,0.0,0.0,0.0,100.0,1124,Dallas Cowboys,1,Northwest,outdoors,grass,90,72,6,66,Mostly Cloudy
17.0,K.Turpin,Dallas Cowboys,1,1,8,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,8,0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,1124,Washington Commanders,0,Northwest,outdoors,grass,67,52,18,1,Partly Cloudy
18.0,J.Mingo,Dallas Cowboys,2,1,8,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,8,0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,1124,Washington Commanders,0,Northwest,outdoors,grass,67,52,18,1,Partly Cloudy
19.0,H.Luepke,Dallas Cowboys,1,1,10,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,10,0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,1124,Washington Commanders,0,Northwest,outdoors,grass,67,52,18,1,Partly Cloudy
20.0,C.Lamb,Dallas Cowboys,12,10,67,0,1,1,0,0,1,1.0,0,0.0,0,0.0,1,13,0,0.0,0.0,0.0,0.0,0.0,0.0,94.0,1124,Washington Commanders,0,Northwest,outdoors,grass,67,52,18,1,Partly Cloudy
21.0,E.Elliott,Dallas Cowboys,0,0,0,0,3,6,0,0,6,2.0,0,0.0,0,0.0,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,1124,Washington Commanders,0,Northwest,outdoors,grass,67,52,18,1,Partly Cloudy
22.0,R.Dowdle,Dallas Cowboys,3,3,12,0,19,86,0,3,86,4.5,0,0.0,0,0.0,9,10,1,0.0,0.0,0.0,0.0,0.0,0.0,61.0,1124,Washington Commanders,0,Northwest,outdoors,grass,67,52,18,1,Partly Cloudy
23.0,C.Rush,Dallas Cowboys,0,0,0,0,4,1,0,0,0,0.0,0,0.0,0,0.0,3,0,0,0.0,1.0,0.3,0.0,0.0,0.0,97.0,1124,Washington Commanders,0,Northwest,outdoors,grass,67,52,18,1,Partly Cloudy
24.0,T.Hill,Miami Dolphins,6,5,48,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,20,0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,1124,New England Patriots,1,Hard Rock,outdoors,grass,91,62,13,7,Clear
25.0,J.Smith,Miami Dolphins,11,9,87,1,1,0,0,0,0,0.0,0,0.0,0,0.0,0,14,0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,1124,New England Patriots,1,Hard Rock,outdoors,grass,91,62,13,7,Clear
26.0,J.Waddle,Miami Dolphins,9,8,144,1,0,0,0,0,0,0.0,0,0.0,0,0.0,0,29,0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,1124,New England Patriots,1,Hard Rock,outdoors,grass,91,62,13,7,Clear
27.0,M.Washington,Miami Dolphins,2,1,1,0,1,2,0,0,2,2.0,0,0.0,0,0.0,2,1,0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,1124,New England Patriots,1,Hard Rock,outdoors,grass,91,62,13,7,Clear
28.0,R.Mostert,Miami Dolphins,1,1,-3,0,2,5,0,0,5,2.5,0,0.0,0,0.0,5,-3,0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,1124,New England Patriots,1,Hard Rock,outdoors,grass,91,62,13,7,Clear
29.0,D.Achane,Miami Dolphins,4,3,24,2,10,32,0,0,32,3.2,0,0.0,0,0.0,9,11,0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,1124,New England Patriots,1,Hard Rock,outdoors,grass,91,62,13,7,Clear
30.0,T.Tagovailoa,Miami Dolphins,0,0,0,0,3,-2,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,-2.0,-0.7,0.0,0.0,0.0,97.0,1124,New England Patriots,1,Hard Rock,outdoors,grass,91,62,13,7,Clear
31.0,J.Polk,New England Patriots,2,1,7,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,7,0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,1124,Miami Dolphins,0,Hard Rock,outdoors,grass,63,36,3,0,Clear
32.0,D.Douglas,New England Patriots,7,5,62,0,1,1,0,0,1,1.0,0,0.0,0,0.0,1,27,0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,1124,Miami Dolphins,0,Hard Rock,outdoors,grass,63,36,3,0,Clear
33.0,R.Stevenson,New England Patriots,2,0,0,0,8,13,0,1,13,1.6,0,0.0,0,0.0,9,0,0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,1124,Miami Dolphins,0,Hard Rock,outdoors,grass,63,36,3,0,Clear
34.0,A.Gibson,New England Patriots,2,1,14,0,6,31,0,2,31,5.2,0,0.0,0,0.0,14,14,0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,1124,Miami Dolphins,0,Hard Rock,outdoors,grass,63,36,3,0,Clear
35.0,D.Maye,New England Patriots,0,0,0,0,5,26,0,0,0,0.0,0,0.0,0,0.0,9,0,1,0.0,26.0,5.2,0.0,0.0,0.0,100.0,1124,Miami Dolphins,0,Hard Rock,outdoors,grass,63,36,3,0,Clear
36.0,R.Odunze,Chicago Bears,10,5,39,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,14,0,0.0,0.0,0.0,0.0,0.0,0.0,87.0,1124,Minnesota Vikings,1,Soldier Field,outdoors,grass,65,40,11,0,Partly Cloudy
37.0,R.Johnson,Chicago Bears,1,1,10,0,2,2,1,2,2,1.0,0,0.0,0,0.0,1,10,0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,1124,Minnesota Vikings,1,Soldier Field,outdoors,grass,65,40,11,0,Partly Cloudy
38.0,D.Swift,Chicago Bears,4,3,35,0,13,30,0,0,30,2.3,0,0.0,0,0.0,8,30,0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,1124,Minnesota Vikings,1,Soldier Field,outdoors,grass,65,40,11,0,Partly Cloudy
