,Name,Team,Tgt,Rec,Rec_Yds,Rec_TD,Rush_Att,Rush_Yds,Rush_TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br,Rush_Lng,Rec_Lng,FL,Pct,Date,Opponent,Hmcrt_adv,Stadium,Roof,Surface,Temperature,Humidity,Wind,Precipitation,Forecast
1,D.Sample,Cincinnati Bengals,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,61.0,1228,Denver Broncos,1,Paycor,outdoors,turf,61,83,8,21,Partly Cloudy
3,J.Chase,Cincinnati Bengals,15,9,102,0,0,0,0,0,0,0,0,0,0,0,0,38,0,98.0,1228,Denver Broncos,1,Paycor,outdoors,turf,61,83,8,21,Partly Cloudy
5,K.Herbert,Cincinnati Bengals,0,0,0,0,4,23,0,1,23,5.8,0,0.0,0,0,13,0,0,20.0,1228,Denver Broncos,1,Paycor,outdoors,turf,61,83,8,21,Partly Cloudy
7,C.Brown,Cincinnati Bengals,4,4,24,0,20,67,0,3,67,3.4,0,0.0,0,0,9,11,0,81.0,1228,Denver Broncos,1,Paycor,outdoors,turf,61,83,8,21,Partly Cloudy
9,J.Burrow,Cincinnati Bengals,0,0,0,0,4,25,1,2,25,6.3,0,0.0,0,0,19,0,0,100.0,1228,Denver Broncos,1,Paycor,outdoors,turf,61,83,8,21,Partly Cloudy
11,M.Mims,Denver Broncos,8,8,103,2,1,-1,0,0,-1,-1.0,0,0.0,0,0,-1,51,0,47.0,1228,Cincinnati Bengals,0,Paycor,outdoors,turf,61,83,8,21,Partly Cloudy
13,T.Franklin,Denver Broncos,2,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,33.0,1228,Cincinnati Bengals,0,Paycor,outdoors,turf,61,83,8,21,Partly Cloudy
15,J.Williams,Denver Broncos,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,37.0,1228,Cincinnati Bengals,0,Paycor,outdoors,turf,61,83,8,21,Partly Cloudy
17,A.Estime,Denver Broncos,1,1,13,0,9,24,0,2,24,2.7,0,0.0,0,0,6,13,0,30.0,1228,Cincinnati Bengals,0,Paycor,outdoors,turf,61,83,8,21,Partly Cloudy
19,J.McLaughlin,Denver Broncos,2,2,7,0,10,69,0,4,69,6.9,0,0.0,0,0,13,4,0,23.0,1228,Cincinnati Bengals,0,Paycor,outdoors,turf,61,83,8,21,Partly Cloudy
21,B.Nix,Denver Broncos,0,0,0,0,7,31,0,3,31,4.4,0,0.0,0,0,8,0,0,100.0,1228,Cincinnati Bengals,0,Paycor,outdoors,turf,61,83,8,21,Partly Cloudy
23,J.Polk,New England Patriots,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.0,1228,Los Angeles Chargers,1,Gillette,outdoors,turf,43,92,5,66,Foggy
25,K.Bourne,New England Patriots,4,2,22,0,0,0,0,0,0,0,0,0,0,0,0,18,0,72.0,1228,Los Angeles Chargers,1,Gillette,outdoors,turf,43,92,5,66,Foggy
27,D.Douglas,New England Patriots,5,4,46,1,0,0,0,0,0,0,0,0,0,0,0,36,0,92.0,1228,Los Angeles Chargers,1,Gillette,outdoors,turf,43,92,5,66,Foggy
