,Name,Team,Tgt,Rec,Rec_Yds,Rec_TD,Rush_Att,Rush_Yds,Rush_TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br,Rush_Lng,Rec_Lng,FL,Pct,Date,Opponent,Hmcrt_adv,Stadium,Roof,Surface,Temperature,Humidity,Wind,Precipitation,Forecast
1,P.Nacua,Los Angeles Rams,9,5,44,0,1,7,0,0,7,7.0,0,0.0,0,0,7,27,0,85.0,1000013,Minnesota Vikings,1,State Farm,indoors,grass,59,19,7,0,Clear
3,R.Rivers,Los Angeles Rams,0,0,0,0,3,8,0,0,8,2.7,0,0.0,0,0,5,0,0,13.0,1000013,Minnesota Vikings,1,State Farm,indoors,grass,59,19,7,0,Clear
5,K.Williams,Los Angeles Rams,3,3,16,1,16,76,0,4,76,4.8,0,0.0,0,0,17,6,0,87.0,1000013,Minnesota Vikings,1,State Farm,indoors,grass,59,19,7,0,Clear
7,M.Stafford,Los Angeles Rams,0,0,0,0,2,-1,0,0,-1,-0.5,0,0.0,0,0,0,0,0,100.0,1000013,Minnesota Vikings,1,State Farm,indoors,grass,59,19,7,0,Clear
9,C.Akers,Minnesota Vikings,0,0,0,0,5,39,0,1,39,7.8,0,0.0,0,0,26,0,0,16.0,1000013,Los Angeles Rams,0,State Farm,indoors,grass,59,19,7,0,Clear
11,A.Jones,Minnesota Vikings,6,3,12,0,13,48,0,1,48,3.7,0,0.0,0,0,13,8,0,72.0,1000013,Los Angeles Rams,0,State Farm,indoors,grass,59,19,7,0,Clear
13,S.Darnold,Minnesota Vikings,0,0,0,0,4,19,0,3,19,4.8,0,0.0,0,0,17,0,1,100.0,1000013,Los Angeles Rams,0,State Farm,indoors,grass,59,19,7,0,Clear
14,J.Jefferson,Minnesota Vikings,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1000013,Los Angeles Rams,0,State Farm,indoors,grass,59,19,7,0,Clear
15,C.Kupp,Los Angeles Rams,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1000013,Minnesota Vikings,1,State Farm,indoors,grass,59,19,7,0,Clear
16,T.Higbee,Los Angeles Rams,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1000013,Minnesota Vikings,1,State Farm,indoors,grass,59,19,7,0,Clear
17,J.Mundt,Minnesota Vikings,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1000013,Los Angeles Rams,0,State Farm,indoors,grass,59,19,7,0,Clear
18,T.Hockenson,Minnesota Vikings,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1000013,Los Angeles Rams,0,State Farm,indoors,grass,59,19,7,0,Clear
19,J.Oliver,Minnesota Vikings,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1000013,Los Angeles Rams,0,State Farm,indoors,grass,59,19,7,0,Clear
20,D.Robinson,Los Angeles Rams,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1000013,Minnesota Vikings,1,State Farm,indoors,grass,59,19,7,0,Clear
21,D.Allen,Los Angeles Rams,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1000013,Minnesota Vikings,1,State Farm,indoors,grass,59,19,7,0,Clear
22,T.Sherfield,Minnesota Vikings,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1000013,Los Angeles Rams,0,State Farm,indoors,grass,59,19,7,0,Clear
23,H.Long,Los Angeles Rams,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1000013,Minnesota Vikings,1,State Farm,indoors,grass,59,19,7,0,Clear
24,J.Nailor,Minnesota Vikings,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1000013,Los Angeles Rams,0,State Farm,indoors,grass,59,19,7,0,Clear
25,J.Addison,Minnesota Vikings,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1000013,Los Angeles Rams,0,State Farm,indoors,grass,59,19,7,0,Clear
26,C.Ham,Minnesota Vikings,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1000013,Los Angeles Rams,0,State Farm,indoors,grass,59,19,7,0,Clear
27,C.Parkinson,Los Angeles Rams,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1000013,Minnesota Vikings,1,State Farm,indoors,grass,59,19,7,0,Clear
