,Name,Team,Tgt,Rec,Rec_Yds,Rec_TD,Rush_Att,Rush_Yds,Rush_TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br,Rush_Lng,Rec_Lng,FL,Rush_1D,Rush_YBC,Rush_YBC/Att,Rush_YAC,Rush_YAC/Att,Rush_BrkTkl,Pct,Date,Opponent,Hmcrt_adv,Stadium,Roof,Surface,Temperature,Humidity,Wind,Precipitation,Forecast
0,D.Sample,Cincinnati Bengals,2,2,8,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,63.0,1201,Pittsburgh Steelers,1,Paycor,outdoors,turf,30,41,5,0,Clear
1,J.Chase,Cincinnati Bengals,9,6,86,1,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,97.0,1201,Pittsburgh Steelers,1,Paycor,outdoors,turf,30,41,5,0,Clear
2,C.Brown,Cincinnati Bengals,3,3,30,0,12,70,1,4,70,5.8,0,0.0,0,0,40,20,0,0,0,0,0,0,0,81.0,1201,Pittsburgh Steelers,1,Paycor,outdoors,turf,30,41,5,0,Clear
3,J.Burrow,Cincinnati Bengals,0,0,0,0,2,9,0,0,0,0,0,0,0,0,8,0,2,0,9,4.5,0,0.0,0,100.0,1201,Pittsburgh Steelers,1,Paycor,outdoors,turf,30,41,5,0,Clear
4,G.Pickens,Pittsburgh Steelers,6,3,74,1,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,91.0,1201,Cincinnati Bengals,0,Paycor,outdoors,turf,30,41,5,0,Clear
5,J.Warren,Pittsburgh Steelers,4,4,55,0,3,9,0,1,9,3.0,0,0.0,0,0,6,29,0,0,0,0,0,0,0,36.0,1201,Cincinnati Bengals,0,Paycor,outdoors,turf,30,41,5,0,Clear
6,N.Harris,Pittsburgh Steelers,6,6,54,0,16,75,1,2,75,4.7,0,0.0,0,0,20,25,0,0,0,0,0,0,0,52.0,1201,Cincinnati Bengals,0,Paycor,outdoors,turf,30,41,5,0,Clear
7,R.Wilson,Pittsburgh Steelers,0,0,0,0,3,3,0,0,0,0,0,0,0,0,5,0,0,0,3,1.0,0,0.0,0,97.0,1201,Cincinnati Bengals,0,Paycor,outdoors,turf,30,41,5,0,Clear
8,K.Austin,New Orleans Saints,3,3,31,0,1,9,0,0,9,9.0,0,0.0,0,0,9,16,0,0,0,0,0,0,0,61.0,1201,Los Angeles Rams,1,Caesars Superdome,indoors,turf,64,48,8,0,Clear
9,T.Hill,New Orleans Saints,7,5,37,0,5,10,0,1,10,2.0,0,0.0,0,0,3,21,0,0,0,0,0,0,0,59.0,1201,Los Angeles Rams,1,Caesars Superdome,indoors,turf,64,48,8,0,Clear
10,A.Kamara,New Orleans Saints,6,4,7,0,23,112,0,5,112,4.9,0,0.0,0,0,13,8,0,0,0,0,0,0,0,86.0,1201,Los Angeles Rams,1,Caesars Superdome,indoors,turf,64,48,8,0,Clear
11,D.Carr,New Orleans Saints,0,0,0,0,2,12,0,0,0,0,0,0,0,0,9,0,0,1,12,6.0,0,0.0,0,100.0,1201,Los Angeles Rams,1,Caesars Superdome,indoors,turf,64,48,8,0,Clear
12,C.Kupp,Los Angeles Rams,6,3,17,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,91.0,1201,New Orleans Saints,0,Caesars Superdome,indoors,turf,64,48,8,0,Clear
13,T.Atwell,Los Angeles Rams,2,2,39,0,1,0,0,0,0,0.0,0,0.0,0,0,0,20,0,0,0,0,0,0,0,39.0,1201,New Orleans Saints,0,Caesars Superdome,indoors,turf,64,48,8,0,Clear
14,P.Nacua,Los Angeles Rams,8,5,56,1,1,7,0,0,7,7.0,0,0.0,0,0,7,19,0,0,0,0,0,0,0,79.0,1201,New Orleans Saints,0,Caesars Superdome,indoors,turf,64,48,8,0,Clear
15,B.Corum,Los Angeles Rams,0,0,0,0,8,42,0,2,42,5.3,0,0.0,0,0,10,0,0,0,0,0,0,0,0,32.0,1201,New Orleans Saints,0,Caesars Superdome,indoors,turf,64,48,8,0,Clear
16,K.Williams,Los Angeles Rams,1,1,9,0,15,104,1,8,104,6.9,0,0.0,0,0,17,9,0,0,0,0,0,0,0,68.0,1201,New Orleans Saints,0,Caesars Superdome,indoors,turf,64,48,8,0,Clear
17,M.Stafford,Los Angeles Rams,0,0,0,0,4,3,0,0,0,0,0,0,0,0,4,0,0,2,3,0.8,0,0.0,0,100.0,1201,New Orleans Saints,0,Caesars Superdome,indoors,turf,64,48,8,0,Clear
18,Z.Flowers,Baltimore Ravens,7,3,74,0,1,-3,0,0,-3,-3.0,0,0.0,0,0,-3,40,0,0,0,0,0,0,0,94.0,1201,Philadelphia Eagles,1,M&amp;T Bank,outdoors,grass,41,46,7,12,Mostly Cloudy
19,M.Andrews,Baltimore Ravens,7,6,67,1,1,2,0,1,2,2.0,0,0.0,0,0,2,23,0,0,0,0,0,0,0,74.0,1201,Philadelphia Eagles,1,M&amp;T Bank,outdoors,grass,41,46,7,12,Mostly Cloudy
20,J.Hill,Baltimore Ravens,6,4,15,0,3,6,0,0,6,2.0,0,0.0,0,0,3,5,0,0,0,0,0,0,0,50.0,1201,Philadelphia Eagles,1,M&amp;T Bank,outdoors,grass,41,46,7,12,Mostly Cloudy
21,D.Henry,Baltimore Ravens,3,3,29,0,19,82,0,4,82,4.3,0,0.0,0,0,19,16,0,0,0,0,0,0,0,51.0,1201,Philadelphia Eagles,1,M&amp;T Bank,outdoors,grass,41,46,7,12,Mostly Cloudy
22,L.Jackson,Baltimore Ravens,0,0,0,0,8,79,0,0,0,0,0,0,0,0,39,0,0,5,79,9.9,0,0.0,0,100.0,1201,Philadelphia Eagles,1,M&amp;T Bank,outdoors,grass,41,46,7,12,Mostly Cloudy
