,Name,Team,Tgt,Rec,Rec_Yds,Rec_TD,Rush_Att,Rush_Yds,Rush_TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br,Rush_Lng,Rec_Lng,FL,Rush_1D,Rush_YBC,Rush_YBC/Att,Rush_YAC,Rush_YAC/Att,Rush_BrkTkl,Pct,Date,Opponent,Hmcrt_adv,Stadium,Roof,Surface,Temperature,Humidity,Wind,Precipitation,Forecast
0,J.Williams,Detroit Lions,8,5,80,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,69.0,1205,Green Bay Packers,1,Ford Field,indoors,turf,29,61,8,1,Overcast
1,A.St.,Detroit Lions,6,5,43,0,1,10,0,1,10,10.0,0,0.0,0,0,10,16,0,0,0,0,0,0,0,85.0,1205,Green Bay Packers,1,Ford Field,indoors,turf,29,61,8,1,Overcast
2,J.Gibbs,Detroit Lions,6,6,30,1,15,43,0,2,43,2.9,0,0.0,0,0,20,7,0,0,0,0,0,0,0,56.0,1205,Green Bay Packers,1,Ford Field,indoors,turf,29,61,8,1,Overcast
3,D.Montgomery,Detroit Lions,5,5,33,0,14,51,1,3,51,3.6,0,0.0,0,0,13,13,0,0,0,0,0,0,0,45.0,1205,Green Bay Packers,1,Ford Field,indoors,turf,29,61,8,1,Overcast
4,J.Goff,Detroit Lions,0,0,0,0,4,7,0,1,7,1.8,0,0.0,0,0,9,0,0,0,0,0,0,0,0,100.0,1205,Green Bay Packers,1,Ford Field,indoors,turf,29,61,8,1,Overcast
5,J.Reed,Green Bay Packers,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.0,1205,Detroit Lions,0,Ford Field,indoors,turf,29,61,8,1,Overcast
6,T.Kraft,Green Bay Packers,5,3,41,1,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,88.0,1205,Detroit Lions,0,Ford Field,indoors,turf,29,61,8,1,Overcast
7,C.Watson,Green Bay Packers,7,4,114,0,0,0,0,0,0,0,0,0,0,0,0,59,1,0,0,0,0,0,0,92.0,1205,Detroit Lions,0,Ford Field,indoors,turf,29,61,8,1,Overcast
8,C.Brooks,Green Bay Packers,0,0,0,0,1,3,0,1,3,3.0,0,0.0,0,0,3,0,0,0,0,0,0,0,0,28.0,1205,Detroit Lions,0,Ford Field,indoors,turf,29,61,8,1,Overcast
9,J.Jacobs,Green Bay Packers,0,0,0,0,18,66,3,5,66,3.7,0,0.0,0,0,19,0,0,0,0,0,0,0,0,80.0,1205,Detroit Lions,0,Ford Field,indoors,turf,29,61,8,1,Overcast
10,J.Love,Green Bay Packers,0,0,0,0,4,23,0,0,0,0,0,0,0,0,14,0,0,1,23,5.8,0,0.0,0,100.0,1205,Detroit Lions,0,Ford Field,indoors,turf,29,61,8,1,Overcast
