,Name,Team,Tgt,Rec,Rec_Yds,Rec_TD,Rush_Att,Rush_Yds,Rush_TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br,Rush_Lng,Rec_Lng,FL,Rush_1D,Rush_YBC,Rush_YBC/Att,Rush_YAC,Rush_YAC/Att,Rush_BrkTkl,Pct,Date,Opponent,Hmcrt_adv,Stadium,Roof,Surface,Temperature,Humidity,Wind,Precipitation,Forecast
0,G.Wilson,New York Jets,10,9,90,2,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,98.0,1031,Houston Texans,1,MetLife,outdoors,turf,75,57,8,8,Clear
1,B.Allen,New York Jets,1,0,0,0,4,9,0,1,9,2.3,0,0.0,0,0,5,0,0,0,0,0,0,0,0,29.0,1031,Houston Texans,1,MetLife,outdoors,turf,75,57,8,8,Clear
2,B.Hall,New York Jets,4,2,11,0,15,74,0,3,74,4.9,0,0.0,0,0,16,13,0,0,0,0,0,0,0,76.0,1031,Houston Texans,1,MetLife,outdoors,turf,75,57,8,8,Clear
3,A.Rodgers,New York Jets,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1.0,0,0.0,0,100.0,1031,Houston Texans,1,MetLife,outdoors,turf,75,57,8,8,Clear
4,D.Ogunbowale,Houston Texans,3,0,0,0,1,-1,0,0,-1,-1.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,37.0,1031,New York Jets,0,MetLife,outdoors,turf,75,57,8,8,Clear
5,T.Dell,Houston Texans,9,6,126,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,73.0,1031,New York Jets,0,MetLife,outdoors,turf,75,57,8,8,Clear
6,J.Mixon,Houston Texans,0,0,0,0,24,106,1,6,106,4.4,0,0.0,0,0,29,0,0,0,0,0,0,0,0,56.0,1031,New York Jets,0,MetLife,outdoors,turf,75,57,8,8,Clear
7,C.Stroud,Houston Texans,1,0,0,0,8,59,0,0,0,0,0,0,0,0,25,0,1,3,59,7.4,0,0.0,0,100.0,1031,New York Jets,0,MetLife,outdoors,turf,75,57,8,8,Clear
