,Name,Team,Tgt,Rec,Rec_Yds,Rec_TD,Rush_Att,Rush_Yds,Rush_TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br,Rush_Lng,Rec_Lng,FL,Rush_1D,Rush_YBC,Rush_YBC/Att,Rush_YAC,Rush_YAC/Att,Rush_BrkTkl,Pct,Date,Opponent,Hmcrt_adv,Stadium,Roof,Surface,Temperature,Humidity,Wind,Precipitation,Forecast
0,S.Perine,Kansas City Chiefs,1,1,15,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,25.0,1129,Las Vegas Raiders,1,GEHA Field at Arrowhead,outdoors,grass,38,48,6,1,Partly Cloudy
1,X.Worthy,Kansas City Chiefs,7,5,54,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,59.0,1129,Las Vegas Raiders,1,GEHA Field at Arrowhead,outdoors,grass,38,48,6,1,Partly Cloudy
2,T.Kelce,Kansas City Chiefs,13,7,68,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,90.0,1129,Las Vegas Raiders,1,GEHA Field at Arrowhead,outdoors,grass,38,48,6,1,Partly Cloudy
3,K.Hunt,Kansas City Chiefs,4,2,0,0,7,15,0,0,15,2.1,0,0.0,0,0,4,5,0,0,0,0,0,0,0,38.0,1129,Las Vegas Raiders,1,GEHA Field at Arrowhead,outdoors,grass,38,48,6,1,Partly Cloudy
4,I.Pacheco,Kansas City Chiefs,1,1,5,0,7,44,0,2,44,6.3,0,0.0,0,0,34,5,0,0,0,0,0,0,0,37.0,1129,Las Vegas Raiders,1,GEHA Field at Arrowhead,outdoors,grass,38,48,6,1,Partly Cloudy
5,P.Mahomes,Kansas City Chiefs,0,0,0,0,2,4,0,0,4,2.0,0,0.0,0,0,5,0,0,0,0,0,0,0,0,100.0,1129,Las Vegas Raiders,1,GEHA Field at Arrowhead,outdoors,grass,38,48,6,1,Partly Cloudy
6,D.Turner,Las Vegas Raiders,1,1,25,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,22.0,1129,Kansas City Chiefs,0,GEHA Field at Arrowhead,outdoors,grass,38,48,6,1,Partly Cloudy
7,J.Meyers,Las Vegas Raiders,11,6,97,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,93.0,1129,Kansas City Chiefs,0,GEHA Field at Arrowhead,outdoors,grass,38,48,6,1,Partly Cloudy
8,B.Bowers,Las Vegas Raiders,14,10,140,1,1,2,0,1,2,2.0,0,0.0,0,0,2,33,0,0,0,0,0,0,0,90.0,1129,Kansas City Chiefs,0,GEHA Field at Arrowhead,outdoors,grass,38,48,6,1,Partly Cloudy
9,T.Tucker,Las Vegas Raiders,1,1,58,1,1,11,0,1,11,11.0,0,0.0,0,0,11,58,0,0,0,0,0,0,0,97.0,1129,Kansas City Chiefs,0,GEHA Field at Arrowhead,outdoors,grass,38,48,6,1,Partly Cloudy
10,A.Abdullah,Las Vegas Raiders,2,2,14,0,10,39,0,2,39,3.9,0,0.0,0,0,11,7,0,0,0,0,0,0,0,62.0,1129,Kansas City Chiefs,0,GEHA Field at Arrowhead,outdoors,grass,38,48,6,1,Partly Cloudy
11,S.McCormick,Las Vegas Raiders,2,2,1,0,12,64,0,3,64,5.3,0,0.0,0,0,17,3,0,0,0,0,0,0,0,38.0,1129,Kansas City Chiefs,0,GEHA Field at Arrowhead,outdoors,grass,38,48,6,1,Partly Cloudy
12,A.O'Connell,Las Vegas Raiders,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0,0.0,0,100.0,1129,Kansas City Chiefs,0,GEHA Field at Arrowhead,outdoors,grass,38,48,6,1,Partly Cloudy
