,Name,Team,Rush_Att,Rush_Yds,Rush_TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br,Tgt,Rec,Rec_Yds,Rec_TD,Rush_Lng,Rec_Lng,FL,Rush_1D,Rush_YBC,Rush_YBC/Att,Rush_YAC,Rush_YAC/Att,Rush_BrkTkl,Pct,Date,Opponent,Hmcrt_adv,Stadium,Roof,Surface,Temperature,Humidity,Wind,Precipitation,Forecast
0,C.Watson,Green Bay Packers,0,0,0,0,0,0,0,0,0,0,7,3,37,0,0,19,0,0,0,0,0,0,0,57.0,1103,Detroit Lions,1,Lambeau Field,outdoors,grass,51,80,9,98,Rain
1,J.Reed,Green Bay Packers,0,0,0,0,0,0,0,0,0,0,6,5,113,0,0,41,0,0,0,0,0,0,0,68.0,1103,Detroit Lions,1,Lambeau Field,outdoors,grass,51,80,9,98,Rain
2,T.Kraft,Green Bay Packers,1,2,0,1,2,2.0,0,0.0,0,0,6,4,34,0,2,13,0,0,0,0,0,0,0,100.0,1103,Detroit Lions,1,Lambeau Field,outdoors,grass,51,80,9,98,Rain
3,C.Brooks,Green Bay Packers,2,13,0,0,13,6.5,0,0.0,0,0,4,3,28,0,9,13,0,0,0,0,0,0,0,26.0,1103,Detroit Lions,1,Lambeau Field,outdoors,grass,51,80,9,98,Rain
4,E.Wilson,Green Bay Packers,4,28,1,2,28,7.0,0,0.0,0,0,1,1,1,0,19,1,0,0,0,0,0,0,0,20.0,1103,Detroit Lions,1,Lambeau Field,outdoors,grass,51,80,9,98,Rain
5,J.Jacobs,Green Bay Packers,13,95,0,4,95,7.3,0,0.0,0,0,3,2,13,0,37,11,0,0,0,0,0,0,0,55.0,1103,Detroit Lions,1,Lambeau Field,outdoors,grass,51,80,9,98,Rain
6,J.Love,Green Bay Packers,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,100.0,1103,Detroit Lions,1,Lambeau Field,outdoors,grass,51,80,9,98,Rain
7,K.Raymond,Detroit Lions,1,-12,0,0,-12,-12.0,0,0.0,0,0,1,1,12,0,-12,12,0,0,0,0,0,0,0,39.0,1103,Green Bay Packers,0,Lambeau Field,outdoors,grass,51,80,9,98,Rain
8,J.Gibbs,Detroit Lions,11,65,1,2,65,5.9,0,0.0,0,0,2,1,11,0,18,11,0,0,0,0,0,0,0,39.0,1103,Green Bay Packers,0,Lambeau Field,outdoors,grass,51,80,9,98,Rain
9,D.Montgomery,Detroit Lions,17,73,0,6,73,4.3,0,0.0,0,0,3,3,23,0,12,14,0,0,0,0,0,0,0,56.0,1103,Green Bay Packers,0,Lambeau Field,outdoors,grass,51,80,9,98,Rain
10,J.Goff,Detroit Lions,3,-2,0,0,-2,-0.7,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.0,1103,Green Bay Packers,0,Lambeau Field,outdoors,grass,51,80,9,98,Rain
11,J.Jackson,Tennessee Titans,1,-5,0,0,-5,-5.0,0,0.0,0,0,2,1,8,0,-5,8,0,0,0,0,0,0,0,30.0,1103,New England Patriots,1,Nissan,outdoors,grass,81,60,17,4,Mostly Cloudy
12,C.Ridley,Tennessee Titans,0,0,0,0,0,0,0,0,0,0,8,5,73,0,0,25,0,0,0,0,0,0,0,94.0,1103,New England Patriots,1,Nissan,outdoors,grass,81,60,17,4,Mostly Cloudy
13,T.Boyd,Tennessee Titans,1,3,0,1,3,3.0,0,0.0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,29.0,1103,New England Patriots,1,Nissan,outdoors,grass,81,60,17,4,Mostly Cloudy
14,T.Pollard,Tennessee Titans,28,128,0,6,128,4.6,0,0.0,0,0,3,3,26,0,32,12,0,0,0,0,0,0,0,86.0,1103,New England Patriots,1,Nissan,outdoors,grass,81,60,17,4,Mostly Cloudy
15,M.Rudolph,Tennessee Titans,4,19,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,2,19,4.8,0,0.0,0,100.0,1103,New England Patriots,1,Nissan,outdoors,grass,81,60,17,4,Mostly Cloudy
16,D.Douglas,New England Patriots,0,0,0,0,0,0,0,0,0,0,9,7,35,0,0,21,0,0,0,0,0,0,0,71.0,1103,Tennessee Titans,0,Nissan,outdoors,grass,81,60,17,4,Mostly Cloudy
17,R.Stevenson,New England Patriots,10,16,1,2,16,1.6,0,0.0,0,0,5,5,38,1,5,12,0,0,0,0,0,0,0,74.0,1103,Tennessee Titans,0,Nissan,outdoors,grass,81,60,17,4,Mostly Cloudy
18,D.Maye,New England Patriots,8,95,0,0,0,0,0,0,0,0,0,0,0,0,26,0,1,5,95,11.9,0,0.0,0,100.0,1103,Tennessee Titans,0,Nissan,outdoors,grass,81,60,17,4,Mostly Cloudy
19,R.McCloud,Atlanta Falcons,1,7,0,0,7,7.0,0,0.0,0,0,3,3,28,1,7,11,0,0,0,0,0,0,0,91.0,1103,Dallas Cowboys,1,Mercedes-Benz,indoors,turf,66,76,6,0,Overcast
20,T.Allgeier,Atlanta Falcons,6,18,1,1,18,3.0,0,0.0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,25.0,1103,Dallas Cowboys,1,Mercedes-Benz,indoors,turf,66,76,6,0,Overcast
21,B.Robinson,Atlanta Falcons,19,86,0,4,86,4.5,0,0.0,0,0,7,7,59,0,16,29,0,0,0,0,0,0,0,74.0,1103,Dallas Cowboys,1,Mercedes-Benz,indoors,turf,66,76,6,0,Overcast
22,K.Cousins,Atlanta Falcons,4,-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-11,-2.8,0,0.0,0,100.0,1103,Dallas Cowboys,1,Mercedes-Benz,indoors,turf,66,76,6,0,Overcast
23,K.Turpin,Dallas Cowboys,0,0,0,0,0,0,0,0,0,0,4,3,36,0,0,22,0,0,0,0,0,0,0,22.0,1103,Atlanta Falcons,0,Mercedes-Benz,indoors,turf,66,76,6,0,Overcast
24,H.Luepke,Dallas Cowboys,1,5,0,1,5,5.0,0,0.0,0,0,2,2,4,0,5,7,0,0,0,0,0,0,0,22.0,1103,Atlanta Falcons,0,Mercedes-Benz,indoors,turf,66,76,6,0,Overcast
25,C.Lamb,Dallas Cowboys,2,15,0,1,15,7.5,0,0.0,0,0,12,8,47,0,18,10,0,0,0,0,0,0,0,83.0,1103,Atlanta Falcons,0,Mercedes-Benz,indoors,turf,66,76,6,0,Overcast
