,Name,Team,Tgt,Rec,Rec_Yds,Rec_TD,Rush_Att,Rush_Yds,Rush_TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br,Rush_Lng,Rec_Lng,FL,Rush_1D,Rush_YBC,Rush_YBC/Att,Rush_YAC,Rush_YAC/Att,Rush_BrkTkl,Pct,Date,Opponent,Hmcrt_adv,Stadium,Roof,Surface,Temperature,Humidity,Wind,Precipitation,Forecast
0,M.Nabers,New York Giants,15,12,115,0,1,-4,0,0,-4,-4.0,0,0.0,0,0,-4,39,0,0,0,0,0,0,0,90.0,926,Dallas Cowboys,1,MetLife,outdoors,turf,74,93,3,49,Overcast
1,W.Robinson,New York Giants,14,11,71,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,65.0,926,Dallas Cowboys,1,MetLife,outdoors,turf,74,93,3,49,Overcast
2,T.Tracy,New York Giants,1,1,19,0,4,2,0,0,2,0.5,0,0.0,0,0,1,19,0,0,0,0,0,0,0,25.0,926,Dallas Cowboys,1,MetLife,outdoors,turf,74,93,3,49,Overcast
3,D.Singletary,New York Giants,1,1,14,0,14,24,0,3,24,1.7,0,0.0,0,0,5,14,0,0,0,0,0,0,0,68.0,926,Dallas Cowboys,1,MetLife,outdoors,turf,74,93,3,49,Overcast
4,D.Jones,New York Giants,0,0,0,0,4,3,0,0,0,0,0,0,0,0,5,0,0,1,3,0.8,0,0.0,0,100.0,926,Dallas Cowboys,1,MetLife,outdoors,turf,74,93,3,49,Overcast
5,B.Cooks,Dallas Cowboys,4,1,16,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,82.0,926,New York Giants,0,MetLife,outdoors,turf,74,93,3,49,Overcast
6,H.Luepke,Dallas Cowboys,2,2,14,0,2,8,0,2,8,4.0,0,0.0,0,0,6,11,0,0,0,0,0,0,0,52.0,926,New York Giants,0,MetLife,outdoors,turf,74,93,3,49,Overcast
7,C.Lamb,Dallas Cowboys,8,7,98,1,3,8,0,0,8,2.7,0,0.0,0,0,10,55,0,0,0,0,0,0,0,84.0,926,New York Giants,0,MetLife,outdoors,turf,74,93,3,49,Overcast
8,R.Dowdle,Dallas Cowboys,1,1,15,1,11,46,0,3,46,4.2,0,0.0,0,0,9,15,0,0,0,0,0,0,0,45.0,926,New York Giants,0,MetLife,outdoors,turf,74,93,3,49,Overcast
9,D.Prescott,Dallas Cowboys,0,0,0,0,2,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1,-0.5,0,0.0,0,100.0,926,New York Giants,0,MetLife,outdoors,turf,74,93,3,49,Overcast
