,Name,Team,Rush_Att,Rush_Yds,Rush_TD,Rush_1D,Rush_YBC,Rush_YBC/Att,Rush_YAC,Rush_YAC/Att,Rush_BrkTkl,Att/Br,Rush_Lng,Tgt,Rec,Rec_Yds,Rec_TD,Rec_Lng,FL,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Pct,Date,Opponent,Hmcrt_adv,Stadium,Roof,Surface,Temperature,Humidity,Wind,Precipitation,Forecast
0,J.Mason,San Francisco 49ers,28,147,1,0,0,0,0,0,0,28.0,24,1,1,5,0,5,0,8,80,2.9,67,2.4,1,81.0,99,New York Jets,1,Levi's,outdoors,grass,77,66,13,4,Clear
1,D.Samuel,San Francisco 49ers,8,23,1,0,0,0,0,0,0,0,6,9,5,54,0,25,0,1,9,1.1,14,1.8,0,74.0,99,New York Jets,1,Levi's,outdoors,grass,77,66,13,4,Clear
2,B.Purdy,San Francisco 49ers,1,11,0,1,11,11.0,0,0.0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,99.0,99,New York Jets,1,Levi's,outdoors,grass,77,66,13,4,Clear
3,B.Hall,New York Jets,16,54,1,0,0,0,0,0,0,16.0,16,6,5,39,0,13,1,2,19,1.2,35,2.2,1,82.0,99,San Francisco 49ers,0,Levi's,outdoors,grass,77,66,13,4,Clear
4,T.Taylor,New York Jets,1,7,0,0,5,5.0,2,2.0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,25.0,99,San Francisco 49ers,0,Levi's,outdoors,grass,77,66,13,4,Clear
5,A.Rodgers,New York Jets,1,-1,0,0,-1,-1.0,0,0.0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,75.0,99,San Francisco 49ers,0,Levi's,outdoors,grass,77,66,13,4,Clear
