,Name,Team,Rush_Att,Rush_Yds,Rush_TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br,Rush_Lng,Tgt,Rec,Rec_Yds,Rec_TD,Rec_Lng,FL,Pct,Date,Opponent,Hmcrt_adv,Stadium,Roof,Surface,Temperature,Humidity,Wind,Precipitation,Forecast
1,R.Davis,Buffalo Bills,4,29,1,2,29,7.3,0,0.0,0,0,16,0,0,0,0,0,0,10.0,1000019,Baltimore Ravens,1,Highmark,outdoors,turf,19,89,5,40,Snow
3,T.Johnson,Buffalo Bills,5,31,0,2,31,6.2,0,0.0,0,0,17,1,1,8,0,8,0,34.0,1000019,Baltimore Ravens,1,Highmark,outdoors,turf,19,89,5,40,Snow
5,J.Cook,Buffalo Bills,17,67,0,4,67,3.9,0,0.0,0,0,11,3,3,15,0,7,0,52.0,1000019,Baltimore Ravens,1,Highmark,outdoors,turf,19,89,5,40,Snow
7,J.Allen,Buffalo Bills,10,20,2,4,20,2.0,0,0.0,0,0,7,0,0,0,0,0,0,100.0,1000019,Baltimore Ravens,1,Highmark,outdoors,turf,19,89,5,40,Snow
9,S.Sims,Baltimore Ravens,0,0,0,0,0,0,0,0,0,0,0,1,1,4,0,4,0,10.0,1000019,Buffalo Bills,0,Highmark,outdoors,turf,19,89,5,40,Snow
11,M.Andrews,Baltimore Ravens,2,3,0,2,3,1.5,0,0.0,0,0,2,7,5,61,0,19,1,69.0,1000019,Buffalo Bills,0,Highmark,outdoors,turf,19,89,5,40,Snow
13,J.Hill,Baltimore Ravens,6,50,0,3,50,8.3,0,0.0,0,0,22,2,2,7,0,4,0,41.0,1000019,Buffalo Bills,0,Highmark,outdoors,turf,19,89,5,40,Snow
15,D.Henry,Baltimore Ravens,16,84,1,5,84,5.3,0,0.0,0,0,17,2,0,0,0,0,0,59.0,1000019,Buffalo Bills,0,Highmark,outdoors,turf,19,89,5,40,Snow
17,L.Jackson,Baltimore Ravens,6,39,0,3,39,6.5,0,0.0,0,0,16,0,0,0,0,0,1,100.0,1000019,Buffalo Bills,0,Highmark,outdoors,turf,19,89,5,40,Snow
19,K.Gainwell,Philadelphia Eagles,1,10,0,1,10,10.0,0,0.0,0,0,10,1,1,10,0,10,0,10.0,1000019,Los Angeles Rams,1,Lincoln Financial Field,outdoors,grass,34,88,9,86,Snow
21,S.Barkley,Philadelphia Eagles,26,205,2,6,205,7.9,0,0.0,0,0,78,4,4,27,0,16,0,90.0,1000019,Los Angeles Rams,1,Lincoln Financial Field,outdoors,grass,34,88,9,86,Snow
