,Name,Team,Tgt,Rec,Rec_Yds,Rec_TD,Rush_Att,Rush_Yds,Rush_TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br,Rush_Lng,Rec_Lng,FL,Pct,Date,Opponent,Hmcrt_adv,Stadium,Roof,Surface,Temperature,Humidity,Wind,Precipitation,Forecast
1,K.Juszczyk,San Francisco 49ers,2,1,9,1,0,0,0,0,0,0,0,0,0,0,0,9,0,42.0,1230,Detroit Lions,1,Levi's,outdoors,grass,57,74,11,0,Mostly Cloudy
3,D.Samuel,San Francisco 49ers,1,1,5,1,3,16,0,1,16,5.3,0,0.0,0,0,9,5,0,83.0,1230,Detroit Lions,1,Levi's,outdoors,grass,57,74,11,0,Mostly Cloudy
5,I.Guerendo,San Francisco 49ers,4,4,65,0,9,34,0,3,34,3.8,0,0.0,0,0,11,40,0,61.0,1230,Detroit Lions,1,Levi's,outdoors,grass,57,74,11,0,Mostly Cloudy
7,R.Pearsall,San Francisco 49ers,10,8,141,1,2,6,0,0,6,3.0,0,0.0,0,0,4,40,0,70.0,1230,Detroit Lions,1,Levi's,outdoors,grass,57,74,11,0,Mostly Cloudy
9,J.Dobbs,San Francisco 49ers,0,0,0,0,1,7,1,1,7,7.0,0,0.0,0,0,7,0,0,8.0,1230,Detroit Lions,1,Levi's,outdoors,grass,57,74,11,0,Mostly Cloudy
11,B.Purdy,San Francisco 49ers,0,0,0,0,3,12,1,2,12,4.0,0,0.0,0,0,9,0,0,92.0,1230,Detroit Lions,1,Levi's,outdoors,grass,57,74,11,0,Mostly Cloudy
13,J.Williams,Detroit Lions,8,5,77,1,2,-2,1,1,-2,-1.0,0,0.0,0,0,3,41,0,79.0,1230,San Francisco 49ers,0,Levi's,outdoors,grass,57,74,11,0,Mostly Cloudy
15,A.St.,Detroit Lions,10,8,60,1,0,0,0,0,0,0,0,0,0,0,0,14,0,79.0,1230,San Francisco 49ers,0,Levi's,outdoors,grass,57,74,11,0,Mostly Cloudy
17,J.Jefferson,Detroit Lions,0,0,0,0,3,9,0,0,9,3.0,0,0.0,0,0,8,0,0,10.0,1230,San Francisco 49ers,0,Levi's,outdoors,grass,57,74,11,0,Mostly Cloudy
19,C.Reynolds,Detroit Lions,2,2,35,0,7,31,0,1,31,4.4,0,0.0,0,0,9,26,0,34.0,1230,San Francisco 49ers,0,Levi's,outdoors,grass,57,74,11,0,Mostly Cloudy
21,J.Gibbs,Detroit Lions,4,4,46,0,18,117,1,5,117,6.5,0,0.0,0,0,30,19,0,52.0,1230,San Francisco 49ers,0,Levi's,outdoors,grass,57,74,11,0,Mostly Cloudy
23,J.Goff,Detroit Lions,0,0,0,0,3,-3,0,0,-3,-1.0,0,0.0,0,0,-1,0,0,100.0,1230,San Francisco 49ers,0,Levi's,outdoors,grass,57,74,11,0,Mostly Cloudy
24,A.Robinson,Detroit Lions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1230,San Francisco 49ers,0,Levi's,outdoors,grass,57,74,11,0,Mostly Cloudy
25,J.Jennings,San Francisco 49ers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1230,Detroit Lions,1,Levi's,outdoors,grass,57,74,11,0,Mostly Cloudy
26,C.Conley,San Francisco 49ers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1230,Detroit Lions,1,Levi's,outdoors,grass,57,74,11,0,Mostly Cloudy
27,S.LaPorta,Detroit Lions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1230,San Francisco 49ers,0,Levi's,outdoors,grass,57,74,11,0,Mostly Cloudy
28,G.Kittle,San Francisco 49ers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1230,Detroit Lions,1,Levi's,outdoors,grass,57,74,11,0,Mostly Cloudy
