,Name,Team,Rush_Att,Rush_Yds,Rush_TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br,Rush_Lng,Tgt,Rec,Rec_Yds,Rec_TD,Rec_Lng,FL,Pct,Date,Opponent,Hmcrt_adv,Stadium,Roof,Surface,Temperature,Humidity,Wind,Precipitation,Forecast
1,D.Ogunbowale,Houston Texans,1,5,0,0,5,5.0,0,0.0,0,0,5,0,0,0,0,0,0,21.0,1000011,Los Angeles Chargers,1,NRG,indoors,turf,54,41,9,0,Clear
3,D.Pierce,Houston Texans,2,15,0,1,15,7.5,0,0.0,0,0,13,0,0,0,0,0,0,8.0,1000011,Los Angeles Chargers,1,NRG,indoors,turf,54,41,9,0,Clear
5,J.Mixon,Houston Texans,25,106,1,5,106,4.2,0,0.0,0,0,17,2,1,13,0,13,1,71.0,1000011,Los Angeles Chargers,1,NRG,indoors,turf,54,41,9,0,Clear
7,C.Stroud,Houston Texans,6,42,0,2,42,7.0,0,0.0,0,0,27,0,0,0,0,0,0,100.0,1000011,Los Angeles Chargers,1,NRG,indoors,turf,54,41,9,0,Clear
9,D.Davis,Los Angeles Chargers,1,-3,0,0,-3,-3.0,0,0.0,0,0,-3,1,1,4,0,4,0,21.0,1000011,Houston Texans,0,NRG,indoors,turf,54,41,9,0,Clear
11,H.Haskins,Los Angeles Chargers,1,5,0,1,5,5.0,0,0.0,0,0,5,1,0,0,0,0,0,25.0,1000011,Houston Texans,0,NRG,indoors,turf,54,41,9,0,Clear
13,G.Edwards,Los Angeles Chargers,7,22,0,1,22,3.1,0,0.0,0,0,8,0,0,0,0,0,0,14.0,1000011,Houston Texans,0,NRG,indoors,turf,54,41,9,0,Clear
15,J.Dobbins,Los Angeles Chargers,9,26,0,2,26,2.9,0,0.0,0,0,8,1,0,0,0,0,0,61.0,1000011,Houston Texans,0,NRG,indoors,turf,54,41,9,0,Clear
17,M.Andrews,Baltimore Ravens,2,5,0,2,5,2.5,0,0.0,0,0,3,3,2,27,0,20,0,61.0,1000011,Pittsburgh Steelers,1,M&amp;T Bank,outdoors,grass,34,66,8,0,Clear
19,J.Hill,Baltimore Ravens,6,12,0,1,12,2.0,0,0.0,0,0,5,4,4,13,1,7,0,39.0,1000011,Pittsburgh Steelers,1,M&amp;T Bank,outdoors,grass,34,66,8,0,Clear
21,S.Sims,Baltimore Ravens,1,15,0,1,15,15.0,0,0.0,0,0,15,0,0,0,0,0,0,18.0,1000011,Pittsburgh Steelers,1,M&amp;T Bank,outdoors,grass,34,66,8,0,Clear
23,D.Henry,Baltimore Ravens,26,186,2,7,186,7.2,0,0.0,0,0,44,0,0,0,0,0,0,61.0,1000011,Pittsburgh Steelers,1,M&amp;T Bank,outdoors,grass,34,66,8,0,Clear
25,L.Jackson,Baltimore Ravens,15,81,0,5,81,5.4,0,0.0,0,0,20,0,0,0,0,0,0,100.0,1000011,Pittsburgh Steelers,1,M&amp;T Bank,outdoors,grass,34,66,8,0,Clear
27,J.Warren,Pittsburgh Steelers,2,6,0,1,6,3.0,0,0.0,0,0,4,5,4,19,0,7,0,54.0,1000011,Baltimore Ravens,0,M&amp;T Bank,outdoors,grass,34,66,8,0,Clear
29,N.Harris,Pittsburgh Steelers,6,17,0,1,17,2.8,0,0.0,0,0,5,3,3,41,0,21,0,46.0,1000011,Baltimore Ravens,0,M&amp;T Bank,outdoors,grass,34,66,8,0,Clear
