,Name,Team,Tgt,Rec,Rec_Yds,Rec_TD,Rush_Att,Rush_Yds,Rush_TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br,Rush_Lng,Rec_Lng,FL,Rush_1D,Rush_YBC,Rush_YBC/Att,Rush_YAC,Rush_YAC/Att,Rush_BrkTkl,Pct,Date,Opponent,Hmcrt_adv,Stadium,Roof,Surface,Temperature,Humidity,Wind,Precipitation,Forecast
0,C.Kupp,Los Angeles Rams,7,7,80,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,90.0,1111,Miami Dolphins,1,SoFi,indoors,turf,64,86,13,7,Clear
1,P.Nacua,Los Angeles Rams,14,9,98,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,79.0,1111,Miami Dolphins,1,SoFi,indoors,turf,64,86,13,7,Clear
2,K.Williams,Los Angeles Rams,6,5,20,0,15,62,0,4,62,4.1,0,0.0,0,0,9,12,1,0,0,0,0,0,0,93.0,1111,Miami Dolphins,1,SoFi,indoors,turf,64,86,13,7,Clear
3,M.Stafford,Los Angeles Rams,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,100.0,1111,Miami Dolphins,1,SoFi,indoors,turf,64,86,13,7,Clear
4,J.Waddle,Miami Dolphins,6,3,57,0,1,-1,0,0,-1,-1.0,0,0.0,0,0,-1,36,0,0,0,0,0,0,0,89.0,1111,Los Angeles Rams,0,SoFi,indoors,turf,64,86,13,7,Clear
5,J.Smith,Miami Dolphins,4,3,45,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,43.0,1111,Los Angeles Rams,0,SoFi,indoors,turf,64,86,13,7,Clear
6,T.Hill,Miami Dolphins,4,3,16,1,2,11,0,0,11,5.5,0,0.0,0,0,6,12,0,0,0,0,0,0,0,87.0,1111,Los Angeles Rams,0,SoFi,indoors,turf,64,86,13,7,Clear
7,M.Washington,Miami Dolphins,2,1,17,0,1,18,1,1,18,18.0,0,0.0,0,0,18,17,0,0,0,0,0,0,0,34.0,1111,Los Angeles Rams,0,SoFi,indoors,turf,64,86,13,7,Clear
8,D.Achane,Miami Dolphins,5,5,15,0,12,37,0,2,37,3.1,0,0.0,0,0,15,10,0,0,0,0,0,0,0,70.0,1111,Los Angeles Rams,0,SoFi,indoors,turf,64,86,13,7,Clear
9,T.Tagovailoa,Miami Dolphins,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,-1,0,1,0,-1,-1.0,0,0.0,0,100.0,1111,Los Angeles Rams,0,SoFi,indoors,turf,64,86,13,7,Clear
