Play,Expert,Team,Name,Opponent,Hmcrt_adv,All Game Percentages,All Game Correct,Last 3 Percentages,Last 3 Correct,Last 5 Percentages,Last 5 Correct,Temperature,Wind,Humidity,Precipitation,Forecast,Stadium,Roof,Surface,Odds,Units,Payout,Profit
J.Hurts u0.5 Int,Mjaybrxd,Philadelphia Eagles,j.hurts,Atlanta Falcons,1.0,0.0,0,0.0,0,0.0,0,69,7,78,1,Mostly Cloudy,Lincoln Financial Field,outdoors,grass,-130,1.3,2.3,0.9999999999999998
K.Cousins u0.5 Int,GDAWG5000,Atlanta Falcons,k.cousins,Philadelphia Eagles,0.0,0.0,0,0.0,0,0.0,0,69,6,78,1,Mostly Cloudy,Lincoln Financial Field,outdoors,grass,140,0.5,1.2,0.7
K.Cousins u0.5 Int,cowhitchurch,Atlanta Falcons,k.cousins,Philadelphia Eagles,0.0,0.0,0,0.0,0,0.0,0,69,6,78,1,Mostly Cloudy,Lincoln Financial Field,outdoors,grass,135,0.5,1.175,0.675
K.Cousins u0.5 Int,nick_giffen,Atlanta Falcons,k.cousins,Philadelphia Eagles,0.0,0.0,0,0.0,0,0.0,0,69,6,78,1,Mostly Cloudy,Lincoln Financial Field,outdoors,grass,140,1.0,2.4,1.4
K.Cousins u0.5 Int,GreenDotDaily,Atlanta Falcons,k.cousins,Philadelphia Eagles,0.0,0.0,0,0.0,0,0.0,0,69,6,78,1,Mostly Cloudy,Lincoln Financial Field,outdoors,grass,140,1.0,2.4,1.4
K.Cousins o0.5 Int,KyleJustBets,Atlanta Falcons,k.cousins,Philadelphia Eagles,0.0,1.0,1,1.0,1,1.0,1,71,8,73,1,Overcast,Lincoln Financial Field,outdoors,grass,-145,1.0,1.6896551724137931,0.6896551724137931
