,Play,Expert,Team,Name,Opponent,Hmcrt_adv,All Game Percentages,All Game Correct,Last 3 Percentages,Last 3 Correct,Last 5 Percentages,Last 5 Correct,Temperature,Wind,Humidity,Precipitation,Forecast,Stadium,Roof,Surface,Odds,Units,Payout,Profit,Over?,Under?,Prop Bets,Correct
0,J.Williams o2.5 Recs,goodelleaks_duplicate_duplicate,Detroit Lions,j.williams,Chicago Bears,0,0.7692307692307693,1,1.0,1,1.0,1,30,3,92,3,Mostly Cloudy,Lambeau Field,outdoors,grass,-128,2.0,3.5625,1.5625,1,0,Rec,N
1,T.Kraft o32.5 receiving yards,Rotowire Sleeper,Green Bay Packers,t.kraft,New Orleans Saints,1,0.6428571428571429,1,1.0,1,0.6,1,29,5,100,18,Snow,Lambeau Field,outdoors,grass,100,1.5,3.0,1.5,1,0,Rec_Yds,Y
2,M.Valdes-scantling o31.5 receiving yards,Rotowire Sleeper,New Orleans Saints,m.valdes-scantling,Green Bay Packers,0,0.8333333333333334,1,1.0,1,1.0,1,29,5,100,18,Snow,Lambeau Field,outdoors,grass,100,1.5,3.0,1.5,1,0,Rec_Yds,X
3,J.Love o237.5 passing + rushing yards,Rotowire Prizepicks,Green Bay Packers,j.love,New Orleans Saints,1,0.5,0,0.3333333333333333,0,0.4,0,29,5,100,18,Snow,Lambeau Field,outdoors,grass,100,1.5,3.0,1.5,1,0,Pass_Yds+Rush_Yds,N
4,T.Kraft o33.5 receiving yards,Rotowire Prizepicks,Green Bay Packers,t.kraft,New Orleans Saints,1,0.5714285714285714,1,1.0,1,0.6,1,29,5,100,18,Snow,Lambeau Field,outdoors,grass,100,1.5,3.0,1.5,1,0,Rec_Yds,Y
5,J.Jacobs o91.5 Rush Yds,moneybadger24_,Green Bay Packers,j.jacobs,New Orleans Saints,1,0.3571428571428571,0,0.3333333333333333,0,0.4,0,31,5,88,19,Snow,Lambeau Field,outdoors,grass,-115,1.15,2.1499999999999995,0.9999999999999996,1,0,Rush_Yds,N
6,J.Jacobs o108.5 rushing + receiving yards,Rotowire Sleeper,Green Bay Packers,j.jacobs,New Orleans Saints,1,0.3571428571428571,0,0.6666666666666666,1,0.6,1,31,5,88,19,Snow,Lambeau Field,outdoors,grass,100,1.5,3.0,1.5,1,0,rushing + receiving yards,N
7,J.Johnson o29.5 Rec Yds,moneylinewixted,New Orleans Saints,j.johnson,Green Bay Packers,0,0.5833333333333334,1,0.6666666666666666,1,0.6,1,31,6,88,8,Snow,Lambeau Field,outdoors,grass,-110,3.0,5.727272727272728,2.7272727272727275,1,0,Rec_Yds,N
8,E.Wilson o13.5 Rush Yds,ThePropfessor_,Green Bay Packers,e.wilson,New Orleans Saints,1,0.6428571428571429,1,0.3333333333333333,0,0.6,1,31,6,88,8,Snow,Lambeau Field,outdoors,grass,-120,1.2,2.2,1.0000000000000002,1,0,Rush_Yds,Y
9,J.Love o38.5 Longest Completion,therocketplays,Green Bay Packers,j.love,New Orleans Saints,1,0.75,1,0.6666666666666666,1,0.6,1,31,6,81,5,Mostly Cloudy,Lambeau Field,outdoors,grass,-114,1.14,2.14,0.9999999999999998,1,0,Pass_Lng,N
