,Play,Expert,Team,Name,Opponent,Hmcrt_adv,All Game Percentages,All Game Correct,Last 3 Percentages,Last 3 Correct,Last 5 Percentages,Last 5 Correct,Temperature,Wind,Humidity,Precipitation,Forecast,Stadium,Roof,Surface,Odds,Units,Payout,Profit,Over?,Under?,Prop Bets,Correct
0,C.Lamb o80.5 Rec Yds,sandyplashkes,Dallas Cowboys,c.lamb,New York Giants,0,0.3333333333333333,0,0.3333333333333333,0,0.3333333333333333,0,73,6,84,44,Rain,MetLife,outdoors,turf,-120.0,1.2,2.2,1.0000000000000002,1,0,Rec_Yds,Y
1,C.Lamb o85.5 Rush + Rec Yds,RoyalsProps,Dallas Cowboys,c.lamb,New York Giants,0,0.6666666666666666,1,0.6666666666666666,1,0.6666666666666666,1,73,6,84,44,Rain,MetLife,outdoors,turf,-115.0,1.15,2.1499999999999995,0.9999999999999996,1,0,Rush_Yds+Rec_Yds,Y
2,R.Dowdle o10.5 Rec Yds,KyleJustBets,Dallas Cowboys,r.dowdle,New York Giants,0,0.6666666666666666,1,0.6666666666666666,1,0.6666666666666666,1,73,6,84,44,Rain,MetLife,outdoors,turf,-120.0,1.0,1.8333333333333333,0.8333333333333335,1,0,Rec_Yds,Y
3,R.Dowdle o51.5 Rush + Rec Yds,ThePropfessor_,Dallas Cowboys,r.dowdle,New York Giants,0,0.6666666666666666,1,0.6666666666666666,1,0.6666666666666666,1,73,6,84,44,Rain,MetLife,outdoors,turf,-115.0,1.15,2.1499999999999995,0.9999999999999996,1,0,Rush_Yds+Rec_Yds,Y
4,E.Elliott o1.5 Recs,MoneylineHacks,Dallas Cowboys,e.elliott,New York Giants,0,0.6666666666666666,1,0.6666666666666666,1,0.6666666666666666,1,73,6,84,44,Rain,MetLife,outdoors,turf,125.0,1.0,2.25,1.25,1,0,Rec,N
5,W.Robinson o34.5 receiving yards,Rotowire Sleeper,New York Giants,w.robinson,Dallas Cowboys,1,0.6666666666666666,1,0.6666666666666666,1,0.6666666666666666,1,73,6,84,44,Rain,MetLife,outdoors,turf,100.0,1.5,3.0,1.5,1,0,Rec_Yds,Y
6,B.Cooks o36.5 receiving yards,Rotowire Sleeper,Dallas Cowboys,b.cooks,New York Giants,0,0.3333333333333333,0,0.3333333333333333,0,0.3333333333333333,0,73,6,84,44,Rain,MetLife,outdoors,turf,100.0,1.5,3.0,1.5,1,0,Rec_Yds,N
7,R.Dowdle u57.5 rushing + receiving yards,Rotowire Prizepicks,Dallas Cowboys,r.dowdle,New York Giants,0,0.6666666666666666,1,0.6666666666666666,1,0.6666666666666666,1,75,6,82,46,Rain,MetLife,outdoors,turf,100.0,1.5,3.0,1.5,0,1,rushing + receiving yards,N
8,J.Ferguson o41.5 Rec Yds,FirefighterBets,Dallas Cowboys,j.ferguson,New York Giants,0,0.5,0,0.5,0,0.5,0,75,6,82,46,Rain,MetLife,outdoors,turf,-115.0,1.0,1.869565217391304,0.8695652173913042,1,0,Rec_Yds,Y
9,W.Robinson o34.5 Rec Yds,FirefighterBets,New York Giants,w.robinson,Dallas Cowboys,1,0.6666666666666666,1,0.6666666666666666,1,0.6666666666666666,1,75,6,82,46,Rain,MetLife,outdoors,turf,-110.0,1.0,1.9090909090909087,0.9090909090909092,1,0,Rec_Yds,Y
10,R.Dowdle u39.5 rushing yards,Rotowire Prizepicks,Dallas Cowboys,r.dowdle,New York Giants,0,1.0,1,1.0,1,1.0,1,75,6,82,46,Rain,MetLife,outdoors,turf,100.0,1.5,3.0,1.5,0,1,Rush_Yds,N
11,R.Dowdle u39.5 Rush Yds,gneiffer07,Dallas Cowboys,r.dowdle,New York Giants,0,1.0,1,1.0,1,1.0,1,72,6,93,48,Rain,MetLife,outdoors,turf,-113.0,1.13,2.13,1.0,0,1,Rush_Yds,N
12,D.Singletary o60.5 rushing yards,Ed Scimia,New York Giants,d.singletary,Dallas Cowboys,1,0.6666666666666666,1,0.6666666666666666,1,0.6666666666666666,1,72,6,93,48,Rain,MetLife,outdoors,turf,100.0,0.75,1.5,0.75,1,0,Rush_Yds,N
13,D.Jones o1.5 passing touchdowns,Ed Scimia,New York Giants,d.jones,Dallas Cowboys,1,0.6666666666666666,1,0.6666666666666666,1,0.6666666666666666,1,72,6,93,48,Rain,MetLife,outdoors,turf,100.0,0.75,1.5,0.75,1,0,Pass_TD,N
14,J.Tolbert o0.5 rush_td+rec_td,Ed Scimia,Dallas Cowboys,j.tolbert,New York Giants,0,0.3333333333333333,0,0.3333333333333333,0,0.3333333333333333,0,72,6,93,48,Rain,MetLife,outdoors,turf,100.0,0.75,1.5,0.75,1,0,Rush_TD+Rec_TD,N
15,R.Dowdle o13.5 Rec Yds,therocketplays,Dallas Cowboys,r.dowdle,New York Giants,0,0.6666666666666666,1,0.6666666666666666,1,0.6666666666666666,1,72,6,93,48,Rain,MetLife,outdoors,turf,-113.0,1.13,2.13,1.0,1,0,Rec_Yds,Y
16,J.Ferguson o39.5 Rec Yds,LinesAtLunch,Dallas Cowboys,j.ferguson,New York Giants,0,0.5,0,0.5,0,0.5,0,73,6,87,47,Rain,MetLife,outdoors,turf,-118.0,1.18,2.18,0.9999999999999998,1,0,Rec_Yds,Y
17,C.Lamb o79.5 Rec Yds,charliedisturco,Dallas Cowboys,c.lamb,New York Giants,0,0.3333333333333333,0,0.3333333333333333,0,0.3333333333333333,0,73,6,87,47,Rain,MetLife,outdoors,turf,-110.0,1.1,2.1,1.0,1,0,Rec_Yds,Y
18,J.Tolbert o28.5 Rec Yds,FirefighterBets,Dallas Cowboys,j.tolbert,New York Giants,0,0.6666666666666666,1,0.6666666666666666,1,0.6666666666666666,1,73,6,87,47,Rain,MetLife,outdoors,turf,-115.0,1.0,1.869565217391304,0.8695652173913042,1,0,Rec_Yds,N
19,D.Singletary o15.5 longest rush yards,Jared Hochman,New York Giants,d.singletary,Dallas Cowboys,1,0.6666666666666666,1,0.6666666666666666,1,0.6666666666666666,1,73,6,87,47,Rain,MetLife,outdoors,turf,100.0,0.75,1.5,0.75,1,0,Rush_Lng,N
20,R.Dowdle o14.5 Rec Yds,sandyplashkes,Dallas Cowboys,r.dowdle,New York Giants,0,0.6666666666666666,1,0.6666666666666666,1,0.6666666666666666,1,73,6,87,47,Rain,MetLife,outdoors,turf,-112.0,1.12,2.12,1.0,1,0,Rec_Yds,Y
21,C.Lamb o80.5 Rec Yds,LinesAtLunch,Dallas Cowboys,c.lamb,New York Giants,0,0.3333333333333333,0,0.3333333333333333,0,0.3333333333333333,0,73,6,87,47,Rain,MetLife,outdoors,turf,-120.0,1.2,2.2,1.0000000000000002,1,0,Rec_Yds,Y
22,M.Nabers o0.5 rush_td+rec_td,CroweRadio,New York Giants,m.nabers,Dallas Cowboys,1,0.6666666666666666,1,0.6666666666666666,1,0.6666666666666666,1,73,6,87,47,Rain,MetLife,outdoors,turf,150.0,0.4,1.0,0.6,1,0,Rush_TD+Rec_TD,N
23,R.Dowdle u60.5 rushing + receiving yards,Rotowire Prizepicks,Dallas Cowboys,r.dowdle,New York Giants,0,1.0,1,1.0,1,1.0,1,73,6,87,47,Rain,MetLife,outdoors,turf,100.0,1.5,3.0,1.5,0,1,rushing + receiving yards,N
24,E.Elliott u7.5 Rush Att,MoneylineHacks,Dallas Cowboys,e.elliott,New York Giants,0,0.6666666666666666,1,0.6666666666666666,1,0.6666666666666666,1,73,6,87,47,Rain,MetLife,outdoors,turf,-105.0,1.0,1.9523809523809523,0.9523809523809524,0,1,Rush_Att,Y
25,D.Jones o6.5 Rush Att,PropBetGuy,New York Giants,d.jones,Dallas Cowboys,1,0.3333333333333333,0,0.3333333333333333,0,0.3333333333333333,0,73,5,93,49,Rain,MetLife,outdoors,turf,115.0,1.0,2.15,1.15,1,0,Rush_Att,N
26,E.Elliott u28.5 Rush Yds,cowhitchurch,Dallas Cowboys,e.elliott,New York Giants,0,0.6666666666666666,1,0.6666666666666666,1,0.6666666666666666,1,73,5,93,49,Rain,MetLife,outdoors,turf,-119.0,1.19,2.19,1.0,0,1,Rush_Yds,Y
27,W.Robinson o33.5 Rec Yds,kylemurray03,New York Giants,w.robinson,Dallas Cowboys,1,0.6666666666666666,1,0.6666666666666666,1,0.6666666666666666,1,73,5,93,49,Rain,MetLife,outdoors,turf,-110.0,1.1,2.1,1.0,1,0,Rec_Yds,Y
28,D.Prescott o23.5 Pass Comp,chrisgimino_,Dallas Cowboys,d.prescott,New York Giants,0,0.6666666666666666,1,0.6666666666666666,1,0.6666666666666666,1,73,5,93,49,Rain,MetLife,outdoors,turf,-112.0,1.0,1.8928571428571428,0.8928571428571428,1,0,Cmp,N
29,W.Robinson o33.5 Rec Yds,theprophunter0_,New York Giants,w.robinson,Dallas Cowboys,1,0.6666666666666666,1,0.6666666666666666,1,0.6666666666666666,1,73,5,93,49,Rain,MetLife,outdoors,turf,-120.0,1.2,2.2,1.0000000000000002,1,0,Rec_Yds,Y
30,D.Singletary o0.5 rush_td+rec_td,theprophunter0_,New York Giants,d.singletary,Dallas Cowboys,1,0.6666666666666666,1,0.6666666666666666,1,0.6666666666666666,1,73,5,93,49,Rain,MetLife,outdoors,turf,110.0,1.0,2.1,1.1,1,0,Rush_TD+Rec_TD,N
31,C.Lamb o78.5 Rec Yds,theprophunter0_,Dallas Cowboys,c.lamb,New York Giants,0,0.3333333333333333,0,0.3333333333333333,0,0.3333333333333333,0,73,5,93,49,Rain,MetLife,outdoors,turf,-120.0,1.2,2.2,1.0000000000000002,1,0,Rec_Yds,Y
32,W.Robinson o34.5 Rush + Rec Yds,therocketplays,New York Giants,w.robinson,Dallas Cowboys,1,0.6666666666666666,1,0.6666666666666666,1,0.6666666666666666,1,73,5,93,49,Rain,MetLife,outdoors,turf,-110.0,1.1,2.1,1.0,1,0,Rush_Yds+Rec_Yds,Y
33,B.Aubrey o1.5 FGs Made,gamblersdream,Dallas Cowboys,b.aubrey,New York Giants,0,1.0,1,1.0,1,1.0,1,75,3,93,49,Overcast,MetLife,outdoors,turf,-152.0,2.8,4.642105263157895,1.8421052631578947,1,0,FGM,Y
34,M.Nabers o0.5 rush_td+rec_td,BetWhatHappensLive,New York Giants,m.nabers,Dallas Cowboys,1,0.6666666666666666,1,0.6666666666666666,1,0.6666666666666666,1,74,3,93,49,Overcast,MetLife,outdoors,turf,280.0,1.0,3.8,2.8,1,0,Rush_TD+Rec_TD,N
35,T.Johnson o24.5 Receiving Yards,charliedisturco_duplicate,Buffalo Bills,t.johnson,Baltimore Ravens,0,0.6666666666666666,1,0.6666666666666666,1,0.6666666666666666,1,74,3,93,49,Overcast,MetLife,outdoors,turf,205.0,0.5,1.525,1.025,1,0,Rec_Yds,N
36,T.Johnson o24.5 Receiving Yards,GreenDotDaily_duplicate,Buffalo Bills,t.johnson,Baltimore Ravens,0,0.6666666666666666,1,0.6666666666666666,1,0.6666666666666666,1,74,3,93,49,Overcast,MetLife,outdoors,turf,205.0,1.0,3.05,2.05,1,0,Rec_Yds,N
37,T.Johnson o24.5 Receiving Yards,GreenDotDaily_duplicate,New York Giants,t.johnson,Dallas Cowboys,1,0.0,0,0.0,0,0.0,0,74,3,93,49,Overcast,MetLife,outdoors,turf,205.0,1.0,3.05,2.05,1,0,Rec_Yds,N
