,Play,Expert,Team,Name,Opponent,Hmcrt_adv,All Game Percentages,All Game Correct,Last 3 Percentages,Last 3 Correct,Last 5 Percentages,Last 5 Correct,Temperature,Wind,Humidity,Precipitation,Forecast,Stadium,Roof,Surface,Odds,Units,Payout,Profit,Over?,Under?,Prop Bets,Correct
0,C.Williams u31.5 Rush Yds,MoneylineHacks,Chicago Bears,c.williams,Detroit Lions,0,0.4545454545454545,0,0.3333333333333333,0,0.4,0,40,10,66,5,Snow,Ford Field,indoors,turf,-114.0,1.0,1.8771929824561404,0.8771929824561404,0,1,Rush_Yds,N
1,D.Achane o29.5 receiving yards,Rotowire Sleeper,Miami Dolphins,d.achane,Green Bay Packers,0,0.4545454545454545,0,0.3333333333333333,0,0.6,1,28,8,68,8,Mostly Cloudy,Lambeau Field,outdoors,grass,100.0,1.5,3.0,1.5,1,0,Rec_Yds,Y
2,T.Kraft o29.5 receiving yards,Rotowire Prizepicks,Green Bay Packers,t.kraft,Miami Dolphins,1,0.5454545454545454,1,0.3333333333333333,0,0.6,1,28,8,68,8,Mostly Cloudy,Lambeau Field,outdoors,grass,100.0,1.5,3.0,1.5,1,0,Rec_Yds,Y
3,J.Reed o47.5 receiving yards,Rotowire Sleeper,Green Bay Packers,j.reed,Miami Dolphins,1,0.5454545454545454,1,0.3333333333333333,0,0.4,0,28,8,68,8,Mostly Cloudy,Lambeau Field,outdoors,grass,100.0,1.5,3.0,1.5,1,0,Rec_Yds,N
4,J.Reed o47.5 receiving yards,Rotowire Prizepicks,Green Bay Packers,j.reed,Miami Dolphins,1,0.5454545454545454,1,0.3333333333333333,0,0.4,0,28,8,68,8,Mostly Cloudy,Lambeau Field,outdoors,grass,100.0,1.5,3.0,1.5,1,0,Rec_Yds,N
5,J.Smith o40.5 receiving yards,Rotowire Sleeper,Miami Dolphins,j.smith,Green Bay Packers,0,0.6363636363636364,1,1.0,1,0.8,1,28,8,68,8,Mostly Cloudy,Lambeau Field,outdoors,grass,100.0,1.5,3.0,1.5,1,0,Rec_Yds,Y
6,J.Waddle u47.5 receiving yards,Rotowire Prizepicks,Miami Dolphins,j.waddle,Green Bay Packers,0,0.7272727272727273,1,0.3333333333333333,0,0.6,1,28,8,68,8,Mostly Cloudy,Lambeau Field,outdoors,grass,100.0,1.5,3.0,1.5,0,1,Rec_Yds,N
7,D.Swift o62.5 rushing + receiving yards,Rotowire Sleeper,Chicago Bears,d.swift,Detroit Lions,0,0.7272727272727273,1,1.0,1,1.0,1,40,10,66,5,Snow,Ford Field,indoors,turf,100.0,1.5,3.0,1.5,1,0,rushing + receiving yards,Y
8,J.Smith o40.5 receiving yards,Rotowire Prizepicks,Miami Dolphins,j.smith,Green Bay Packers,0,0.6363636363636364,1,1.0,1,0.8,1,28,8,68,8,Mostly Cloudy,Lambeau Field,outdoors,grass,100.0,1.5,3.0,1.5,1,0,Rec_Yds,Y
9,J.Jacobs o69.5 rushing yards,Rotowire Prizepicks,Green Bay Packers,j.jacobs,Miami Dolphins,1,0.7272727272727273,1,1.0,1,1.0,1,28,8,68,8,Mostly Cloudy,Lambeau Field,outdoors,grass,100.0,1.5,3.0,1.5,1,0,Rush_Yds,N
10,M.Nabers o60.5 Rec Yds,sandyplashkes,New York Giants,m.nabers,Dallas Cowboys,0,0.6666666666666666,1,0.3333333333333333,0,0.4,0,54,10,38,0,Clear,AT&amp;T,indoors,turf,-112.0,1.12,2.12,1.0,1,0,Rec_Yds,Y
11,J.Reed o49.5 Rec Yds,sandyplashkes,Green Bay Packers,j.reed,Miami Dolphins,1,0.5454545454545454,1,0.3333333333333333,0,0.4,0,28,13,68,8,Mostly Cloudy,Lambeau Field,outdoors,grass,-114.0,1.14,2.14,0.9999999999999998,1,0,Rec_Yds,N
12,J.Love u249.5 passing yards,Rotowire Prizepicks,Green Bay Packers,j.love,Miami Dolphins,1,0.4444444444444444,0,0.3333333333333333,0,0.6,1,28,7,68,8,Snow,Lambeau Field,outdoors,grass,100.0,1.5,3.0,1.5,0,1,Pass_Yds,N
13,C.Rush o200.5 passing yards,Rotowire Prizepicks,Dallas Cowboys,c.rush,New York Giants,1,0.4,0,0.6666666666666666,1,0.4,0,54,10,38,0,Clear,AT&amp;T,indoors,turf,100.0,1.5,3.0,1.5,1,0,Pass_Yds,N
14,T.Devito o173.5 passing yards,Rotowire Sleeper,New York Giants,t.devito,Dallas Cowboys,0,1.0,1,1.0,1,1.0,1,54,10,38,0,Clear,AT&amp;T,indoors,turf,100.0,1.5,3.0,1.5,1,0,Pass_Yds,X
15,S.Laporta u39.5 receiving yards,Rotowire Prizepicks,Detroit Lions,s.laporta,Chicago Bears,1,0.5,0,0.6666666666666666,1,0.6,1,40,9,66,7,Snow,Ford Field,indoors,turf,100.0,1.5,3.0,1.5,0,1,Rec_Yds,Y
16,K.Allen o47.5 receiving yards,Rotowire Sleeper,Chicago Bears,k.allen,Detroit Lions,0,0.1111111111111111,0,0.3333333333333333,0,0.2,0,40,10,60,6,Mostly Cloudy,Ford Field,indoors,turf,100.0,1.5,3.0,1.5,1,0,Rec_Yds,Y
