Play,Expert,Team,Name,Opponent,Hmcrt_adv,All Game Percentages,All Game Correct,Last 3 Percentages,Last 3 Correct,Last 5 Percentages,Last 5 Correct,Temperature,Wind,Humidity,Precipitation,Forecast,Stadium,Roof,Surface,Odds,Units,Payout,Profit,Over?,Under?,Prop Bets
J.Hurts o14.5 Longest Rush,RoyalsProps,Philadelphia Eagles,j.hurts,Cleveland Browns,1.0,0.5,0,0.6666666666666666,1,0.5,0,69,7,47,18,Rain,Lincoln Financial Field,outdoors,grass,-115.0,1.15,2.1499999999999995,0.9999999999999996,1,0,Rush_Lng
C.Brown o13.5 Longest Rush,The_Oddsmaker,Cincinnati Bengals,c.brown,New York Giants,0.0,0.6,1,1.0,1,0.6,1,69,0,59,16,Rain,MetLife,outdoors,turf,-120.0,1.2,2.2,1.0000000000000002,1,0,Rush_Lng
C.Brown o13.5 Longest Rush,charliedisturco,Cincinnati Bengals,c.brown,New York Giants,0.0,0.6,1,1.0,1,0.6,1,69,0,59,16,Rain,MetLife,outdoors,turf,-115.0,1.15,2.1499999999999995,0.9999999999999996,1,0,Rush_Lng
