,Name,Team,Tgt,Rec,Rec_Yds,Rec_TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Rat,Rush_Yds,Rush_TD,Rush_Lng,Rec_Lng,FL,Rec_1D,Rec_YBC,Rec_YBC/R,Rec_YAC,Rec_YAC/R,Rec_BrkTkl,Rec_Rec/Br,Rush_Att,Pct,Date,Opponent,Hmcrt_adv,Stadium,Roof,Surface,Temperature,Humidity,Wind,Precipitation,Forecast
0,Q.Johnston,Los Angeles Chargers,5,0,0,0,0,0,0,0,0,11.8,0,0.0,0,0.0,39.6,0,0,0,0,0,0,0,0,0,0,0,0.0,0,65.0,1125,Baltimore Ravens,1,SoFi,indoors,turf,65,80,8,14,Partly Cloudy
1,T.Fisk,Los Angeles Chargers,1,1,7,0,0,0,0,0,0,0.0,0,0.0,0,0.0,95.8,0,0,0,7,0,0,0,0.0,7,7.0,0,0.0,0,26.0,1125,Baltimore Ravens,1,SoFi,indoors,turf,65,80,8,14,Partly Cloudy
2,J.Reagor,Los Angeles Chargers,4,2,20,0,1,20,10.0,0,0.0,7.0,0,0.0,0,0.0,64.6,0,0,0,11,0,0,0,0,0,0,0,0.0,0,30.0,1125,Baltimore Ravens,1,SoFi,indoors,turf,65,80,8,14,Partly Cloudy
3,J.Palmer,Los Angeles Chargers,8,3,38,0,0,0,0,0,0,23.3,0,0.0,0,0.0,53.1,0,0,0,17,0,3,38,12.7,0,0.0,0,0.0,0,83.0,1125,Baltimore Ravens,1,SoFi,indoors,turf,65,80,8,14,Partly Cloudy
4,W.Dissly,Los Angeles Chargers,4,4,47,0,0,0,0,0,0,6.3,0,0.0,0,0.0,115.6,0,0,0,18,0,1,25,6.3,22,5.5,0,0.0,0,75.0,1125,Baltimore Ravens,1,SoFi,indoors,turf,65,80,8,14,Partly Cloudy
5,L.McConkey,Los Angeles Chargers,6,6,83,0,0,0,0,0,0,11.2,0,0.0,0,0.0,118.7,0,0,0,19,0,4,67,11.2,16,2.7,0,0.0,0,86.0,1125,Baltimore Ravens,1,SoFi,indoors,turf,65,80,8,14,Partly Cloudy
6,G.Edwards,Los Angeles Chargers,1,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,39.6,11,1,8,0,0,0,0,0,0,0,0,0.0,0,23.0,1125,Baltimore Ravens,1,SoFi,indoors,turf,65,80,8,14,Partly Cloudy
7,J.Dobbins,Los Angeles Chargers,5,3,19,0,0,1,0.3,18,6.0,-0.8,0,0.0,0,0.0,67.9,40,0,17,11,0,0,0,0,0,0,0,0.0,0,30.0,1125,Baltimore Ravens,1,SoFi,indoors,turf,65,80,8,14,Partly Cloudy
8,C.Kolar,Baltimore Ravens,1,1,6,0,0,3,3.0,3,3.0,3.0,0,0.0,0,0.0,91.7,0,0,0,6,0,0,0,0,0,0,0,0.0,0,49.0,1125,Los Angeles Chargers,0,SoFi,indoors,turf,65,80,8,14,Partly Cloudy
9,R.Bateman,Baltimore Ravens,3,2,43,1,0,0,0,0,0,24.7,0,0.0,0,0.0,149.3,0,0,0,40,0,1,42,21.0,1,0.5,0,0.0,0,57.0,1125,Los Angeles Chargers,0,SoFi,indoors,turf,65,80,8,14,Partly Cloudy
10,Z.Flowers,Baltimore Ravens,8,5,62,0,2,35,7.0,27,5.4,10.0,0,0.0,0,0.0,86.5,0,0,0,25,0,0,0,0,0,0,0,0.0,0,77.0,1125,Los Angeles Chargers,0,SoFi,indoors,turf,65,80,8,14,Partly Cloudy
11,M.Andrews,Baltimore Ravens,5,5,44,1,3,28,5.6,16,3.2,5.6,0,0.0,0,0.0,142.9,2,0,2,16,0,0,0,0,0,0,0,0.0,0,42.0,1125,Los Angeles Chargers,0,SoFi,indoors,turf,65,80,8,14,Partly Cloudy
12,J.Hill,Baltimore Ravens,2,2,7,0,0,-2,-1.0,9,4.5,-1.0,0,0.0,0,0.0,81.2,55,1,51,9,0,0,0,0,0,0,0,0.0,0,40.0,1125,Los Angeles Chargers,0,SoFi,indoors,turf,65,80,8,14,Partly Cloudy
13,D.Henry,Baltimore Ravens,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,140,0,27,0,0,0,0,0,0,0,0,0.0,0,60.0,1125,Los Angeles Chargers,0,SoFi,indoors,turf,65,80,8,14,Partly Cloudy
