,Name,Team,Tgt,Rec,Rec_Yds,Rec_TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Rat,Rush_Yds,Rush_TD,Rush_Lng,Rec_Lng,FL,Rec_1D,Rec_YBC,Rec_YBC/R,Rec_YAC,Rec_YAC/R,Rec_BrkTkl,Rec_Rec/Br,Rush_Att,Pct,Date,Opponent,Hmcrt_adv,Stadium,Roof,Surface,Temperature,Humidity,Wind,Precipitation,Forecast
0,B.Wright,Detroit Lions,2,2,13,0,0,0,0,0,0,2.5,0,0.0,0,0.0,93.7,0,0,0,10,0,1,5,2.5,8,4.0,0,0.0,0,55.0,930,Seattle Seahawks,1,Ford Field,indoors,turf,68,86,3,9,Clear
1,T.Patrick,Detroit Lions,2,2,52,0,0,0,0,0,0,11.5,0,0.0,0,0.0,118.7,0,0,0,29,0,2,23,11.5,29,14.5,0,0.0,0,40.0,930,Seattle Seahawks,1,Ford Field,indoors,turf,68,86,3,9,Clear
2,S.LaPorta,Detroit Lions,4,4,53,0,0,0,0,0,0,-1.5,0,0.0,0,0.0,118.7,0,0,0,30,0,3,-6,-1.5,59,14.8,0,0.0,0,89.0,930,Seattle Seahawks,1,Ford Field,indoors,turf,68,86,3,9,Clear
3,J.Williams,Detroit Lions,2,2,80,1,2,24,12.0,56,28.0,12.0,0,0.0,0,0.0,158.3,0,0,0,70,0,0,0,0,0,0,0,0.0,0,96.0,930,Seattle Seahawks,1,Ford Field,indoors,turf,68,86,3,9,Clear
4,D.Montgomery,Detroit Lions,1,1,40,0,1,1,1.0,39,39.0,1.0,0,0.0,0,0.0,118.7,40,1,13,40,0,0,0,0,0,0,0,0.0,0,40.0,930,Seattle Seahawks,1,Ford Field,indoors,turf,68,86,3,9,Clear
5,J.Gibbs,Detroit Lions,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,78,2,20,0,0,0,0,0,0,0,0,0.0,0,57.0,930,Seattle Seahawks,1,Ford Field,indoors,turf,68,86,3,9,Clear
6,A.St.,Detroit Lions,6,6,45,1,0,0,0,0,0,5.0,0,0.0,0,0.0,137.5,0,0,0,17,0,2,30,5.0,15,2.5,0,0.0,0,89.0,930,Seattle Seahawks,1,Ford Field,indoors,turf,68,86,3,9,Clear
7,J.Goff,Detroit Lions,1,1,7,1,1,5,5.0,2,2.0,5.0,0,0.0,0,0.0,135.4,-2,0,-1,7,0,0,0,0,0,0,0,0.0,0,100.0,930,Seattle Seahawks,1,Ford Field,indoors,turf,68,86,3,9,Clear
8,P.Brown,Seattle Seahawks,2,1,3,0,0,0,0,0,0,1.5,0,0.0,0,0.0,56.2,0,0,0,3,0,0,-1,-1.0,4,4.0,0,0.0,0,31.0,930,Detroit Lions,0,Ford Field,indoors,turf,68,86,3,9,Clear
9,N.Fant,Seattle Seahawks,2,2,26,0,0,0,0,0,0,10.5,0,0.0,0,0.0,118.7,0,0,0,16,0,2,21,10.5,5,2.5,0,0.0,0,57.0,930,Detroit Lions,0,Ford Field,indoors,turf,68,86,3,9,Clear
