,Name,Team,Tgt,Rec,Rec_Yds,Rec_TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Rat,Rush_Att,Rush_Yds,Rush_TD,Rush_Lng,Rec_Lng,FL,Pct,Date,Opponent,Hmcrt_adv,Stadium,Roof,Surface,Temperature,Humidity,Wind,Precipitation,Forecast
1,D.Smith,Philadelphia Eagles,4,4,45,0,2,14,3.5,31,7.8,3.5,0,0,0,0.0,113.5,0,0,0,0,20,0,83.0,1000026,Washington Commanders,1,Lincoln Financial Field,outdoors,grass,42,48,11,0,Mostly Cloudy
3,A.Brown,Philadelphia Eagles,8,6,96,1,6,62,10.3,34,5.7,11.8,0,0,0,0.0,154.2,0,0,0,0,31,0,89.0,1000026,Washington Commanders,1,Lincoln Financial Field,outdoors,grass,42,48,11,0,Mostly Cloudy
5,K.Gainwell,Philadelphia Eagles,2,2,16,0,0,-4,-2.0,20,10.0,-2.0,0,0,0,0.0,100.0,3,8,0,4,8,0,17.0,1000026,Washington Commanders,1,Lincoln Financial Field,outdoors,grass,42,48,11,0,Mostly Cloudy
7,D.Goedert,Philadelphia Eagles,8,7,85,0,4,31,4.4,54,7.7,5.4,0,0,0,0.0,110.9,2,13,0,9,26,0,82.0,1000026,Washington Commanders,1,Lincoln Financial Field,outdoors,grass,42,48,11,0,Mostly Cloudy
9,S.Barkley,Philadelphia Eagles,2,1,4,0,0,-3,-3.0,7,7.0,0.5,0,0,0,0.0,56.2,15,118,3,60,4,0,73.0,1000026,Washington Commanders,1,Lincoln Financial Field,outdoors,grass,42,48,11,0,Mostly Cloudy
11,J.Crowder,Washington Commanders,3,1,4,0,0,4,4.0,0,0.0,2.3,0,0,0,0.0,42.4,0,0,0,0,4,0,29.0,1000026,Philadelphia Eagles,0,Lincoln Financial Field,outdoors,grass,42,48,11,0,Mostly Cloudy
13,J.Bates,Washington Commanders,2,2,11,0,1,9,4.5,2,1.0,4.5,0,0,0,0.0,89.6,0,0,0,0,7,0,27.0,1000026,Philadelphia Eagles,0,Lincoln Financial Field,outdoors,grass,42,48,11,0,Mostly Cloudy
15,B.Sinnott,Washington Commanders,1,1,23,0,1,16,16.0,7,7.0,16.0,0,0,0,0.0,118.7,0,0,0,0,23,0,1.0,1000026,Philadelphia Eagles,0,Lincoln Financial Field,outdoors,grass,42,48,11,0,Mostly Cloudy
17,O.Zaccheaus,Washington Commanders,5,4,26,0,3,13,3.3,13,3.3,1.8,0,0,0,0.0,88.3,0,0,0,0,8,0,72.0,1000026,Philadelphia Eagles,0,Lincoln Financial Field,outdoors,grass,42,48,11,0,Mostly Cloudy
19,D.Brown,Washington Commanders,5,3,42,0,2,27,9.0,15,5.0,10.0,0,0,0,0.0,87.1,0,0,0,0,24,1,77.0,1000026,Philadelphia Eagles,0,Lincoln Financial Field,outdoors,grass,42,48,11,0,Mostly Cloudy
21,T.McLaurin,Washington Commanders,7,3,51,1,2,18,6.0,33,11.0,13.3,0,0,0,0.0,68.2,0,0,0,0,36,0,86.0,1000026,Philadelphia Eagles,0,Lincoln Financial Field,outdoors,grass,42,48,11,0,Mostly Cloudy
23,Z.Ertz,Washington Commanders,16,11,104,0,9,74,6.7,30,2.7,7.3,0,0,0,0.0,86.5,0,0,0,0,21,0,80.0,1000026,Philadelphia Eagles,0,Lincoln Financial Field,outdoors,grass,42,48,11,0,Mostly Cloudy
25,A.Ekeler,Washington Commanders,7,5,17,0,0,-2,-0.4,19,3.8,4.7,0,0,0,0.0,74.1,8,15,0,4,7,1,59.0,1000026,Philadelphia Eagles,0,Lincoln Financial Field,outdoors,grass,42,48,11,0,Mostly Cloudy
27,B.Robinson,Washington Commanders,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,11,36,0,7,0,0,52.0,1000026,Philadelphia Eagles,0,Lincoln Financial Field,outdoors,grass,42,48,11,0,Mostly Cloudy
29,D.Hopkins,Kansas City Chiefs,2,1,11,0,1,8,8.0,3,3.0,5.5,0,0,0,0.0,66.7,0,0,0,0,11,0,18.0,1000026,Buffalo Bills,1,GEHA Field at Arrowhead,outdoors,grass,31,46,8,0,Clear
31,S.Perine,Kansas City Chiefs,1,1,17,0,1,0,0.0,17,17.0,0.0,0,0,0,0.0,118.7,0,0,0,0,17,0,15.0,1000026,Buffalo Bills,1,GEHA Field at Arrowhead,outdoors,grass,31,46,8,0,Clear
33,T.Kelce,Kansas City Chiefs,4,2,19,0,1,10,5.0,9,4.5,3.8,0,0,0,0.0,63.5,0,0,0,0,11,0,92.0,1000026,Buffalo Bills,1,GEHA Field at Arrowhead,outdoors,grass,31,46,8,0,Clear
35,M.Brown,Kansas City Chiefs,5,3,35,0,2,14,4.7,21,7.0,13.8,0,0,0,0.0,81.2,0,0,0,0,15,0,65.0,1000026,Buffalo Bills,1,GEHA Field at Arrowhead,outdoors,grass,31,46,8,0,Clear
37,J.Smith-Schuster,Kansas City Chiefs,3,2,60,0,2,23,11.5,37,18.5,12.3,0,0,0,0.0,109.7,0,0,0,0,31,0,58.0,1000026,Buffalo Bills,1,GEHA Field at Arrowhead,outdoors,grass,31,46,8,0,Clear
39,I.Pacheco,Kansas City Chiefs,2,2,12,0,1,-2,-1.0,14,7.0,-1.0,0,0,0,0.0,91.7,5,12,0,5,10,0,29.0,1000026,Buffalo Bills,1,GEHA Field at Arrowhead,outdoors,grass,31,46,8,0,Clear
41,X.Worthy,Kansas City Chiefs,7,6,85,1,6,52,8.7,33,5.5,7.1,0,0,0,0.0,156.8,2,16,0,8,26,0,82.0,1000026,Buffalo Bills,1,GEHA Field at Arrowhead,outdoors,grass,31,46,8,0,Clear
43,K.Hunt,Kansas City Chiefs,1,1,6,0,0,-1,-1.0,7,7.0,-1.0,0,0,0,0.0,91.7,17,64,1,12,6,0,58.0,1000026,Buffalo Bills,1,GEHA Field at Arrowhead,outdoors,grass,31,46,8,0,Clear
45,C.Samuel,Buffalo Bills,3,1,4,1,1,4,4.0,0,0.0,3.7,0,0,0,0.0,81.9,0,0,0,0,4,0,19.0,1000026,Kansas City Chiefs,0,GEHA Field at Arrowhead,outdoors,grass,31,46,8,0,Clear
47,D.Knox,Buffalo Bills,1,1,7,0,0,-3,-3.0,10,10.0,-3.0,0,0,0,0.0,95.8,0,0,0,0,7,0,60.0,1000026,Kansas City Chiefs,0,GEHA Field at Arrowhead,outdoors,grass,31,46,8,0,Clear
49,K.Coleman,Buffalo Bills,4,1,12,0,1,11,11.0,1,1.0,17.5,0,0,0,0.0,39.6,0,0,0,0,12,0,53.0,1000026,Kansas City Chiefs,0,GEHA Field at Arrowhead,outdoors,grass,31,46,8,0,Clear
51,D.Kincaid,Buffalo Bills,4,2,13,0,0,2,1.0,11,5.5,9.0,0,0,0,0.0,57.3,0,0,0,0,11,0,45.0,1000026,Kansas City Chiefs,0,GEHA Field at Arrowhead,outdoors,grass,31,46,8,0,Clear
53,A.Cooper,Buffalo Bills,4,4,33,0,1,15,3.8,18,4.5,3.8,0,0,0,0.0,101.0,0,0,0,0,10,0,44.0,1000026,Kansas City Chiefs,0,GEHA Field at Arrowhead,outdoors,grass,31,46,8,0,Clear
55,K.Shakir,Buffalo Bills,7,6,46,0,2,20,3.3,26,4.3,4.7,0,0,0,0.0,94.0,0,0,0,0,24,0,78.0,1000026,Kansas City Chiefs,0,GEHA Field at Arrowhead,outdoors,grass,31,46,8,0,Clear
57,M.Hollins,Buffalo Bills,4,3,73,1,2,69,23.0,4,1.3,21.3,0,0,0,0.0,156.2,0,0,0,0,34,0,67.0,1000026,Kansas City Chiefs,0,GEHA Field at Arrowhead,outdoors,grass,31,46,8,0,Clear
59,T.Johnson,Buffalo Bills,1,1,0,0,0,-5,-5.0,5,5.0,-5.0,0,0,0,0.0,79.2,6,19,0,8,0,0,41.0,1000026,Kansas City Chiefs,0,GEHA Field at Arrowhead,outdoors,grass,31,46,8,0,Clear
61,J.Cook,Buffalo Bills,3,3,49,0,2,-4,-1.3,53,17.7,-1.3,0,0,0,0.0,118.7,13,85,2,33,23,0,45.0,1000026,Kansas City Chiefs,0,GEHA Field at Arrowhead,outdoors,grass,31,46,8,0,Clear
62,W.Shipley,Philadelphia Eagles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1000026,Washington Commanders,1,Lincoln Financial Field,outdoors,grass,42,48,11,0,Mostly Cloudy
63,J.Allen,Buffalo Bills,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1000026,Kansas City Chiefs,0,GEHA Field at Arrowhead,outdoors,grass,31,46,8,0,Clear
64,K.Pickett,Philadelphia Eagles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1000026,Washington Commanders,1,Lincoln Financial Field,outdoors,grass,42,48,11,0,Mostly Cloudy
