,Name,Team,Tgt,Rec,Rec_Yds,Rec_TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Rat,Rush_Att,Rush_Yds,Rush_TD,Rush_Lng,Rec_Lng,FL,Pct,Date,Opponent,Hmcrt_adv,Stadium,Roof,Surface,Temperature,Humidity,Wind,Precipitation,Forecast
1,C.Manhertz,New York Giants,1,1,12,0,0,7,7.0,5,5.0,7.0,0,0,0,0.0,116.7,0,0,0,0,12,0,45.0,1229,Indianapolis Colts,1,MetLife,outdoors,turf,54,93,0,10,Foggy
3,D.Slayton,New York Giants,3,1,32,1,1,13,13.0,19,19.0,13.0,0,0,0,0.0,113.9,0,0,0,0,32,0,80.0,1229,Indianapolis Colts,1,MetLife,outdoors,turf,54,93,0,10,Foggy
5,W.Robinson,New York Giants,6,5,71,1,5,45,9.0,26,5.2,8.8,0,0,0,0.0,155.6,0,0,0,0,35,0,64.0,1229,Indianapolis Colts,1,MetLife,outdoors,turf,54,93,0,10,Foggy
7,M.Nabers,New York Giants,8,7,171,2,4,69,9.9,102,14.6,9.3,0,0,0,0.0,158.3,0,0,0,0,59,0,84.0,1229,Indianapolis Colts,1,MetLife,outdoors,turf,54,93,0,10,Foggy
9,D.Singletary,New York Giants,1,1,9,0,0,2,2.0,7,7.0,2.0,0,0,0,0.0,104.2,5,21,0,13,9,0,27.0,1229,Indianapolis Colts,1,MetLife,outdoors,turf,54,93,0,10,Foggy
11,T.Tracy,New York Giants,3,2,14,0,0,4,2.0,10,5.0,2.7,0,0,0,0.0,77.1,20,59,0,40,13,0,66.0,1229,Indianapolis Colts,1,MetLife,outdoors,turf,54,93,0,10,Foggy
13,M.Alie-Cox,Indianapolis Colts,1,0,0,0,0,0,0,0,0,23.0,0,0,0,0.0,0.0,0,0,0,0,0,0,40.0,1229,New York Giants,0,MetLife,outdoors,turf,54,93,0,10,Foggy
15,T.Sermon,Indianapolis Colts,1,1,10,0,0,3,3.0,7,7.0,3.0,0,0,0,0.0,108.3,0,0,0,0,10,0,9.0,1229,New York Giants,0,MetLife,outdoors,turf,54,93,0,10,Foggy
17,A.Mitchell,Indianapolis Colts,4,2,22,0,2,2,1.0,20,10.0,8.0,0,0,0,0.0,66.7,0,0,0,0,13,0,9.0,1229,New York Giants,0,MetLife,outdoors,turf,54,93,0,10,Foggy
19,J.Downs,Indianapolis Colts,4,3,22,0,1,15,5.0,7,2.3,6.0,0,0,0,0.0,87.5,0,0,0,0,10,0,61.0,1229,New York Giants,0,MetLife,outdoors,turf,54,93,0,10,Foggy
