Unnamed: 0,Name,Team,Tgt,Rec,Rec_Yds,Rec_TD,Rec_1D,Rec_YBC,Rec_YBC/R,Rec_YAC,Rec_YAC/R,ADOT,Rec_BrkTkl,Rec_Rec/Br,Drop,Drop%,Rat,Rush_Att,Rush_Yds,Rush_TD,Rush_Lng,Rec_Lng,FL,1D,YBC,YBC/R,YAC,YAC/R,BrkTkl,Rec/Br,Pct,Date,Opponent,Hmcrt_adv,Stadium,Roof,Surface,Temperature,Humidity,Wind,Precipitation,Forecast
0.0,M.Williams,New York Jets,3,0,0,0,0.0,0.0,0.0,0.0,0.0,20.3,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,51.0,1014,Buffalo Bills,1,MetLife,outdoors,turf,48,54,14,2,Clear
1.0,J.Ruckert,New York Jets,3,2,7,0,0.0,-11.0,-5.5,18.0,9.0,2.0,0.0,0.0,0,0.0,70.1,0,0,0,0,8,0,0,0,0.0,0,0.0,0,0.0,48.0,1014,Buffalo Bills,1,MetLife,outdoors,turf,48,54,14,2,Clear
2.0,T.Conklin,New York Jets,3,2,10,0,0.0,-2.0,-1.0,12.0,6.0,-1.7,0.0,0.0,0,0.0,71.5,0,0,0,0,6,0,0,0,0.0,0,0.0,0,0.0,73.0,1014,Buffalo Bills,1,MetLife,outdoors,turf,48,54,14,2,Clear
3.0,G.Wilson,New York Jets,10,8,107,1,0.0,0.0,0.0,0.0,0.0,6.6,0.0,0.0,0,0.0,144.6,0,0,0,0,24,0,6,49,6.1,58,7.3,0,0.0,97.0,1014,Buffalo Bills,1,MetLife,outdoors,turf,48,54,14,2,Clear
4.0,A.Lazard,New York Jets,7,6,114,1,4.0,103.0,17.2,11.0,1.8,15.4,0.0,0.0,0,0.0,158.3,0,0,0,0,52,0,0,0,0.0,0,0.0,0,0.0,94.0,1014,Buffalo Bills,1,MetLife,outdoors,turf,48,54,14,2,Clear
5.0,B.Hall,New York Jets,6,5,56,0,0.0,0.0,0.0,0.0,0.0,3.3,0.0,0.0,0,0.0,105.6,0,113,0,42,24,0,2,17,3.4,39,7.8,0,0.0,87.0,1014,Buffalo Bills,1,MetLife,outdoors,turf,48,54,14,2,Clear
6.0,M.Hollins,Buffalo Bills,2,1,8,1,1.0,8.0,8.0,0.0,0.0,7.5,0.0,0.0,0,0.0,100.0,0,0,0,0,8,0,0,0,0.0,0,0.0,0,0.0,67.0,1014,New York Jets,0,MetLife,outdoors,turf,48,54,14,2,Clear
7.0,D.Knox,Buffalo Bills,1,1,12,1,1.0,12.0,12.0,0.0,0.0,12.0,0.0,0.0,0,0.0,156.2,0,0,0,0,12,0,0,0,0.0,0,0.0,0,0.0,61.0,1014,New York Jets,0,MetLife,outdoors,turf,48,54,14,2,Clear
8.0,K.Shakir,Buffalo Bills,2,2,19,0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0,0.0,106.2,0,0,0,0,10,0,1,10,5.0,9,4.5,0,0.0,38.0,1014,New York Jets,0,MetLife,outdoors,turf,48,54,14,2,Clear
9.0,K.Coleman,Buffalo Bills,4,3,26,0,2.0,7.0,2.3,19.0,6.3,9.3,0.0,0.0,0,0.0,91.7,0,0,0,0,11,0,0,0,0.0,0,0.0,0,0.0,64.0,1014,New York Jets,0,MetLife,outdoors,turf,48,54,14,2,Clear
10.0,C.Samuel,Buffalo Bills,4,3,44,0,0.0,0.0,0.0,0.0,0.0,12.3,0.0,0.0,0,0.0,110.4,0,0,0,0,38,0,1,41,13.7,3,1.0,0,0.0,36.0,1014,New York Jets,0,MetLife,outdoors,turf,48,54,14,2,Clear
11.0,D.Kincaid,Buffalo Bills,7,6,51,0,3.0,11.0,1.8,40.0,6.7,4.7,0.0,0.0,0,0.0,97.0,0,0,0,0,15,0,0,0,0.0,0,0.0,0,0.0,80.0,1014,New York Jets,0,MetLife,outdoors,turf,48,54,14,2,Clear
12.0,T.Johnson,Buffalo Bills,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,34,0,13,0,0,0,0,0.0,0,0.0,0,0.0,36.0,1014,New York Jets,0,MetLife,outdoors,turf,48,54,14,2,Clear
13.0,R.Davis,Buffalo Bills,3,3,55,0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0,0.0,118.7,0,97,0,15,42,0,1,42,14.0,13,4.3,0,0.0,58.0,1014,New York Jets,0,MetLife,outdoors,turf,48,54,14,2,Clear
0.0,B.Allen,New York Jets,2,0,0,0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1,50.0,39.6,3,8,0,6,0,0,0,0,0.0,0,0.0,0,0.0,19.0,1014,Buffalo Bills,1,MetLife,outdoors,turf,48,54,14,2,Clear
0.0,J.Allen,Buffalo Bills,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0.0,1014,New York Jets,0,MetLife,outdoors,turf,48,54,14,2,Clear
0.0,A.Rodgers,New York Jets,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0.0,1014,Buffalo Bills,1,MetLife,outdoors,turf,48,54,14,2,Clear
