,Name,Team,Tgt,Rec,Rec_Yds,Rec_TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Rat,Rush_Att,Rush_Yds,Rush_TD,Rush_Lng,Rec_Lng,FL,Pct,Date,Opponent,Hmcrt_adv,Stadium,Roof,Surface,Temperature,Humidity,Wind,Precipitation,Forecast
1,X.Worthy,Kansas City Chiefs,6,5,45,0,2,13,2.6,32,6.4,1.5,0,0,0,0.0,97.9,1,-8,0,-8,21,0,82.0,1000018,Houston Texans,1,GEHA Field at Arrowhead,outdoors,grass,23,52,17,1,Clear
3,N.Gray,Kansas City Chiefs,3,3,13,0,0,10,3.3,3,1.0,3.3,0,0,0,0.0,84.7,0,0,0,0,6,0,57.0,1000018,Houston Texans,1,GEHA Field at Arrowhead,outdoors,grass,23,52,17,1,Clear
5,T.Kelce,Kansas City Chiefs,8,7,117,1,5,60,8.6,57,8.1,8.4,0,0,0,0.0,158.3,0,0,0,0,49,0,76.0,1000018,Houston Texans,1,GEHA Field at Arrowhead,outdoors,grass,23,52,17,1,Clear
7,K.Hunt,Kansas City Chiefs,1,1,2,0,0,-4,-4.0,6,6.0,-4.0,0,0,0,0.0,79.2,8,44,1,12,2,0,47.0,1000018,Houston Texans,1,GEHA Field at Arrowhead,outdoors,grass,23,52,17,1,Clear
9,I.Smith,Houston Texans,1,1,2,0,0,2,2.0,0,0.0,2.0,0,0,0,0.0,79.2,0,0,0,0,2,0,31.0,1000018,Kansas City Chiefs,0,GEHA Field at Arrowhead,outdoors,grass,23,52,17,1,Clear
11,J.Metchie,Houston Texans,2,2,35,0,2,31,15.5,4,2.0,15.5,0,0,0,0.0,118.7,0,0,0,0,24,0,57.0,1000018,Kansas City Chiefs,0,GEHA Field at Arrowhead,outdoors,grass,23,52,17,1,Clear
13,X.Hutchinson,Houston Texans,6,4,52,0,1,34,8.5,18,4.5,10.0,0,0,0,0.0,93.7,0,0,0,0,17,0,62.0,1000018,Kansas City Chiefs,0,GEHA Field at Arrowhead,outdoors,grass,23,52,17,1,Clear
15,D.Schultz,Houston Texans,4,4,63,0,3,51,12.8,12,3.0,12.8,0,0,0,0.0,118.7,0,0,0,0,34,0,78.0,1000018,Kansas City Chiefs,0,GEHA Field at Arrowhead,outdoors,grass,23,52,17,1,Clear
17,N.Collins,Houston Texans,8,5,81,0,5,75,15.0,6,1.2,12.3,0,0,0,0.0,96.4,0,0,0,0,24,0,82.0,1000018,Kansas City Chiefs,0,GEHA Field at Arrowhead,outdoors,grass,23,52,17,1,Clear
19,D.Ogunbowale,Houston Texans,1,1,0,0,0,-6,-6.0,6,6.0,-6.0,0,0,0,0.0,79.2,1,9,0,9,0,0,31.0,1000018,Kansas City Chiefs,0,GEHA Field at Arrowhead,outdoors,grass,23,52,17,1,Clear
21,J.Mixon,Houston Texans,3,2,12,0,1,-2,-1.0,14,7.0,-0.7,0,0,0,0.0,74.3,18,88,1,13,6,0,53.0,1000018,Kansas City Chiefs,0,GEHA Field at Arrowhead,outdoors,grass,23,52,17,1,Clear
23,T.Patrick,Detroit Lions,4,1,22,0,1,4,4.0,18,18.0,13.8,0,0,0,0.0,10.4,0,0,0,0,22,0,43.0,1000018,Washington Commanders,1,Ford Field,indoors,turf,27,73,7,0,Clear
25,K.Raymond,Detroit Lions,3,3,37,0,2,13,4.3,24,8.0,4.3,0,0,0,0.0,118.1,0,0,0,0,15,0,42.0,1000018,Washington Commanders,1,Ford Field,indoors,turf,27,73,7,0,Clear
27,S.LaPorta,Detroit Lions,7,6,51,1,3,29,4.8,22,3.7,4.1,0,0,0,0.0,136.6,0,0,0,0,14,0,97.0,1000018,Washington Commanders,1,Ford Field,indoors,turf,27,73,7,0,Clear
29,A.St.,Detroit Lions,10,8,137,0,7,76,9.5,61,7.6,8.9,0,0,0,0.0,118.7,0,0,0,0,34,0,96.0,1000018,Washington Commanders,1,Ford Field,indoors,turf,27,73,7,0,Clear
31,J.Gibbs,Detroit Lions,11,6,70,0,5,19,3.2,51,8.5,4.2,0,0,0,0.0,36.2,14,105,2,33,23,0,75.0,1000018,Washington Commanders,1,Ford Field,indoors,turf,27,73,7,0,Clear
33,J.Williams,Detroit Lions,4,1,19,0,1,19,19.0,0,0.0,29.5,0,0,0,0.0,7.3,1,61,1,61,19,0,88.0,1000018,Washington Commanders,1,Ford Field,indoors,turf,27,73,7,0,Clear
35,O.Zaccheaus,Washington Commanders,2,0,0,0,0,0,0,0,0,15.5,0,0,0,0.0,39.6,0,0,0,0,0,0,44.0,1000018,Detroit Lions,0,Ford Field,indoors,turf,27,73,7,0,Clear
37,J.Bates,Washington Commanders,2,1,20,0,1,17,17.0,3,3.0,8.5,0,0,0,0.0,85.4,0,0,0,0,20,0,47.0,1000018,Detroit Lions,0,Ford Field,indoors,turf,27,73,7,0,Clear
39,J.Crowder,Washington Commanders,2,2,25,0,1,12,6.0,13,6.5,6.0,0,0,0,0.0,118.7,0,0,0,0,13,0,40.0,1000018,Detroit Lions,0,Ford Field,indoors,turf,27,73,7,0,Clear
41,Z.Ertz,Washington Commanders,5,5,28,1,2,22,4.4,6,1.2,4.4,0,0,0,0.0,129.6,0,0,0,0,10,0,68.0,1000018,Detroit Lions,0,Ford Field,indoors,turf,27,73,7,0,Clear
43,T.McLaurin,Washington Commanders,6,4,87,1,4,6,1.5,81,20.3,0.7,0,0,0,0.0,149.3,0,0,0,0,58,0,93.0,1000018,Detroit Lions,0,Ford Field,indoors,turf,27,73,7,0,Clear
45,D.Brown,Washington Commanders,8,6,98,0,3,67,11.2,31,5.2,12.1,0,0,0,0.0,115.6,0,0,0,0,42,0,83.0,1000018,Detroit Lions,0,Ford Field,indoors,turf,27,73,7,0,Clear
47,A.Ekeler,Washington Commanders,4,4,41,0,1,-13,-3.3,54,13.5,-3.3,0,0,0,0.0,109.4,6,47,0,35,24,0,37.0,1000018,Detroit Lions,0,Ford Field,indoors,turf,27,73,7,0,Clear
49,B.Robinson,Washington Commanders,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,15,77,2,15,0,0,53.0,1000018,Detroit Lions,0,Ford Field,indoors,turf,27,73,7,0,Clear
50,D.Pierce,Houston Texans,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1000018,Kansas City Chiefs,0,GEHA Field at Arrowhead,outdoors,grass,23,52,17,1,Clear
51,M.Mariota,Washington Commanders,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1000018,Detroit Lions,0,Ford Field,indoors,turf,27,73,7,0,Clear
52,J.Goff,Detroit Lions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,1000018,Washington Commanders,1,Ford Field,indoors,turf,27,73,7,0,Clear
53,I.Pacheco,Kansas City Chiefs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1000018,Houston Texans,1,GEHA Field at Arrowhead,outdoors,grass,23,52,17,1,Clear
54,P.Mahomes,Kansas City Chiefs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1000018,Houston Texans,1,GEHA Field at Arrowhead,outdoors,grass,23,52,17,1,Clear
55,M.Araiza,Kansas City Chiefs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1000018,Houston Texans,1,GEHA Field at Arrowhead,outdoors,grass,23,52,17,1,Clear
56,D.Montgomery,Detroit Lions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1000018,Washington Commanders,1,Ford Field,indoors,turf,27,73,7,0,Clear
57,J.McNichols,Washington Commanders,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1000018,Detroit Lions,0,Ford Field,indoors,turf,27,73,7,0,Clear
58,C.Stroud,Houston Texans,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1000018,Kansas City Chiefs,0,GEHA Field at Arrowhead,outdoors,grass,23,52,17,1,Clear
59,J.Daniels,Washington Commanders,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1000018,Detroit Lions,0,Ford Field,indoors,turf,27,73,7,0,Clear
