,Name,Team,Tgt,Rec,Rec_Yds,Rec_TD,Rec_1D,Rec_YBC,Rec_YBC/R,Rec_YAC,Rec_YAC/R,ADOT,Rec_BrkTkl,Rec_Rec/Br,Drop,Drop%,Rat,Rush_Att,Rush_Yds,Rush_TD,Rush_Lng,Rec_Lng,FL,1D,YBC,YBC/R,YAC,YAC/R,BrkTkl,Rec/Br,Pct,Date,Opponent,Hmcrt_adv,Stadium,Roof,Surface,Temperature,Humidity,Wind,Precipitation,Forecast
0,J.Hill,Miami Dolphins,2,0,0,0,0,0,0,0,0,19.0,0,0.0,0,0.0,39.6,0,0,0,0,0,0,0,0,0,0,0,0,0.0,37.0,912,Buffalo Bills,1,Hard Rock,outdoors,grass,87,82,3,24,Clear
1,R.Chosen,Miami Dolphins,4,1,5,0,0,4,4.0,1,1.0,11.8,0,0.0,0,0.0,0.0,0,0,0,0,5,0,0,0,0,0,0,0,0.0,22.0,912,Buffalo Bills,1,Hard Rock,outdoors,grass,87,82,3,24,Clear
2,D.Smythe,Miami Dolphins,1,1,8,0,0,4,4.0,4,4.0,4.0,0,0.0,0,0.0,100.0,0,0,0,0,8,0,0,0,0,0,0,0,0.0,43.0,912,Buffalo Bills,1,Hard Rock,outdoors,grass,87,82,3,24,Clear
3,G.Dubose,Miami Dolphins,3,1,13,0,1,13,13.0,0,0.0,17.3,0,0.0,0,0.0,8.3,0,0,0,0,13,0,0,0,0,0,0,0,0.0,34.0,912,Buffalo Bills,1,Hard Rock,outdoors,grass,87,82,3,24,Clear
4,J.Smith,Miami Dolphins,7,6,53,0,2,17,2.8,36,6.0,5.6,0,0.0,0,0.0,98.2,0,0,0,0,15,0,0,0,0,0,0,0,0.0,42.0,912,Buffalo Bills,1,Hard Rock,outdoors,grass,87,82,3,24,Clear
5,J.Waddle,Miami Dolphins,4,4,41,0,0,0,0,0,0,7.3,0,0.0,0,0.0,109.4,0,4,0,4,21,0,2,29,7.3,12,3.0,0,0.0,72.0,912,Buffalo Bills,1,Hard Rock,outdoors,grass,87,82,3,24,Clear
6,T.Hill,Miami Dolphins,6,3,24,0,0,0,0,0,0,12.8,0,0.0,0,0.0,60.4,0,12,0,12,10,0,2,-1,-0.3,25,8.3,0,0.0,68.0,912,Buffalo Bills,1,Hard Rock,outdoors,grass,87,82,3,24,Clear
7,D.Achane,Miami Dolphins,7,7,69,1,0,0,0,0,0,1.0,0,0.0,0,0.0,147.3,0,96,0,17,16,0,5,7,1.0,62,8.9,0,0.0,62.0,912,Buffalo Bills,1,Hard Rock,outdoors,grass,87,82,3,24,Clear
8,M.Hollins,Buffalo Bills,1,0,0,0,0.0,0,0,0,0,-6.0,0,0.0,0,0.0,39.6,0,0,0,0,0,0,0,0,0,0,0,0,0.0,71.0,912,Miami Dolphins,0,Hard Rock,outdoors,grass,87,82,3,24,Clear
9,K.Coleman,Buffalo Bills,1,0,0,0,0.0,0,0,0,0,21.0,0,0.0,0,0.0,39.6,0,0,0,0,0,0,0,0,0,0,0,0,0.0,91.0,912,Miami Dolphins,0,Hard Rock,outdoors,grass,87,82,3,24,Clear
10,C.Samuel,Buffalo Bills,2,1,3,0,0.0,-3,-3.0,6,6.0,11.0,0,0.0,0,0.0,56.2,0,0,0,0,3,0,0,0,0,0,0,0,0.0,27.0,912,Miami Dolphins,0,Hard Rock,outdoors,grass,87,82,3,24,Clear
11,D.Kincaid,Buffalo Bills,4,4,33,0,0.0,-8,-2.0,41,10.3,-2.0,0,0.0,0,0.0,101.0,0,0,0,0,9,0,0,0,0,0,0,0,0.0,42.0,912,Miami Dolphins,0,Hard Rock,outdoors,grass,87,82,3,24,Clear
12,K.Shakir,Buffalo Bills,5,5,54,0,0,0,0,0,0,8.6,0,0.0,0,0.0,111.7,0,2,0,2,21,0,3,43,8.6,11,2.2,0,0.0,69.0,912,Miami Dolphins,0,Hard Rock,outdoors,grass,87,82,3,24,Clear
13,R.Davis,Buffalo Bills,1,1,-1,0,0,0,0,0,0,-9.0,0,0.0,0,0.0,79.2,0,29,0,10,-1,0,0,-9,-9.0,8,8.0,0,0.0,31.0,912,Miami Dolphins,0,Hard Rock,outdoors,grass,87,82,3,24,Clear
14,J.Cook,Buffalo Bills,1,1,17,1,0,0,0,0,0,-1.0,0,0.0,0,0.0,158.3,0,78,2,49,17,0,1,-1,-1.0,18,18.0,0,0.0,47.0,912,Miami Dolphins,0,Hard Rock,outdoors,grass,87,82,3,24,Clear
