,Name,Team,Tgt,Rec,Rec_Yds,Rec_TD,Rec_1D,Rec_YBC,Rec_YBC/R,Rec_YAC,Rec_YAC/R,ADOT,Rec_BrkTkl,Rec_Rec/Br,Drop,Drop%,Rat,Rush_Att,Rush_Yds,Rush_TD,Rush_Lng,Rec_Lng,FL,1D,YBC,YBC/R,YAC,YAC/R,BrkTkl,Rec/Br,Pct,Date,Opponent,Hmcrt_adv,Stadium,Roof,Surface,Temperature,Humidity,Wind,Precipitation,Forecast
0,B.Aiyuk,San Francisco 49ers,5,2,28,0,2,27,13.5,1,0.5,11.8,0,0.0,1,20.0,58.7,0,0,0,0,14,0,0,0,0,0,0,0,0,60.0,99,New York Jets,1,Levi's,outdoors,grass,77,66,13,4,Clear
1,G.Kittle,San Francisco 49ers,5,4,40,0,1,31,7.8,9,2.3,5.2,0,0.0,0,0.0,100.0,0,0,0,0,26,0,0,0,0,0,0,0,0,92.0,99,New York Jets,1,Levi's,outdoors,grass,77,66,13,4,Clear
2,K.Juszczyk,San Francisco 49ers,3,2,40,0,1,30,15.0,10,5.0,11.7,0,0.0,0,0.0,109.7,0,0,0,0,34,0,0,0,0,0,0,0,0,56.0,99,New York Jets,1,Levi's,outdoors,grass,77,66,13,4,Clear
3,J.Jennings,San Francisco 49ers,5,5,64,0,4,54,10.8,10,2.0,10.8,0,0.0,0,0.0,118.7,0,0,0,0,22,0,0,0,0,0,0,0,0,49.0,99,New York Jets,1,Levi's,outdoors,grass,77,66,13,4,Clear
4,J.Mason,San Francisco 49ers,1,1,5,0,0,0,0,0,0,5.0,0,0.0,0,0.0,87.5,0,147,1,24,5,0,1,5,5.0,0,0.0,0,0,81.0,99,New York Jets,1,Levi's,outdoors,grass,77,66,13,4,Clear
5,D.Samuel,San Francisco 49ers,9,5,54,0,0,0,0,0,0,9.4,0,0.0,0,0.0,73.4,0,23,1,6,25,0,3,19,3.8,35,7.0,1,5.0,74.0,99,New York Jets,1,Levi's,outdoors,grass,77,66,13,4,Clear
6,T.Conklin,New York Jets,2,1,6,0,0,0,0.0,6,6.0,0.0,0,0.0,0,0.0,56.2,0,0,0,0,6,0,0,0,0,0,0,0,0,90.0,99,San Francisco 49ers,0,Levi's,outdoors,grass,77,66,13,4,Clear
7,G.Wilson,New York Jets,11,6,60,0,3,33,5.5,27,4.5,9.1,0,0.0,1,9.1,32.4,0,0,0,0,16,0,0,0,0,0,0,0,0,96.0,99,San Francisco 49ers,0,Levi's,outdoors,grass,77,66,13,4,Clear
8,A.Lazard,New York Jets,9,6,89,2,6,60,10.0,29,4.8,10.1,0,0.0,0,0.0,138.4,0,0,0,0,36,0,0,0,0,0,0,0,0,100.0,99,San Francisco 49ers,0,Levi's,outdoors,grass,77,66,13,4,Clear
9,B.Hall,New York Jets,6,5,39,0,0,0,0,0,0,-0.5,0,0.0,1,16.7,93.7,0,54,1,16,13,1,2,-3,-0.6,42,8.4,1,5.0,82.0,99,San Francisco 49ers,0,Levi's,outdoors,grass,77,66,13,4,Clear
