,Name,Team,Tgt,Rec,Rec_Yds,Rec_TD,Rec_1D,Rec_YBC,Rec_YBC/R,Rec_YAC,Rec_YAC/R,ADOT,Rec_BrkTkl,Rec_Rec/Br,Drop,Drop%,Rat,Rush_Att,Rush_Yds,Rush_TD,Rush_Lng,Rec_Lng,FL,1D,YBC,YBC/R,YAC,YAC/R,BrkTkl,Rec/Br,Pct,Date,Opponent,Hmcrt_adv,Stadium,Roof,Surface,Temperature,Humidity,Wind,Precipitation,Forecast
0,B.Wright,Detroit Lions,1,0,0,0,0,0,0,0,0,25.0,0,0.0,0,0.0,39.6,0,0,0,0,0,0,0,0,0,0,0,0,0.0,61.0,1205,Green Bay Packers,1,Ford Field,indoors,turf,29,61,8,1,Overcast
1,T.Patrick,Detroit Lions,7,6,43,2,5,35,5.8,8,1.3,5.9,0,0.0,0,0.0,92.3,0,0,0,0,18,0,0,0,0,0,0,0,0.0,66.0,1205,Green Bay Packers,1,Ford Field,indoors,turf,29,61,8,1,Overcast
2,S.LaPorta,Detroit Lions,7,5,54,0,4,35,7.0,19,3.8,8.1,0,0.0,0,0.0,93.7,0,0,0,0,14,0,0,0,0,0,0,0,0.0,90.0,1205,Green Bay Packers,1,Ford Field,indoors,turf,29,61,8,1,Overcast
3,J.Williams,Detroit Lions,8,5,80,0,0,0,0,0,0,8.6,0,0.0,0,0.0,95.8,0,0,0,0,28,0,3,45,9.0,35,7.0,0,0.0,69.0,1205,Green Bay Packers,1,Ford Field,indoors,turf,29,61,8,1,Overcast
4,A.St.,Detroit Lions,6,5,43,0,0,0,0,0,0,7.3,0,0.0,0,0.0,96.5,0,10,0,10,16,0,2,31,6.2,12,2.4,0,0.0,85.0,1205,Green Bay Packers,1,Ford Field,indoors,turf,29,61,8,1,Overcast
5,J.Gibbs,Detroit Lions,6,6,30,1,0,0,0,0,0,-1.5,0,0.0,0,0.0,127.1,0,43,0,20,7,0,2,-9,-1.5,39,6.5,0,0.0,56.0,1205,Green Bay Packers,1,Ford Field,indoors,turf,29,61,8,1,Overcast
6,D.Montgomery,Detroit Lions,5,5,33,0,0,0,0,0,0,-0.6,0,0.0,0,0.0,94.2,0,51,1,13,13,0,2,-3,-0.6,36,7.2,0,0.0,45.0,1205,Green Bay Packers,1,Ford Field,indoors,turf,29,61,8,1,Overcast
7,J.Goff,Detroit Lions,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,7,0,9,0,0,0,0,0,0,0,0,0.0,100.0,1205,Green Bay Packers,1,Ford Field,indoors,turf,29,61,8,1,Overcast
8,J.Reed,Green Bay Packers,1,0,0,0,0,0,0,0,0,4.0,0,0.0,0,0.0,39.6,0,0,0,0,0,0,0,0,0,0,0,0,0.0,50.0,1205,Detroit Lions,0,Ford Field,indoors,turf,29,61,8,1,Overcast
9,B.Sims,Green Bay Packers,1,1,2,0,0,1,1.0,1,1.0,1.0,0,0.0,0,0.0,79.2,0,0,0,0,2,0,0,0,0,0,0,0,0.0,36.0,1205,Detroit Lions,0,Ford Field,indoors,turf,29,61,8,1,Overcast
10,T.Kraft,Green Bay Packers,5,3,41,1,0,0,0,0,0,7.0,0,0.0,0,0.0,125.8,0,0,0,0,21,0,2,28,9.3,13,4.3,0,0.0,88.0,1205,Detroit Lions,0,Ford Field,indoors,turf,29,61,8,1,Overcast
11,D.Wicks,Green Bay Packers,5,4,49,0,3,22,5.5,27,6.8,4.4,0,0.0,0,0.0,107.5,0,0,0,0,26,0,0,0,0,0,0,0,0.0,78.0,1205,Detroit Lions,0,Ford Field,indoors,turf,29,61,8,1,Overcast
12,C.Watson,Green Bay Packers,7,4,114,0,0,0,0,0,0,12.7,0,0.0,0,0.0,101.8,0,0,0,0,59,1,2,69,17.3,45,11.3,0,0.0,92.0,1205,Detroit Lions,0,Ford Field,indoors,turf,29,61,8,1,Overcast
13,C.Brooks,Green Bay Packers,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,3,0,3,0,0,0,0,0,0,0,0,0.0,28.0,1205,Detroit Lions,0,Ford Field,indoors,turf,29,61,8,1,Overcast
14,J.Jacobs,Green Bay Packers,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,66,3,19,0,0,0,0,0,0,0,0,0.0,80.0,1205,Detroit Lions,0,Ford Field,indoors,turf,29,61,8,1,Overcast
