,Name,Team,Tgt,Rec,Rec_Yds,Rec_TD,Rec_1D,Rec_YBC,Rec_YBC/R,Rec_YAC,Rec_YAC/R,ADOT,Rec_BrkTkl,Rec_Rec/Br,Drop,Drop%,Rat,Rush_Att,Rush_Yds,Rush_TD,Rush_Lng,Rec_Lng,FL,1D,YBC,YBC/R,YAC,YAC/R,BrkTkl,Rec/Br,Pct,Date,Opponent,Hmcrt_adv,Stadium,Roof,Surface,Temperature,Humidity,Wind,Precipitation,Forecast
0,T.Marshall,Las Vegas Raiders,1,1,7,0,0,7,7.0,0,0.0,7.0,0,0.0,0,0.0,95.8,0,0,0,0,7,0,0,0,0,0,0,0,0.0,39.0,1216,Atlanta Falcons,1,Allegiant,indoors,grass,54,18,0,0,Mostly Cloudy
1,M.Mayer,Las Vegas Raiders,2,1,11,0,1,5,5.0,6,6.0,19.5,0,0.0,0,0.0,66.7,0,0,0,0,11,0,0,0,0,0,0,0,0.0,70.0,1216,Atlanta Falcons,1,Allegiant,indoors,grass,54,18,0,0,Mostly Cloudy
2,T.Tucker,Las Vegas Raiders,3,2,18,0,0,0,0,0,0,14.7,0,0.0,0,0.0,82.6,0,0,0,0,10,0,1,13,6.5,5,2.5,0,0.0,96.0,1216,Atlanta Falcons,1,Allegiant,indoors,grass,54,18,0,0,Mostly Cloudy
3,B.Bowers,Las Vegas Raiders,6,3,35,0,0,0,0,0,0,12.0,0,0.0,0,0.0,68.1,0,0,0,0,22,0,1,16,5.3,19,6.3,0,0.0,94.0,1216,Atlanta Falcons,1,Allegiant,indoors,grass,54,18,0,0,Mostly Cloudy
4,S.McCormick,Las Vegas Raiders,2,2,17,0,0,0,0,0,0,7.5,0,0.0,0,0.0,102.1,0,8,0,5,15,0,1,15,7.5,2,1.0,0,0.0,21.0,1216,Atlanta Falcons,1,Allegiant,indoors,grass,54,18,0,0,Mostly Cloudy
5,A.Abdullah,Las Vegas Raiders,7,7,58,1,0,0,0,0,0,2.1,0,0.0,0,0.0,140.8,0,8,0,4,24,0,4,15,2.1,43,6.1,0,0.0,46.0,1216,Atlanta Falcons,1,Allegiant,indoors,grass,54,18,0,0,Mostly Cloudy
6,A.Mattison,Las Vegas Raiders,4,2,3,0,0,0,0,0,0,1.0,0,0.0,0,0.0,56.2,0,21,0,12,4,1,0,-2,-1.0,5,2.5,0,0.0,33.0,1216,Atlanta Falcons,1,Allegiant,indoors,grass,54,18,0,0,Mostly Cloudy
7,J.Meyers,Las Vegas Raiders,9,5,59,0,0,0,0,0,0,12.4,0,0.0,0,0.0,36.1,0,0,0,0,22,0,3,50,10.0,9,1.8,0,0.0,90.0,1216,Atlanta Falcons,1,Allegiant,indoors,grass,54,18,0,0,Mostly Cloudy
8,D.Mooney,Atlanta Falcons,1,0,0,0,0,0,0,0,0,9.0,0,0.0,0,0.0,39.6,0,0,0,0,0,0,0,0,0,0,0,0,0.0,91.0,1216,Las Vegas Raiders,0,Allegiant,indoors,grass,54,18,0,0,Mostly Cloudy
9,C.Woerner,Atlanta Falcons,3,2,7,0,0,-2,-1.0,9,4.5,2.3,0,0.0,0,0.0,30.6,0,0,0,0,5,0,0,0,0,0,0,0,0.0,69.0,1216,Las Vegas Raiders,0,Allegiant,indoors,grass,54,18,0,0,Mostly Cloudy
