,Name,Team,Tgt,Rec,Rec_Yds,Rec_TD,Rec_1D,Rec_YBC,Rec_YBC/R,Rec_YAC,Rec_YAC/R,ADOT,Rec_BrkTkl,Rec_Rec/Br,Drop,Drop%,Rat,Rush_Att,Rush_Yds,Rush_TD,Rush_Lng,Rec_Lng,FL,1D,YBC,YBC/R,YAC,YAC/R,BrkTkl,Rec/Br,Pct,Date,Opponent,Hmcrt_adv,Stadium,Roof,Surface,Temperature,Humidity,Wind,Precipitation,Forecast
0,T.Conklin,New York Jets,2,1,-3,0,0,-3,-3.0,0,0.0,-0.5,0,0.0,0,0.0,56.2,0,0,0,0,-3,0,0,0,0,0,0,0,0.0,78.0,1031,Houston Texans,1,MetLife,outdoors,turf,75,57,8,8,Clear
1,J.Ruckert,New York Jets,1,1,4,0,0,1,1.0,3,3.0,1.0,0,0.0,0,0.0,83.3,0,0,0,0,4,0,0,0,0,0,0,0,0.0,36.0,1031,Houston Texans,1,MetLife,outdoors,turf,75,57,8,8,Clear
2,M.Williams,New York Jets,2,1,6,0,1,5,5.0,1,1.0,13.5,0,0.0,0,0.0,56.2,0,0,0,0,6,0,0,0,0,0,0,0,0.0,71.0,1031,Houston Texans,1,MetLife,outdoors,turf,75,57,8,8,Clear
3,G.Wilson,New York Jets,10,9,90,2,0,0,0,0,0,5.9,0,0.0,0,0.0,143.7,0,0,0,0,26,0,4,51,5.7,39,4.3,0,0.0,98.0,1031,Houston Texans,1,MetLife,outdoors,turf,75,57,8,8,Clear
4,D.Adams,New York Jets,11,7,91,1,4,51,7.3,40,5.7,9.5,0,0.0,0,0.0,119.9,0,0,0,0,37,0,0,0,0,0,0,0,0.0,78.0,1031,Houston Texans,1,MetLife,outdoors,turf,75,57,8,8,Clear
5,B.Allen,New York Jets,1,0,0,0,0,0,0,0,0,4.0,0,0.0,0,0.0,39.6,0,9,0,5,0,0,0,0,0,0,0,0,0.0,29.0,1031,Houston Texans,1,MetLife,outdoors,turf,75,57,8,8,Clear
6,B.Hall,New York Jets,4,2,11,0,0,0,0,0,0,-3.0,0,0.0,0,0.0,56.2,0,74,0,16,13,0,1,-8,-4.0,19,9.5,0,0.0,76.0,1031,Houston Texans,1,MetLife,outdoors,turf,75,57,8,8,Clear
7,D.Ogunbowale,Houston Texans,3,0,0,0,0,0,0,0,0,8.0,0,0.0,0,0.0,39.6,0,-1,0,0,0,0,0,0,0,0,0,0,0.0,37.0,1031,New York Jets,0,MetLife,outdoors,turf,75,57,8,8,Clear
8,C.Stover,Houston Texans,2,0,0,0,0,0,0,0,0,8.0,0,0.0,0,0.0,39.6,0,0,0,0,0,0,0,0,0,0,0,0,0.0,44.0,1031,New York Jets,0,MetLife,outdoors,turf,75,57,8,8,Clear
9,J.Metchie,Houston Texans,2,0,0,0,0,0,0,0,0,13.5,0,0.0,0,0.0,39.6,0,0,0,0,0,0,0,0,0,0,0,0,0.0,63.0,1031,New York Jets,0,MetLife,outdoors,turf,75,57,8,8,Clear
10,X.Hutchinson,Houston Texans,3,0,0,0,0,0,0,0,0,30.3,0,0.0,0,0.0,39.6,0,0,0,0,0,0,0,0,0,0,0,0,0.0,75.0,1031,New York Jets,0,MetLife,outdoors,turf,75,57,8,8,Clear
11,D.Schultz,Houston Texans,6,3,21,0,0,10,3.3,11,3.7,15.2,0,0.0,0,0.0,58.3,0,0,0,0,8,0,0,0,0,0,0,0,0.0,71.0,1031,New York Jets,0,MetLife,outdoors,turf,75,57,8,8,Clear
12,R.Woods,Houston Texans,3,2,44,0,2,38,19.0,6,3.0,14.3,0,0.0,0,0.0,109.7,0,0,0,0,32,0,0,0,0,0,0,0,0.0,49.0,1031,New York Jets,0,MetLife,outdoors,turf,75,57,8,8,Clear
13,T.Dell,Houston Texans,9,6,126,0,0,0,0,0,0,14.6,0,0.0,0,0.0,109.7,0,0,0,0,50,0,4,82,13.7,44,7.3,0,0.0,73.0,1031,New York Jets,0,MetLife,outdoors,turf,75,57,8,8,Clear
14,J.Mixon,Houston Texans,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,106,1,29,0,0,0,0,0,0,0,0,0.0,56.0,1031,New York Jets,0,MetLife,outdoors,turf,75,57,8,8,Clear
