,Name,Team,Tgt,Rec,Rec_Yds,Rec_TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Rat,Rush_Att,Rush_Yds,Rush_TD,Rush_Lng,Rec_Lng,FL,Pct,Date,Opponent,Hmcrt_adv,Stadium,Roof,Surface,Temperature,Humidity,Wind,Precipitation,Forecast
1,A.Cooper,Buffalo Bills,1,0,0,0,0,0,0,0,0,7.0,0,0,0,0.0,39.6,0,0,0,0,0,0,34.0,1000019,Baltimore Ravens,1,Highmark,outdoors,turf,19,89,5,40,Snow
3,D.Knox,Buffalo Bills,2,1,0,0,0,-4,-4.0,4,4.0,9.5,0,0,0,0.0,56.2,0,0,0,0,0,0,57.0,1000019,Baltimore Ravens,1,Highmark,outdoors,turf,19,89,5,40,Snow
5,K.Coleman,Buffalo Bills,1,1,5,0,0,3,3.0,2,2.0,3.0,0,0,0,0.0,87.5,0,0,0,0,5,0,66.0,1000019,Baltimore Ravens,1,Highmark,outdoors,turf,19,89,5,40,Snow
7,C.Samuel,Buffalo Bills,2,2,9,0,1,3,1.5,6,3.0,1.5,0,0,0,0.0,85.4,0,0,0,0,8,0,31.0,1000019,Baltimore Ravens,1,Highmark,outdoors,turf,19,89,5,40,Snow
9,D.Kincaid,Buffalo Bills,2,1,11,0,1,6,6.0,5,5.0,10.0,0,0,0,0.0,66.7,0,0,0,0,11,0,51.0,1000019,Baltimore Ravens,1,Highmark,outdoors,turf,19,89,5,40,Snow
11,M.Hollins,Buffalo Bills,2,1,12,0,1,4,4.0,8,8.0,17.0,0,0,0,0.0,68.7,0,0,0,0,12,0,52.0,1000019,Baltimore Ravens,1,Highmark,outdoors,turf,19,89,5,40,Snow
13,K.Shakir,Buffalo Bills,7,6,67,0,2,43,7.2,24,4.0,6.9,0,0,0,0.0,106.5,0,0,0,0,34,0,67.0,1000019,Baltimore Ravens,1,Highmark,outdoors,turf,19,89,5,40,Snow
15,T.Johnson,Buffalo Bills,1,1,8,0,1,0,0.0,8,8.0,0.0,0,0,0,0.0,100.0,5,31,0,17,8,0,34.0,1000019,Baltimore Ravens,1,Highmark,outdoors,turf,19,89,5,40,Snow
17,J.Cook,Buffalo Bills,3,3,15,0,0,-8,-2.7,23,7.7,-2.7,0,0,0,0.0,87.5,17,67,0,11,7,0,52.0,1000019,Baltimore Ravens,1,Highmark,outdoors,turf,19,89,5,40,Snow
19,N.Agholor,Baltimore Ravens,1,0,0,0,0,0,0,0,0,4.0,0,0,0,0.0,39.6,0,0,0,0,0,0,44.0,1000019,Buffalo Bills,0,Highmark,outdoors,turf,19,89,5,40,Snow
21,S.Sims,Baltimore Ravens,1,1,4,0,0,-3,-3.0,7,7.0,-3.0,0,0,0,0.0,83.3,0,0,0,0,4,0,10.0,1000019,Buffalo Bills,0,Highmark,outdoors,turf,19,89,5,40,Snow
23,A.Miller,Baltimore Ravens,1,1,16,0,1,4,4.0,12,12.0,4.0,0,0,0,0.0,118.7,0,0,0,0,16,0,14.0,1000019,Buffalo Bills,0,Highmark,outdoors,turf,19,89,5,40,Snow
25,T.Wallace,Baltimore Ravens,1,1,27,0,1,11,11.0,16,16.0,11.0,0,0,0,0.0,118.7,0,0,0,0,27,0,49.0,1000019,Buffalo Bills,0,Highmark,outdoors,turf,19,89,5,40,Snow
