,Name,Team,Tgt,Rec,Rec_Yds,Rec_TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Rat,Rush_Att,Rush_Yds,Rush_TD,Rush_Lng,Rec_Lng,FL,Pct,Date,Opponent,Hmcrt_adv,Stadium,Roof,Surface,Temperature,Humidity,Wind,Precipitation,Forecast
1,M.Alie-Cox,Indianapolis Colts,1,0,0,0,0,0,0,0,0,18.0,0,0,0,0.0,39.6,0,0,0,0,0,0,38.0,100005,Jacksonville Jaguars,1,Lucas Oil,indoors,turf,21,71,5,83,Snow
3,A.Mitchell,Indianapolis Colts,1,0,0,0,0,0,0,0,0,20.0,0,0,0,0.0,39.6,0,0,0,0,0,0,21.0,100005,Jacksonville Jaguars,1,Lucas Oil,indoors,turf,21,71,5,83,Snow
5,T.Sermon,Indianapolis Colts,3,1,5,0,0,1,1.0,4,4.0,2.7,0,0,0,0.0,42.4,0,0,0,0,5,0,21.0,100005,Jacksonville Jaguars,1,Lucas Oil,indoors,turf,21,71,5,83,Snow
7,T.Goodson,Indianapolis Colts,2,1,5,0,0,2,2.0,3,3.0,0.0,0,0,0,0.0,56.2,0,0,0,0,5,0,8.0,100005,Jacksonville Jaguars,1,Lucas Oil,indoors,turf,21,71,5,83,Snow
9,K.Granson,Indianapolis Colts,4,1,7,0,0,2,2.0,5,5.0,13.3,0,0,0,0.0,39.6,0,0,0,0,7,0,41.0,100005,Jacksonville Jaguars,1,Lucas Oil,indoors,turf,21,71,5,83,Snow
11,A.Ogletree,Indianapolis Colts,1,1,21,0,1,12,12.0,9,9.0,12.0,0,0,0,0.0,118.7,0,0,0,0,21,0,41.0,100005,Jacksonville Jaguars,1,Lucas Oil,indoors,turf,21,71,5,83,Snow
13,A.Pierce,Indianapolis Colts,2,2,57,1,2,51,25.5,6,3.0,25.5,0,0,0,0.0,158.3,0,0,0,0,40,0,82.0,100005,Jacksonville Jaguars,1,Lucas Oil,indoors,turf,21,71,5,83,Snow
15,M.Pittman,Indianapolis Colts,10,6,72,0,3,62,10.3,10,1.7,13.3,0,0,0,0.0,82.1,0,0,0,0,26,0,91.0,100005,Jacksonville Jaguars,1,Lucas Oil,indoors,turf,21,71,5,83,Snow
17,J.Downs,Indianapolis Colts,13,10,94,0,5,37,3.7,57,5.7,5.0,0,0,0,0.0,96.3,0,0,0,0,18,0,76.0,100005,Jacksonville Jaguars,1,Lucas Oil,indoors,turf,21,71,5,83,Snow
19,J.Taylor,Indianapolis Colts,2,1,3,0,0,3,3.0,0,0.0,2.5,0,0,0,0.0,56.2,34,177,1,17,3,0,72.0,100005,Jacksonville Jaguars,1,Lucas Oil,indoors,turf,21,71,5,83,Snow
21,L.Farrell,Jacksonville Jaguars,1,1,4,0,0,3,3.0,1,1.0,3.0,0,0,0,0.0,83.3,0,0,0,0,4,0,45.0,100005,Indianapolis Colts,0,Lucas Oil,indoors,turf,21,71,5,83,Snow
23,J.Reynolds,Jacksonville Jaguars,3,1,11,0,0,11,11.0,0,0.0,6.7,0,0,0,0.0,45.1,0,0,0,0,11,0,58.0,100005,Indianapolis Colts,0,Lucas Oil,indoors,turf,21,71,5,83,Snow
25,P.Washington,Jacksonville Jaguars,4,2,15,1,1,9,4.5,6,3.0,12.8,0,0,0,0.0,99.0,0,0,0,0,9,0,86.0,100005,Indianapolis Colts,0,Lucas Oil,indoors,turf,21,71,5,83,Snow
27,B.Strange,Jacksonville Jaguars,4,4,60,0,4,36,9.0,24,6.0,9.0,0,0,0,0.0,118.7,0,0,0,0,26,0,72.0,100005,Indianapolis Colts,0,Lucas Oil,indoors,turf,21,71,5,83,Snow
29,B.Thomas,Jacksonville Jaguars,11,7,103,0,3,77,11.0,26,3.7,15.2,0,0,0,0.0,56.3,0,0,0,0,41,0,90.0,100005,Indianapolis Colts,0,Lucas Oil,indoors,turf,21,71,5,83,Snow
31,D.Johnson,Jacksonville Jaguars,2,1,0,0,0,2,2.0,-2,-2.0,0.0,0,0,0,0.0,56.2,2,26,0,22,0,0,19.0,100005,Indianapolis Colts,0,Lucas Oil,indoors,turf,21,71,5,83,Snow
33,T.Etienne,Jacksonville Jaguars,5,3,29,0,2,-9,-3.0,38,12.7,-2.2,0,0,0,0.0,76.2,13,31,0,11,14,0,43.0,100005,Indianapolis Colts,0,Lucas Oil,indoors,turf,21,71,5,83,Snow
35,T.Bigsby,Jacksonville Jaguars,1,1,3,0,0,-4,-4.0,7,7.0,-4.0,0,0,0,0.0,79.2,14,39,1,11,3,0,36.0,100005,Indianapolis Colts,0,Lucas Oil,indoors,turf,21,71,5,83,Snow
37,B.Cooks,Dallas Cowboys,9,3,15,0,1,10,3.3,5,1.7,5.6,0,0,0,0.0,42.4,1,-5,0,-5,8,0,69.0,100005,Washington Commanders,1,AT&amp;T,indoors,turf,44,49,14,0,Clear
39,J.Ferguson,Dallas Cowboys,4,2,12,0,1,4,2.0,8,4.0,1.0,0,0,0,0.0,56.2,0,0,0,0,19,0,59.0,100005,Washington Commanders,1,AT&amp;T,indoors,turf,44,49,14,0,Clear
41,R.Flournoy,Dallas Cowboys,2,2,14,0,1,12,6.0,2,1.0,6.0,0,0,0,0.0,95.8,0,0,0,0,10,0,9.0,100005,Washington Commanders,1,AT&amp;T,indoors,turf,44,49,14,0,Clear
