,Name,Team,Tgt,Rec,Rec_Yds,Rec_TD,Rec_1D,Rec_YBC,Rec_YBC/R,Rec_YAC,Rec_YAC/R,ADOT,Rec_BrkTkl,Rec_Rec/Br,Drop,Drop%,Rat,Rush_Att,Rush_Yds,Rush_TD,Rush_Lng,Rec_Lng,FL,1D,YBC,YBC/R,YAC,YAC/R,BrkTkl,Rec/Br,Pct,Date,Opponent,Hmcrt_adv,Stadium,Roof,Surface,Temperature,Humidity,Wind,Precipitation,Forecast
0,S.Perine,Kansas City Chiefs,2,1,24,0,0,0,0,0,0,3.5,0,0.0,0,0.0,93.7,0,0,0,0,15,0,0,-1,-1.0,25,25.0,0,0.0,25.0,1007,New Orleans Saints,1,GEHA Field at Arrowhead,outdoors,grass,71,39,0,1,Clear
1,N.Gray,Kansas City Chiefs,2,2,29,0,2,8,4.0,21,10.5,4.0,0,0.0,0,0.0,118.7,0,0,0,0,15,0,0,0,0,0,0,0,0.0,61.0,1007,New Orleans Saints,1,GEHA Field at Arrowhead,outdoors,grass,71,39,0,1,Clear
2,T.Kelce,Kansas City Chiefs,10,9,70,0,0,0,0,0,0,5.3,0,0.0,0,0.0,95.8,0,0,0,0,21,0,4,36,4.0,34,3.8,0,0.0,77.0,1007,New Orleans Saints,1,GEHA Field at Arrowhead,outdoors,grass,71,39,0,1,Clear
3,J.Smith-Schuster,Kansas City Chiefs,8,7,130,0,4,48,6.9,82,11.7,6.5,0,0.0,0,0.0,79.2,0,0,0,0,50,0,0,0,0,0,0,0,0.0,67.0,1007,New Orleans Saints,1,GEHA Field at Arrowhead,outdoors,grass,71,39,0,1,Clear
4,X.Worthy,Kansas City Chiefs,6,3,25,0,0,0,0,0,0,7.0,0,0.0,0,0.0,61.1,0,3,1,3,18,0,1,-5,-1.7,30,10.0,0,0.0,67.0,1007,New Orleans Saints,1,GEHA Field at Arrowhead,outdoors,grass,71,39,0,1,Clear
5,K.Hunt,Kansas City Chiefs,1,1,15,0,0,0,0,0,0,0.0,0,0.0,0,0.0,118.7,0,102,1,8,15,0,1,0,0.0,15,15.0,0,0.0,63.0,1007,New Orleans Saints,1,GEHA Field at Arrowhead,outdoors,grass,71,39,0,1,Clear
6,P.Mahomes,Kansas City Chiefs,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,22,0,9,0,0,0,0,0,0,0,0,0.0,100.0,1007,New Orleans Saints,1,GEHA Field at Arrowhead,outdoors,grass,71,39,0,1,Clear
7,M.Tipton,New Orleans Saints,4,1,2,0,0,1,1.0,1,1.0,26.3,0,0.0,0,0.0,39.6,0,0,0,0,2,0,0,0,0,0,0,0,0.0,36.0,1007,Kansas City Chiefs,0,GEHA Field at Arrowhead,outdoors,grass,71,39,0,1,Clear
8,C.Olave,New Orleans Saints,4,2,10,0,0,0,0,0,0,7.3,0,0.0,0,0.0,56.2,0,0,0,0,6,0,1,9,4.5,1,0.5,0,0.0,94.0,1007,Kansas City Chiefs,0,GEHA Field at Arrowhead,outdoors,grass,71,39,0,1,Clear
9,F.Moreau,New Orleans Saints,2,2,13,1,2,11,5.5,2,1.0,5.5,0,0.0,0,0.0,133.3,0,0,0,0,7,0,0,0,0,0,0,0,0.0,53.0,1007,Kansas City Chiefs,0,GEHA Field at Arrowhead,outdoors,grass,71,39,0,1,Clear
10,J.Johnson,New Orleans Saints,5,5,31,0,2,20,4.0,11,2.2,4.0,0,0.0,0,0.0,92.5,0,0,0,0,11,0,0,0,0,0,0,0,0.0,79.0,1007,Kansas City Chiefs,0,GEHA Field at Arrowhead,outdoors,grass,71,39,0,1,Clear
11,R.Shaheed,New Orleans Saints,9,4,86,1,0,0,0,0,0,22.2,0,0.0,0,0.0,76.4,0,0,0,0,43,0,3,74,18.5,12,3.0,0,0.0,87.0,1007,Kansas City Chiefs,0,GEHA Field at Arrowhead,outdoors,grass,71,39,0,1,Clear
12,A.Kamara,New Orleans Saints,8,6,40,0,0,0,0,0,0,2.0,0,0.0,0,0.0,85.4,0,26,0,9,14,0,3,12,2.0,28,4.7,0,0.0,89.0,1007,Kansas City Chiefs,0,GEHA Field at Arrowhead,outdoors,grass,71,39,0,1,Clear
