,Name,Team,Tgt,Rec,Rec_Yds,Rec_TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Rat,Rush_Yds,Rush_TD,Rush_Lng,Rec_Lng,FL,Rec_1D,Rec_YBC,Rec_YBC/R,Rec_YAC,Rec_YAC/R,Rec_BrkTkl,Rec_Rec/Br,Rush_Att,Pct,Date,Opponent,Hmcrt_adv,Stadium,Roof,Surface,Temperature,Humidity,Wind,Precipitation,Forecast
0,R.McCloud,Atlanta Falcons,9,6,66,0,2,41,6.8,25,4.2,7.1,0,0.0,0,0.0,88.2,0,0,0,22,0,0,0,0,0,0,0,0.0,0,98.0,1003,Tampa Bay Buccaneers,1,Mercedes-Benz,indoors,turf,79,78,6,1,Clear
1,K.Pitts,Atlanta Falcons,8,7,88,0,0,0,0,0,0,6.0,0,0.0,0,0.0,112.5,0,0,0,32,0,4,45,6.4,43,6.1,0,0.0,0,85.0,1003,Tampa Bay Buccaneers,1,Mercedes-Benz,indoors,turf,79,78,6,1,Clear
2,D.London,Atlanta Falcons,13,12,154,1,0,0,0,0,0,9.1,0,0.0,0,0.0,141.7,0,0,0,31,0,9,104,8.7,50,4.2,0,0.0,0,84.0,1003,Tampa Bay Buccaneers,1,Mercedes-Benz,indoors,turf,79,78,6,1,Clear
3,T.Allgeier,Atlanta Falcons,3,3,13,0,0,-1,-0.3,14,4.7,-0.3,0,0.0,0,0.0,84.7,12,0,8,6,0,0,0,0,0,0,0,0.0,0,36.0,1003,Tampa Bay Buccaneers,1,Mercedes-Benz,indoors,turf,79,78,6,1,Clear
4,B.Robinson,Atlanta Falcons,3,3,16,0,1,-18,-6.0,34,11.3,-6.0,0,0.0,0,0.0,88.9,61,0,28,6,0,0,0,0,0,0,0,0.0,0,67.0,1003,Tampa Bay Buccaneers,1,Mercedes-Benz,indoors,turf,79,78,6,1,Clear
5,D.Mooney,Atlanta Falcons,16,9,105,2,0,0,0,0,0,12.0,0,0.0,0,0.0,89.8,0,0,0,24,0,6,78,8.7,27,3.0,0,0.0,0,98.0,1003,Tampa Bay Buccaneers,1,Mercedes-Benz,indoors,turf,79,78,6,1,Clear
6,S.Shepard,Tampa Bay Buccaneers,2,1,4,1,0,0,0,0,0,23.0,0,0.0,0,0.0,95.8,0,0,0,4,0,1,4,4.0,0,0.0,0,0.0,0,68.0,1003,Atlanta Falcons,0,Mercedes-Benz,indoors,turf,79,78,6,1,Clear
7,C.Otton,Tampa Bay Buccaneers,4,3,44,0,2,6,2.0,38,12.7,2.3,0,0.0,0,0.0,110.4,0,0,0,22,0,0,0,0,0,0,0,0.0,0,100.0,1003,Atlanta Falcons,0,Mercedes-Benz,indoors,turf,79,78,6,1,Clear
8,M.Evans,Tampa Bay Buccaneers,7,5,62,2,0,0,0,0,0,8.6,0,0.0,0,0.0,138.1,0,0,0,23,0,5,59,11.8,3,0.6,0,0.0,0,87.0,1003,Atlanta Falcons,0,Mercedes-Benz,indoors,turf,79,78,6,1,Clear
9,C.Godwin,Tampa Bay Buccaneers,6,5,64,0,4,27,5.4,37,7.4,5.3,0,0.0,0,0.0,111.1,2,0,2,20,0,0,0,0,0,0,0,0.0,0,98.0,1003,Atlanta Falcons,0,Mercedes-Benz,indoors,turf,79,78,6,1,Clear
10,B.Irving,Tampa Bay Buccaneers,2,2,12,0,0,-13,-6.5,25,12.5,-6.5,0,0.0,0,0.0,91.7,44,0,16,9,1,0,0,0,0,0,0,0.0,0,43.0,1003,Atlanta Falcons,0,Mercedes-Benz,indoors,turf,79,78,6,1,Clear
11,R.White,Tampa Bay Buccaneers,3,3,-6,0,0,-15,-5.0,9,3.0,-5.0,0,0.0,0,0.0,79.2,72,0,56,-2,0,0,0,0,0,0,0,0.0,0,64.0,1003,Atlanta Falcons,0,Mercedes-Benz,indoors,turf,79,78,6,1,Clear
