,Name,Team,Tgt,Rec,Rec_Yds,Rec_TD,Rec_1D,Rec_YBC,Rec_YBC/R,Rec_YAC,Rec_YAC/R,ADOT,Rec_BrkTkl,Rec_Rec/Br,Drop,Drop%,Rat,Rush_Att,Rush_Yds,Rush_TD,Rush_Lng,Rec_Lng,FL,1D,YBC,YBC/R,YAC,YAC/R,BrkTkl,Rec/Br,Pct,Date,Opponent,Hmcrt_adv,Stadium,Roof,Surface,Temperature,Humidity,Wind,Precipitation,Forecast
0,D.Wicks,Green Bay Packers,7,3,13,1,2,11,3.7,2,0.7,5.9,0,0.0,0,0.0,89.9,0,0,0,0,12,0,0,0,0,0,0,0,0.0,61.0,1223,New Orleans Saints,1,Lambeau Field,outdoors,grass,34,81,10,5,Overcast
1,R.Doubs,Green Bay Packers,3,2,20,0,1,16,8.0,4,2.0,14.7,0,0.0,0,0.0,85.4,0,0,0,0,15,0,0,0,0,0,0,0,0.0,67.0,1223,New Orleans Saints,1,Lambeau Field,outdoors,grass,34,81,10,5,Overcast
2,T.Kraft,Green Bay Packers,4,3,63,0,0,0,0,0,0,4.8,0,0.0,0,0.0,116.7,0,2,0,2,30,0,3,23,7.7,40,13.3,0,0.0,62.0,1223,New Orleans Saints,1,Lambeau Field,outdoors,grass,34,81,10,5,Overcast
3,J.Reed,Green Bay Packers,4,3,76,0,0,0,0,0,0,21.0,0,0.0,0,0.0,116.7,0,5,0,5,37,0,2,60,20.0,16,5.3,0,0.0,58.0,1223,New Orleans Saints,1,Lambeau Field,outdoors,grass,34,81,10,5,Overcast
4,B.Melton,Green Bay Packers,1,0,0,0,0,0,0,0,0,1.0,0,0.0,0,0.0,39.6,0,14,0,14,0,0,0,0,0,0,0,0,0.0,32.0,1223,New Orleans Saints,1,Lambeau Field,outdoors,grass,34,81,10,5,Overcast
5,C.Watson,Green Bay Packers,1,0,0,0,0,0,0,0,0,40.0,0,0.0,0,0.0,39.6,0,23,0,14,0,0,0,0,0,0,0,0,0.0,43.0,1223,New Orleans Saints,1,Lambeau Field,outdoors,grass,34,81,10,5,Overcast
6,C.Brooks,Green Bay Packers,1,1,2,0,0,0,0,0,0,-1.0,0,0.0,0,0.0,79.2,0,23,1,8,2,0,0,-1,-1.0,3,3.0,0,0.0,32.0,1223,New Orleans Saints,1,Lambeau Field,outdoors,grass,34,81,10,5,Overcast
7,E.Wilson,Green Bay Packers,1,1,4,0,0,0,0,0,0,-4.0,0,0.0,0,0.0,83.3,0,52,1,17,4,0,0,-4,-4.0,8,8.0,0,0.0,36.0,1223,New Orleans Saints,1,Lambeau Field,outdoors,grass,34,81,10,5,Overcast
8,J.Jacobs,Green Bay Packers,4,4,38,0,0,0,0,0,0,-2.8,0,0.0,0,0.0,106.2,0,69,1,20,13,0,2,-11,-2.8,49,12.3,0,0.0,41.0,1223,New Orleans Saints,1,Lambeau Field,outdoors,grass,34,81,10,5,Overcast
9,M.Tipton,New Orleans Saints,1,0,0,0,0,0,0,0,0,3.0,0,0.0,0,0.0,39.6,0,0,0,0,0,0,0,0,0,0,0,0,0.0,50.0,1223,Green Bay Packers,0,Lambeau Field,outdoors,grass,34,81,10,5,Overcast
10,C.Wilson,New Orleans Saints,1,1,13,0,0,10,10.0,3,3.0,10.0,0,0.0,0,0.0,118.7,0,0,0,0,13,0,0,0,0,0,0,0,0.0,55.0,1223,Green Bay Packers,0,Lambeau Field,outdoors,grass,34,81,10,5,Overcast
11,K.Austin,New Orleans Saints,4,1,17,0,0,0,0,0,0,9.8,0,0.0,0,0.0,44.8,0,0,0,0,17,0,1,16,16.0,1,1.0,0,0.0,89.0,1223,Green Bay Packers,0,Lambeau Field,outdoors,grass,34,81,10,5,Overcast
12,J.Johnson,New Orleans Saints,2,2,27,0,2,22,11.0,5,2.5,11.0,0,0.0,0,0.0,118.7,0,0,0,0,17,0,0,0,0,0,0,0,0.0,73.0,1223,Green Bay Packers,0,Lambeau Field,outdoors,grass,34,81,10,5,Overcast
13,D.Pettis,New Orleans Saints,7,2,31,0,2,24,12.0,7,3.5,5.6,0,0.0,0,0.0,45.5,0,0,0,0,20,0,0,0,0,0,0,0,0.0,66.0,1223,Green Bay Packers,0,Lambeau Field,outdoors,grass,34,81,10,5,Overcast
14,F.Moreau,New Orleans Saints,3,2,33,0,2,14,7.0,19,9.5,11.3,0,0.0,0,0.0,63.9,0,0,0,0,21,0,0,0,0,0,0,0,0.0,48.0,1223,Green Bay Packers,0,Lambeau Field,outdoors,grass,34,81,10,5,Overcast
15,K.Miller,New Orleans Saints,2,2,16,0,0,0,0,0,0,5.0,0,0.0,0,0.0,100.0,0,15,0,10,8,0,1,10,5.0,6,3.0,0,0.0,39.0,1223,Green Bay Packers,0,Lambeau Field,outdoors,grass,34,81,10,5,Overcast
16,J.Mims,New Orleans Saints,8,5,16,0,0,0,0,0,0,1.6,0,0.0,0,0.0,66.7,0,16,0,9,6,0,1,-3,-0.6,19,3.8,0,0.0,45.0,1223,Green Bay Packers,0,Lambeau Field,outdoors,grass,34,81,10,5,Overcast
