,Name,Team,Tgt,Rec,Rec_Yds,Rec_TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Rat,Rush_Att,Rush_Yds,Rush_TD,Rush_Lng,Rec_Lng,FL,Pct,Date,Opponent,Hmcrt_adv,Stadium,Roof,Surface,Temperature,Humidity,Wind,Precipitation,Forecast
1,D.Johnson,Houston Texans,1,1,12,0,0,8,8.0,4,4.0,8.0,0,0,0,0.0,116.7,0,0,0,0,12,0,22.0,1000011,Los Angeles Chargers,1,NRG,indoors,turf,54,41,9,0,Clear
3,R.Woods,Houston Texans,4,2,22,0,2,20,10.0,2,1.0,8.5,0,0,0,0.0,66.7,0,0,0,0,13,0,51.0,1000011,Los Angeles Chargers,1,NRG,indoors,turf,54,41,9,0,Clear
5,D.Schultz,Houston Texans,4,2,23,0,1,12,6.0,11,5.5,10.5,0,0,0,0.0,67.7,0,0,0,0,14,0,73.0,1000011,Los Angeles Chargers,1,NRG,indoors,turf,54,41,9,0,Clear
7,C.Stover,Houston Texans,4,4,28,0,1,9,2.3,19,4.8,2.3,0,0,0,0.0,95.8,0,0,0,0,11,0,49.0,1000011,Los Angeles Chargers,1,NRG,indoors,turf,54,41,9,0,Clear
9,J.Metchie,Houston Texans,8,4,28,0,1,22,5.5,6,1.5,8.6,0,0,0,0.0,18.7,0,0,0,0,10,1,51.0,1000011,Los Angeles Chargers,1,NRG,indoors,turf,54,41,9,0,Clear
11,X.Hutchinson,Houston Texans,1,1,34,0,1,27,27.0,7,7.0,27.0,0,0,0,0.0,118.7,0,0,0,0,34,0,38.0,1000011,Los Angeles Chargers,1,NRG,indoors,turf,54,41,9,0,Clear
13,N.Collins,Houston Texans,8,7,122,1,6,61,8.7,61,8.7,14.4,0,0,0,0.0,158.3,0,0,0,0,41,0,88.0,1000011,Los Angeles Chargers,1,NRG,indoors,turf,54,41,9,0,Clear
15,J.Mixon,Houston Texans,2,1,13,0,0,3,3.0,10,10.0,1.5,0,0,0,0.0,70.8,25,106,1,17,13,1,71.0,1000011,Los Angeles Chargers,1,NRG,indoors,turf,54,41,9,0,Clear
17,D.Davis,Los Angeles Chargers,1,1,4,0,0,-7,-7.0,11,11.0,-7.0,0,0,0,0.0,83.3,1,-3,0,-3,4,0,21.0,1000011,Houston Texans,0,NRG,indoors,turf,54,41,9,0,Clear
19,D.Chark,Los Angeles Chargers,4,1,10,0,0,4,4.0,6,6.0,17.3,0,0,0,0.0,0.0,0,0,0,0,10,0,48.0,1000011,Houston Texans,0,NRG,indoors,turf,54,41,9,0,Clear
