,Name,Team,Tgt,Rec,Rec_Yds,Rec_TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Rat,Rush_Att,Rush_Yds,Rush_TD,Rush_Lng,Rec_Lng,FL,Pct,Date,Opponent,Hmcrt_adv,Stadium,Roof,Surface,Temperature,Humidity,Wind,Precipitation,Forecast
1,K.Coleman,Buffalo Bills,3,1,5,0,0,4,4.0,1,1.0,14.3,0,0,0,0.0,42.4,0,0,0,0,5,0,61.0,1000012,Denver Broncos,1,Highmark,outdoors,turf,31,80,10,5,Snow
3,A.Cooper,Buffalo Bills,3,2,8,0,0,3,1.5,5,2.5,3.7,0,0,0,0.0,70.1,0,0,0,0,5,0,36.0,1000012,Denver Broncos,1,Highmark,outdoors,turf,31,80,10,5,Snow
5,M.Hollins,Buffalo Bills,2,1,19,0,1,14,14.0,5,5.0,18.5,0,0,0,0.0,83.3,0,0,0,0,19,0,68.0,1000012,Denver Broncos,1,Highmark,outdoors,turf,31,80,10,5,Snow
7,D.Knox,Buffalo Bills,3,2,38,0,2,35,17.5,3,1.5,14.3,0,0,0,0.0,109.7,0,0,0,0,25,0,61.0,1000012,Denver Broncos,1,Highmark,outdoors,turf,31,80,10,5,Snow
9,D.Kincaid,Buffalo Bills,3,3,47,0,1,41,13.7,6,2.0,13.7,0,0,0,0.0,118.7,0,0,0,0,35,0,38.0,1000012,Denver Broncos,1,Highmark,outdoors,turf,31,80,10,5,Snow
11,K.Shakir,Buffalo Bills,6,6,61,0,3,12,2.0,49,8.2,2.0,0,0,0,0.0,109.0,0,0,0,0,15,0,53.0,1000012,Denver Broncos,1,Highmark,outdoors,turf,31,80,10,5,Snow
13,C.Samuel,Buffalo Bills,3,3,68,1,2,24,8.0,44,14.7,8.0,0,0,0,0.0,158.3,0,0,0,0,55,0,39.0,1000012,Denver Broncos,1,Highmark,outdoors,turf,31,80,10,5,Snow
15,T.Johnson,Buffalo Bills,2,2,26,1,2,25,12.5,1,0.5,12.5,0,0,0,0.0,158.3,9,44,0,11,24,0,45.0,1000012,Denver Broncos,1,Highmark,outdoors,turf,31,80,10,5,Snow
17,J.McLaughlin,Denver Broncos,1,1,0,0,0,-2,-2.0,2,2.0,-2.0,0,0,0,0.0,79.2,2,-2,0,1,0,0,19.0,1000012,Buffalo Bills,0,Highmark,outdoors,turf,31,80,10,5,Snow
19,L.Krull,Denver Broncos,1,1,2,0,0,2,2.0,0,0.0,2.0,0,0,0,0.0,79.2,0,0,0,0,2,0,69.0,1000012,Buffalo Bills,0,Highmark,outdoors,turf,31,80,10,5,Snow
21,A.Trautman,Denver Broncos,1,1,2,0,0,2,2.0,0,0.0,2.0,0,0,0,0.0,79.2,0,0,0,0,2,0,19.0,1000012,Buffalo Bills,0,Highmark,outdoors,turf,31,80,10,5,Snow
23,T.Franklin,Denver Broncos,3,2,54,1,2,54,27.0,0,0.0,20.0,0,0,0,0.0,149.3,0,0,0,0,43,0,40.0,1000012,Buffalo Bills,0,Highmark,outdoors,turf,31,80,10,5,Snow
