,Name,Team,Tgt,Rec,Rec_Yds,Rec_TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Rat,Rush_Att,Rush_Yds,Rush_TD,Rush_Lng,Rec_Lng,FL,Pct,Date,Opponent,Hmcrt_adv,Stadium,Roof,Surface,Temperature,Humidity,Wind,Precipitation,Forecast
1,K.Juszczyk,San Francisco 49ers,2,1,9,1,1,-1,-1.0,10,10.0,4.0,0,0,0,0.0,102.1,0,0,0,0,9,0,42.0,1230,Detroit Lions,1,Levi's,outdoors,grass,57,74,11,0,Mostly Cloudy
3,C.Conley,San Francisco 49ers,1,1,13,0,1,6,6.0,7,7.0,6.0,0,0,0,0.0,118.7,0,0,0,0,13,0,6.0,1230,Detroit Lions,1,Levi's,outdoors,grass,57,74,11,0,Mostly Cloudy
5,J.Jennings,San Francisco 49ers,10,7,67,0,2,56,8.0,11,1.6,8.7,0,0,0,0.0,88.3,0,0,0,0,15,0,94.0,1230,Detroit Lions,1,Levi's,outdoors,grass,57,74,11,0,Mostly Cloudy
7,G.Kittle,San Francisco 49ers,8,8,112,0,5,58,7.3,54,6.8,7.3,0,0,0,0.0,118.7,0,0,0,0,22,0,94.0,1230,Detroit Lions,1,Levi's,outdoors,grass,57,74,11,0,Mostly Cloudy
9,D.Samuel,San Francisco 49ers,1,1,5,1,1,-4,-4.0,9,9.0,-4.0,0,0,0,0.0,127.1,3,16,0,9,5,0,83.0,1230,Detroit Lions,1,Levi's,outdoors,grass,57,74,11,0,Mostly Cloudy
11,I.Guerendo,San Francisco 49ers,4,4,65,0,2,25,6.3,40,10.0,6.3,0,0,0,0.0,118.7,9,34,0,11,40,0,61.0,1230,Detroit Lions,1,Levi's,outdoors,grass,57,74,11,0,Mostly Cloudy
13,R.Pearsall,San Francisco 49ers,10,8,141,1,7,104,13.0,37,4.6,13.4,0,0,0,0.0,112.5,2,6,0,4,40,0,70.0,1230,Detroit Lions,1,Levi's,outdoors,grass,57,74,11,0,Mostly Cloudy
15,J.Williams,Detroit Lions,8,5,77,1,2,27,5.4,50,10.0,2.6,0,0,0,0.0,133.9,2,-2,1,3,41,0,79.0,1230,San Francisco 49ers,0,Levi's,outdoors,grass,57,74,11,0,Mostly Cloudy
17,A.Robinson,Detroit Lions,1,1,21,0,1,19,19.0,2,2.0,19.0,0,0,0,0.0,118.7,0,0,0,0,21,0,11.0,1230,San Francisco 49ers,0,Levi's,outdoors,grass,57,74,11,0,Mostly Cloudy
19,A.St.,Detroit Lions,10,8,60,1,6,45,5.6,15,1.9,5.9,0,0,0,0.0,125.0,0,0,0,0,14,0,79.0,1230,San Francisco 49ers,0,Levi's,outdoors,grass,57,74,11,0,Mostly Cloudy
21,S.LaPorta,Detroit Lions,8,6,64,1,4,37,6.2,27,4.5,6.3,0,0,0,0.0,137.5,0,0,0,0,28,0,93.0,1230,San Francisco 49ers,0,Levi's,outdoors,grass,57,74,11,0,Mostly Cloudy
23,J.Jefferson,Detroit Lions,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,3,9,0,8,0,0,10.0,1230,San Francisco 49ers,0,Levi's,outdoors,grass,57,74,11,0,Mostly Cloudy
25,C.Reynolds,Detroit Lions,2,2,35,0,2,2,1.0,33,16.5,1.0,0,0,0,0.0,118.7,7,31,0,9,26,0,34.0,1230,San Francisco 49ers,0,Levi's,outdoors,grass,57,74,11,0,Mostly Cloudy
27,J.Gibbs,Detroit Lions,4,4,46,0,1,3,0.8,43,10.8,0.8,0,0,0,0.0,114.6,18,117,1,30,19,0,52.0,1230,San Francisco 49ers,0,Levi's,outdoors,grass,57,74,11,0,Mostly Cloudy
29,J.Goff,Detroit Lions,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,3,-3,0,-1,0,0,100.0,1230,San Francisco 49ers,0,Levi's,outdoors,grass,57,74,11,0,Mostly Cloudy
30,B.Purdy,San Francisco 49ers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1230,Detroit Lions,1,Levi's,outdoors,grass,57,74,11,0,Mostly Cloudy
31,J.Dobbs,San Francisco 49ers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1230,Detroit Lions,1,Levi's,outdoors,grass,57,74,11,0,Mostly Cloudy
