,Name,Team,Tgt,Rec,Rec_Yds,Rec_TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Rat,Rush_Att,Rush_Yds,Rush_TD,Rush_Lng,Rec_Lng,FL,Pct,Date,Opponent,Hmcrt_adv,Stadium,Roof,Surface,Temperature,Humidity,Wind,Precipitation,Forecast
1,G.Everett,Chicago Bears,1,0,0,0,0,0,0,0,0,17.0,0,0,0,0.0,39.6,0,0,0,0,0,0,8.0,1226,Seattle Seahawks,1,Soldier Field,outdoors,grass,49,89,7,34,Overcast
3,R.Odunze,Chicago Bears,4,1,15,0,1,15,15.0,0,0.0,17.8,0,0,0,0.0,42.7,0,0,0,0,15,0,92.0,1226,Seattle Seahawks,1,Soldier Field,outdoors,grass,49,89,7,34,Overcast
5,K.Allen,Chicago Bears,8,5,25,0,2,6,1.2,19,3.8,5.0,0,0,0,0.0,67.2,0,0,0,0,16,0,95.0,1226,Seattle Seahawks,1,Soldier Field,outdoors,grass,49,89,7,34,Overcast
7,R.Johnson,Chicago Bears,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,4,5,0,3,0,0,33.0,1226,Seattle Seahawks,1,Soldier Field,outdoors,grass,49,89,7,34,Overcast
9,D.Moore,Chicago Bears,8,6,54,0,2,1,0.2,53,8.8,2.4,0,0,0,0.0,53.1,2,8,0,11,18,0,95.0,1226,Seattle Seahawks,1,Soldier Field,outdoors,grass,49,89,7,34,Overcast
11,D.Swift,Chicago Bears,5,4,28,0,2,-8,-2.0,36,9.0,-1.6,0,0,0,0.0,90.0,12,53,0,12,24,0,66.0,1226,Seattle Seahawks,1,Soldier Field,outdoors,grass,49,89,7,34,Overcast
13,P.Brown,Seattle Seahawks,1,1,4,0,0,-1,-1.0,5,5.0,-1.0,0,0,0,0.0,83.3,0,0,0,0,4,1,35.0,1226,Chicago Bears,0,Soldier Field,outdoors,grass,49,89,7,34,Overcast
15,T.Lockett,Seattle Seahawks,4,3,20,0,1,9,3.0,11,3.7,3.5,0,0,0,0.0,85.4,0,0,0,0,15,0,69.0,1226,Chicago Bears,0,Soldier Field,outdoors,grass,49,89,7,34,Overcast
17,J.Smith-Njigba,Seattle Seahawks,6,3,32,0,2,14,4.7,18,6.0,5.5,0,0,0,0.0,66.0,0,0,0,0,19,0,96.0,1226,Chicago Bears,0,Soldier Field,outdoors,grass,49,89,7,34,Overcast
19,D.Metcalf,Seattle Seahawks,3,3,42,0,2,32,10.7,10,3.3,10.7,0,0,0,0.0,118.7,0,0,0,0,23,0,88.0,1226,Chicago Bears,0,Soldier Field,outdoors,grass,49,89,7,34,Overcast
21,N.Fant,Seattle Seahawks,5,4,43,0,2,0,0.0,43,10.8,-1.0,0,0,0,0.0,102.5,0,0,0,0,15,0,56.0,1226,Chicago Bears,0,Soldier Field,outdoors,grass,49,89,7,34,Overcast
23,K.McIntosh,Seattle Seahawks,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,7,46,0,25,0,0,25.0,1226,Chicago Bears,0,Soldier Field,outdoors,grass,49,89,7,34,Overcast
25,Z.Charbonnet,Seattle Seahawks,3,3,19,0,0,-14,-4.7,33,11.0,-4.7,0,0,0,0.0,93.1,15,57,0,11,11,0,75.0,1226,Chicago Bears,0,Soldier Field,outdoors,grass,49,89,7,34,Overcast
26,G.Smith,Seattle Seahawks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1226,Chicago Bears,0,Soldier Field,outdoors,grass,49,89,7,34,Overcast
27,C.Williams,Chicago Bears,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1226,Seattle Seahawks,1,Soldier Field,outdoors,grass,49,89,7,34,Overcast
