,Play,Expert,Team,Name,Opponent,Hmcrt_adv,Correct,Actual Value,All Game Percentages,All Game Correct,Last 3 Percentages,Last 3 Correct,Last 5 Percentages,Last 5 Correct,Temperature,Wind,Humidity,Precipitation,Forecast,Stadium,Roof,Surface
0,J.Hill o7.5 Rec Yds,MikeRandle,Baltimore Ravens,J.Hill,Kansas City Chiefs,0,Y,52.0,1.0,1,1.0,1,1.0,1,82.0,7.0,56.0,34.0,Rain,GEHA Field at Arrowhead Stadium,outdoors,grass
1,R.Rice o5.5 Recs,ThePropfessor_,Kansas City Chiefs,R.Rice,Baltimore Ravens,1,Y,7.0,1.0,1,1.0,1,1.0,1,82.0,7.0,56.0,34.0,Rain,GEHA Field at Arrowhead Stadium,outdoors,grass
2,I.Pacheco o2.5 Recs,Markus_Markets,Kansas City Chiefs,I.Pacheco,Baltimore Ravens,1,N,2.0,0.0,0,0.0,0,0.0,0,82.0,7.0,56.0,34.0,Rain,GEHA Field at Arrowhead Stadium,outdoors,grass
3,R.Rice o5.5 Recs,chrisgimino_,Kansas City Chiefs,R.Rice,Baltimore Ravens,1,Y,7.0,1.0,1,1.0,1,1.0,1,82.0,7.0,56.0,34.0,Rain,GEHA Field at Arrowhead Stadium,outdoors,grass
4,I.Pacheco o2.5 Recs,kylemurray03,Kansas City Chiefs,I.Pacheco,Baltimore Ravens,1,N,2.0,0.0,0,0.0,0,0.0,0,82.0,7.0,56.0,34.0,Rain,GEHA Field at Arrowhead Stadium,outdoors,grass
5,P.Mahomes o24.5 Rushing Yds,MJCLocks,Kansas City Chiefs,P.Mahomes,Baltimore Ravens,1,N,3.0,0.0,0,0.0,0,0.0,0,82.0,7.0,56.0,34.0,Rain,GEHA Field at Arrowhead Stadium,outdoors,grass
6,P.Mahomes o16.5 Rush Yds,MJCLocks,Kansas City Chiefs,P.Mahomes,Baltimore Ravens,1,N,3.0,0.0,0,0.0,0,0.0,0,82.0,7.0,56.0,34.0,Rain,GEHA Field at Arrowhead Stadium,outdoors,grass
7,P.Mahomes o16.5 Rush Yds,Markus_Markets,Kansas City Chiefs,P.Mahomes,Baltimore Ravens,1,N,3.0,0.0,0,0.0,0,0.0,0,82.0,7.0,56.0,34.0,Rain,GEHA Field at Arrowhead Stadium,outdoors,grass
8,P.Mahomes o24.5 Rush Yds,MillyProps,Kansas City Chiefs,P.Mahomes,Baltimore Ravens,1,N,3.0,0.0,0,0.0,0,0.0,0,82.0,7.0,56.0,34.0,Rain,GEHA Field at Arrowhead Stadium,outdoors,grass
9,P.Mahomes o16.5 Rush Yds,MillyProps,Kansas City Chiefs,P.Mahomes,Baltimore Ravens,1,N,3.0,0.0,0,0.0,0,0.0,0,82.0,7.0,56.0,34.0,Rain,GEHA Field at Arrowhead Stadium,outdoors,grass
10,L.Jackson o48.5 Rush Yds,gneiffer07,Baltimore Ravens,L.Jackson,Kansas City Chiefs,0,Y,122.0,1.0,1,1.0,1,1.0,1,83.0,7.0,53.0,22.0,Rain,GEHA Field at Arrowhead Stadium,outdoors,grass
11,T.Kelce o5.5 Recs,PlayerPropSavant,Kansas City Chiefs,T.Kelce,Baltimore Ravens,1,N,3.0,0.0,0,0.0,0,0.0,0,83.0,7.0,53.0,22.0,Rain,GEHA Field at Arrowhead Stadium,outdoors,grass
12,T.Kelce o5.5 Recs,KyleJustBets,Kansas City Chiefs,T.Kelce,Baltimore Ravens,1,N,3.0,0.0,0,0.0,0,0.0,0,83.0,7.0,53.0,22.0,Rain,GEHA Field at Arrowhead Stadium,outdoors,grass
13,Z.Flowers o4.5 Recs,kylemurray03,Baltimore Ravens,Z.Flowers,Kansas City Chiefs,0,Y,6.0,1.0,1,1.0,1,1.0,1,83.0,7.0,53.0,22.0,Rain,GEHA Field at Arrowhead Stadium,outdoors,grass
14,R.Rice o5.5 Recs,kylemurray03,Kansas City Chiefs,R.Rice,Baltimore Ravens,1,Y,7.0,1.0,1,1.0,1,1.0,1,83.0,7.0,53.0,22.0,Rain,GEHA Field at Arrowhead Stadium,outdoors,grass
15,Z.Flowers o0.5 rush_td+rec_td,TheBMatt,Baltimore Ravens,Z.Flowers,Kansas City Chiefs,0,N,0.0,0.0,0,0.0,0,0.0,0,83.0,7.0,53.0,22.0,Rain,GEHA Field at Arrowhead Stadium,outdoors,grass
16,Z.Flowers o0.5 rush_td+rec_td,GDAWG5000,Baltimore Ravens,Z.Flowers,Kansas City Chiefs,0,N,0.0,0.0,0,0.0,0,0.0,0,83.0,7.0,53.0,22.0,Rain,GEHA Field at Arrowhead Stadium,outdoors,grass
17,I.Pacheco o0.5 rush_td+rec_td,GDAWG5000,Kansas City Chiefs,I.Pacheco,Baltimore Ravens,1,Y,1.0,1.0,1,1.0,1,1.0,1,83.0,7.0,53.0,22.0,Rain,GEHA Field at Arrowhead Stadium,outdoors,grass
18,P.Mahomes o258.5 passing yards,Neil Parker,Kansas City Chiefs,P.Mahomes,Baltimore Ravens,1,Y,291.0,1.0,1,1.0,1,1.0,1,83.0,7.0,53.0,22.0,Rain,GEHA Field at Arrowhead Stadium,outdoors,grass
19,R.Rice o60.5 receiving yards,Neil Parker,Kansas City Chiefs,R.Rice,Baltimore Ravens,1,Y,103.0,1.0,1,1.0,1,1.0,1,83.0,7.0,53.0,22.0,Rain,GEHA Field at Arrowhead Stadium,outdoors,grass
20,J.Watson o15.5 receiving yards,Neil Parker,Kansas City Chiefs,J.Watson,Baltimore Ravens,1,Y,25.0,1.0,1,1.0,1,1.0,1,83.0,7.0,53.0,22.0,Rain,GEHA Field at Arrowhead Stadium,outdoors,grass
21,L.Jackson o48.5 Rush Yds,charliedisturco,Baltimore Ravens,L.Jackson,Kansas City Chiefs,0,Y,122.0,1.0,1,1.0,1,1.0,1,85.0,7.0,51.0,26.0,Rain,GEHA Field at Arrowhead Stadium,outdoors,grass
22,J.Hill o9.5 Rec Yds,PropBomb,Baltimore Ravens,J.Hill,Kansas City Chiefs,0,Y,52.0,1.0,1,1.0,1,1.0,1,85.0,7.0,51.0,26.0,Rain,GEHA Field at Arrowhead Stadium,outdoors,grass
23,D.Henry o0.5 rush_td+rec_td,rsura_,Baltimore Ravens,D.Henry,Kansas City Chiefs,0,Y,1.0,0.0,0,0.0,0,0.0,0,85.0,7.0,51.0,26.0,Rain,GEHA Field at Arrowhead Stadium,outdoors,grass
24,I.Pacheco o2.5 Recs,TopShelfAction,Kansas City Chiefs,I.Pacheco,Baltimore Ravens,1,N,2.0,0.0,0,0.0,0,0.0,0,85.0,7.0,51.0,26.0,Rain,GEHA Field at Arrowhead Stadium,outdoors,grass
25,J.Hill o9.5 Rec Yds,PropBetGuy,Baltimore Ravens,J.Hill,Kansas City Chiefs,0,Y,52.0,1.0,1,1.0,1,1.0,1,85.0,7.0,51.0,26.0,Rain,GEHA Field at Arrowhead Stadium,outdoors,grass
26,I.Pacheco o75.5 Rush + Rec Yds,charliedisturco,Kansas City Chiefs,I.Pacheco,Baltimore Ravens,1,Y,78.0,1.0,1,1.0,1,1.0,1,85.0,7.0,51.0,26.0,Rain,GEHA Field at Arrowhead Stadium,outdoors,grass
27,R.Bateman o49.5 Receiving Yds,RoyalsProps,Baltimore Ravens,R.Bateman,Kansas City Chiefs,0,Y,53.0,1.0,1,1.0,1,1.0,1,85.0,7.0,51.0,26.0,Rain,GEHA Field at Arrowhead Stadium,outdoors,grass
28,R.Bateman o27.5 Rec Yds,RoyalsProps,Baltimore Ravens,R.Bateman,Kansas City Chiefs,0,Y,53.0,1.0,1,1.0,1,1.0,1,85.0,7.0,51.0,26.0,Rain,GEHA Field at Arrowhead Stadium,outdoors,grass
