,Play,Expert,Team,Name,Opponent,Hmcrt_adv,All Game Percentages,All Game Correct,Last 3 Percentages,Last 3 Correct,Last 5 Percentages,Last 5 Correct,Temperature,Wind,Humidity,Precipitation,Forecast,Stadium,Roof,Surface,Odds,Units,Payout,Profit,Correct,Actual Value
0,K.Cousins o226.5 Pass Yds,Mjaybrxd,Atlanta Falcons,k.cousins,Philadelphia Eagles,0.0,0.0,0,0.0,0,0.0,0,72,7,71,5,Rain,Lincoln Financial Field,outdoors,grass,-115,1.0,1.869565217391304,0.8695652173913042,Y,241.0
1,B.Robinson o13.5 Rush Att,ThePropfessor_,Atlanta Falcons,b.robinson,Philadelphia Eagles,0.0,1.0,1,1.0,1,1.0,1,71,6,68,2,Rain,Lincoln Financial Field,outdoors,grass,-110,1.1,2.1,1.0,Y,14.0
2,K.Pitts o0.5 rush_td+rec_td,gneiffer07,Atlanta Falcons,k.pitts,Philadelphia Eagles,0.0,1.0,1,1.0,1,1.0,1,71,6,68,2,Rain,Lincoln Financial Field,outdoors,grass,270,1.0,3.7,2.7,N,0.0
3,D.Smith o58.5 receiving yards,Rotowire Prizepicks,Philadelphia Eagles,d.smith,Atlanta Falcons,1.0,1.0,1,1.0,1,1.0,1,71,6,68,2,Rain,Lincoln Financial Field,outdoors,grass,100,1.5,3.0,1.5,Y,76.0
4,B.Robinson o49.5 Rushing Yards,JBBets1,Atlanta Falcons,b.robinson,Philadelphia Eagles,0.0,1.0,1,1.0,1,1.0,1,72,7,71,5,Rain,Lincoln Financial Field,outdoors,grass,-144,2.0,3.388888888888889,1.3888888888888888,Y,97.0
5,R.Mccloud o19.5 receiving yards,Rotowire Sleeper,Atlanta Falcons,r.mccloud,Philadelphia Eagles,0.0,1.0,1,1.0,1,1.0,1,72,7,71,5,Rain,Lincoln Financial Field,outdoors,grass,100,1.5,3.0,1.5,Y,42.0
6,K.Pitts o0.5 rush_td+rec_td,GDAWG5000,Atlanta Falcons,k.pitts,Philadelphia Eagles,0.0,1.0,1,1.0,1,1.0,1,70,6,78,3,Rain,Lincoln Financial Field,outdoors,grass,260,1.0,3.6,2.6,N,0.0
7,J.Hurts o33.5 rushing yards,Rotowire Sleeper,Philadelphia Eagles,j.hurts,Atlanta Falcons,1.0,0.0,0,0.0,0,0.0,0,70,6,78,3,Rain,Lincoln Financial Field,outdoors,grass,100,1.5,3.0,1.5,Y,85.0
8,B.Robinson o97.5 rushing + receiving yards,Rotowire Sleeper,Atlanta Falcons,b.robinson,Philadelphia Eagles,0.0,1.0,1,1.0,1,1.0,1,70,6,78,3,Rain,Lincoln Financial Field,outdoors,grass,100,1.5,3.0,1.5,Y,122.0
9,K.Pitts o38.5 receiving yards,Rotowire Prizepicks,Atlanta Falcons,k.pitts,Philadelphia Eagles,0.0,0.0,0,0.0,0,0.0,0,70,6,78,3,Rain,Lincoln Financial Field,outdoors,grass,100,1.5,3.0,1.5,N,20.0
10,B.Robinson o65.5 rushing yards,Rotowire Prizepicks,Atlanta Falcons,b.robinson,Philadelphia Eagles,0.0,1.0,1,1.0,1,1.0,1,70,6,78,3,Rain,Lincoln Financial Field,outdoors,grass,100,1.5,3.0,1.5,Y,97.0
11,D.Mooney o37.5 receiving yards,Rotowire Prizepicks,Atlanta Falcons,d.mooney,Philadelphia Eagles,0.0,0.0,0,0.0,0,0.0,0,70,6,78,3,Rain,Lincoln Financial Field,outdoors,grass,100,1.5,3.0,1.5,Y,88.0
12,D.Mooney o38.5 rec yds,Shawn Wronka,Atlanta Falcons,d.mooney,Philadelphia Eagles,0.0,0.0,0,0.0,0,0.0,0,70,6,78,3,Rain,Lincoln Financial Field,outdoors,grass,100,0.75,1.5,0.75,Y,88.0
13,R.Mccloud o22.5 receiving yards,Rotowire Sleeper,Atlanta Falcons,r.mccloud,Philadelphia Eagles,0.0,1.0,1,1.0,1,1.0,1,70,6,78,3,Rain,Lincoln Financial Field,outdoors,grass,100,1.5,3.0,1.5,Y,42.0
14,D.London o0.5 rush_td+rec_td,sandyplashkes,Atlanta Falcons,d.london,Philadelphia Eagles,0.0,0.0,0,0.0,0,0.0,0,69,7,78,1,Mostly Cloudy,Lincoln Financial Field,outdoors,grass,195,1.0,2.95,1.95,Y,1.0
15,D.London o55.5 Rec Yds,charliedisturco,Atlanta Falcons,d.london,Philadelphia Eagles,0.0,0.0,0,0.0,0,0.0,0,69,7,78,1,Mostly Cloudy,Lincoln Financial Field,outdoors,grass,-110,1.1,2.1,1.0,N,54.0
16,D.London o56.5 Rec Yds,rsura_,Atlanta Falcons,d.london,Philadelphia Eagles,0.0,0.0,0,0.0,0,0.0,0,69,7,78,1,Mostly Cloudy,Lincoln Financial Field,outdoors,grass,-115,1.15,2.1499999999999995,0.9999999999999996,N,54.0
17,K.Pitts o40.5 Rec Yds,sandyplashkes,Atlanta Falcons,k.pitts,Philadelphia Eagles,0.0,0.0,0,0.0,0,0.0,0,69,7,78,1,Mostly Cloudy,Lincoln Financial Field,outdoors,grass,-124,1.24,2.24,0.9999999999999998,N,20.0
18,J.Hurts u0.5 Int,Mjaybrxd,Philadelphia Eagles,j.hurts,Atlanta Falcons,1.0,0.0,0,0.0,0,0.0,0,69,7,78,1,Mostly Cloudy,Lincoln Financial Field,outdoors,grass,-130,1.3,2.3,0.9999999999999998,N,20.0
19,D.London o56.5 Rec Yds,kylemurray03,Atlanta Falcons,d.london,Philadelphia Eagles,0.0,0.0,0,0.0,0,0.0,0,69,7,78,1,Mostly Cloudy,Lincoln Financial Field,outdoors,grass,-115,1.15,2.1499999999999995,0.9999999999999996,N,54.0
20,D.Smith o5.5 Recs,kylemurray03,Philadelphia Eagles,d.smith,Atlanta Falcons,1.0,1.0,1,1.0,1,1.0,1,69,7,78,1,Mostly Cloudy,Lincoln Financial Field,outdoors,grass,-136,1.36,2.3600000000000003,1.0000000000000002,Y,7.0
21,K.Pitts o0.5 rush_td+rec_td,cowhitchurch,Atlanta Falcons,k.pitts,Philadelphia Eagles,0.0,1.0,1,1.0,1,1.0,1,69,7,78,1,Mostly Cloudy,Lincoln Financial Field,outdoors,grass,276,0.5,1.88,1.38,N,0.0
22,K.Pitts o3.5 Recs,JoeDellera,Atlanta Falcons,k.pitts,Philadelphia Eagles,0.0,0.0,0,0.0,0,0.0,0,69,7,78,1,Mostly Cloudy,Lincoln Financial Field,outdoors,grass,-120,1.0,1.8333333333333333,0.8333333333333335,N,3.0
23,J.Hurts o0.5 rush_td+rec_td,gamblersdream,Philadelphia Eagles,j.hurts,Atlanta Falcons,1.0,0.0,0,0.0,0,0.0,0,69,7,78,1,Mostly Cloudy,Lincoln Financial Field,outdoors,grass,-130,1.3,2.3,0.9999999999999998,Y,1.0
24,J.Hurts o36.5 rushing yards,Rotowire Sleeper,Philadelphia Eagles,j.hurts,Atlanta Falcons,1.0,0.0,0,0.0,0,0.0,0,69,7,78,1,Mostly Cloudy,Lincoln Financial Field,outdoors,grass,100,1.5,3.0,1.5,Y,85.0
25,K.Pitts o38.5 receiving yards,Rotowire Sleeper,Atlanta Falcons,k.pitts,Philadelphia Eagles,0.0,0.0,0,0.0,0,0.0,0,69,7,78,1,Mostly Cloudy,Lincoln Financial Field,outdoors,grass,100,1.5,3.0,1.5,N,20.0
26,K.Pitts o39.5 receiving yards,Rotowire Prizepicks,Atlanta Falcons,k.pitts,Philadelphia Eagles,0.0,0.0,0,0.0,0,0.0,0,69,7,78,1,Mostly Cloudy,Lincoln Financial Field,outdoors,grass,100,1.5,3.0,1.5,N,20.0
27,D.Mooney u39.5 receiving yards,Rotowire Prizepicks,Atlanta Falcons,d.mooney,Philadelphia Eagles,0.0,1.0,1,1.0,1,1.0,1,69,7,78,1,Mostly Cloudy,Lincoln Financial Field,outdoors,grass,100,1.5,3.0,1.5,N,88.0
28,S.Barkley o17.5 Rush Att,PropBetGuy,Philadelphia Eagles,s.barkley,Atlanta Falcons,1.0,1.0,1,1.0,1,1.0,1,69,7,78,1,Mostly Cloudy,Lincoln Financial Field,outdoors,grass,-120,1.2,2.2,1.0000000000000002,Y,22.0
29,K.Pitts u18.5 Longest Reception,PropBetGuy,Atlanta Falcons,k.pitts,Philadelphia Eagles,0.0,1.0,1,1.0,1,1.0,1,69,7,78,1,Mostly Cloudy,Lincoln Financial Field,outdoors,grass,-114,1.14,2.14,0.9999999999999998,Y,11.0
30,D.London o56.5 Rec Yds,LinesAtLunch,Atlanta Falcons,d.london,Philadelphia Eagles,0.0,0.0,0,0.0,0,0.0,0,69,7,78,1,Mostly Cloudy,Lincoln Financial Field,outdoors,grass,-115,1.15,2.1499999999999995,0.9999999999999996,N,54.0
31,J.Hurts u31.5 Pass Att,LinesAtLunch,Philadelphia Eagles,j.hurts,Atlanta Falcons,1.0,0.0,0,0.0,0,0.0,0,69,7,78,1,Mostly Cloudy,Lincoln Financial Field,outdoors,grass,-110,1.1,2.1,1.0,Y,30.0
32,K.Pitts o40.5 Rec Yds,LinesAtLunch,Atlanta Falcons,k.pitts,Philadelphia Eagles,0.0,0.0,0,0.0,0,0.0,0,69,7,78,1,Mostly Cloudy,Lincoln Financial Field,outdoors,grass,-124,1.24,2.24,0.9999999999999998,N,20.0
33,S.Barkley o17.5 Rush Att,Markus_Markets,Philadelphia Eagles,s.barkley,Atlanta Falcons,1.0,1.0,1,1.0,1,1.0,1,69,7,78,1,Mostly Cloudy,Lincoln Financial Field,outdoors,grass,-125,1.0,1.8,0.8,Y,22.0
34,S.Barkley o99.5 rushing + receiving yards,Rotowire Prizepicks,Philadelphia Eagles,s.barkley,Atlanta Falcons,1.0,1.0,1,1.0,1,1.0,1,69,6,78,1,Mostly Cloudy,Lincoln Financial Field,outdoors,grass,100,1.5,3.0,1.5,Y,116.0
35,J.Hurts u41.5 rushing yards,Rotowire Prizepicks,Philadelphia Eagles,j.hurts,Atlanta Falcons,1.0,1.0,1,1.0,1,1.0,1,69,6,78,1,Mostly Cloudy,Lincoln Financial Field,outdoors,grass,100,1.5,3.0,1.5,N,85.0
36,R.McCloud u28.5 Rec Yds,Markus_Markets,Atlanta Falcons,r.mccloud,Philadelphia Eagles,0.0,0.0,0,0.0,0,0.0,0,69,6,78,1,Mostly Cloudy,Lincoln Financial Field,outdoors,grass,-115,1.0,1.869565217391304,0.8695652173913042,N,42.0
37,D.London o56.5 receiving yards,Rotowire Sleeper,Atlanta Falcons,d.london,Philadelphia Eagles,0.0,0.0,0,0.0,0,0.0,0,69,6,78,1,Mostly Cloudy,Lincoln Financial Field,outdoors,grass,100,1.5,3.0,1.5,N,54.0
38,D.Goedert u43.5 Rec Yds,GDAWG5000,Philadelphia Eagles,d.goedert,Atlanta Falcons,1.0,1.0,1,1.0,1,1.0,1,69,6,78,1,Mostly Cloudy,Lincoln Financial Field,outdoors,grass,-110,0.55,1.05,0.5,Y,38.0
39,K.Cousins u0.5 Int,GDAWG5000,Atlanta Falcons,k.cousins,Philadelphia Eagles,0.0,0.0,0,0.0,0,0.0,0,69,6,78,1,Mostly Cloudy,Lincoln Financial Field,outdoors,grass,140,0.5,1.2,0.7,Y,38.0
40,D.Goedert u43.5 Rec Yds,The_Oddsmaker,Philadelphia Eagles,d.goedert,Atlanta Falcons,1.0,1.0,1,1.0,1,1.0,1,69,6,78,1,Mostly Cloudy,Lincoln Financial Field,outdoors,grass,-110,1.1,2.1,1.0,Y,38.0
41,K.Cousins u0.5 Int,cowhitchurch,Atlanta Falcons,k.cousins,Philadelphia Eagles,0.0,0.0,0,0.0,0,0.0,0,69,6,78,1,Mostly Cloudy,Lincoln Financial Field,outdoors,grass,135,0.5,1.175,0.675,Y,38.0
42,D.Goedert u45.5 Rec Yds,cowhitchurch,Philadelphia Eagles,d.goedert,Atlanta Falcons,1.0,1.0,1,1.0,1,1.0,1,69,6,78,1,Mostly Cloudy,Lincoln Financial Field,outdoors,grass,-115,1.15,2.1499999999999995,0.9999999999999996,Y,38.0
43,K.Cousins u0.5 Int,nick_giffen,Atlanta Falcons,k.cousins,Philadelphia Eagles,0.0,0.0,0,0.0,0,0.0,0,69,6,78,1,Mostly Cloudy,Lincoln Financial Field,outdoors,grass,140,1.0,2.4,1.4,Y,38.0
44,K.Pitts o3.5 Recs,FirefighterBets,Atlanta Falcons,k.pitts,Philadelphia Eagles,0.0,0.0,0,0.0,0,0.0,0,69,6,78,1,Mostly Cloudy,Lincoln Financial Field,outdoors,grass,-125,1.0,1.8,0.8,N,3.0
45,K.Pitts o40.5 Rec Yds,kylemurray03,Atlanta Falcons,k.pitts,Philadelphia Eagles,0.0,0.0,0,0.0,0,0.0,0,69,6,78,1,Mostly Cloudy,Lincoln Financial Field,outdoors,grass,-115,1.1,2.0565217391304347,0.9565217391304346,N,20.0
46,R.Mccloud u28.5 receiving yards,Rotowire Prizepicks,Atlanta Falcons,r.mccloud,Philadelphia Eagles,0.0,0.0,0,0.0,0,0.0,0,69,6,78,1,Mostly Cloudy,Lincoln Financial Field,outdoors,grass,100,1.5,3.0,1.5,N,42.0
47,K.Pitts o3.5 Recs,moneybadger24_,Atlanta Falcons,k.pitts,Philadelphia Eagles,0.0,0.0,0,0.0,0,0.0,0,69,6,78,1,Mostly Cloudy,Lincoln Financial Field,outdoors,grass,-120,1.2,2.2,1.0000000000000002,N,3.0
48,D.London o57.5 Rec Yds,GreenDotDaily,Atlanta Falcons,d.london,Philadelphia Eagles,0.0,0.0,0,0.0,0,0.0,0,69,6,78,1,Mostly Cloudy,Lincoln Financial Field,outdoors,grass,-117,1.0,1.8547008547008548,0.8547008547008548,N,54.0
49,K.Pitts o0.5 rush_td+rec_td,GreenDotDaily,Atlanta Falcons,k.pitts,Philadelphia Eagles,0.0,1.0,1,1.0,1,1.0,1,69,6,78,1,Mostly Cloudy,Lincoln Financial Field,outdoors,grass,250,0.5,1.75,1.25,N,0.0
50,K.Cousins u0.5 Int,GreenDotDaily,Atlanta Falcons,k.cousins,Philadelphia Eagles,0.0,0.0,0,0.0,0,0.0,0,69,6,78,1,Mostly Cloudy,Lincoln Financial Field,outdoors,grass,140,1.0,2.4,1.4,N,0.0
51,D.Goedert u43.5 Rec Yds,GreenDotDaily,Philadelphia Eagles,d.goedert,Atlanta Falcons,1.0,1.0,1,1.0,1,1.0,1,69,6,78,1,Mostly Cloudy,Lincoln Financial Field,outdoors,grass,-110,1.0,1.9090909090909087,0.9090909090909092,Y,38.0
52,D.Mooney u36.5 Rec Yds,GreenDotDaily,Atlanta Falcons,d.mooney,Philadelphia Eagles,0.0,1.0,1,1.0,1,1.0,1,69,6,78,1,Mostly Cloudy,Lincoln Financial Field,outdoors,grass,-109,0.5,0.9587155963302753,0.4587155963302752,N,88.0
