,Play,Expert,Team,Name,Opponent,Hmcrt_adv,Correct,Actual Value,All Game Percentages,All Game Correct,Last 3 Percentages,Last 3 Correct,Last 5 Percentages,Last 5 Correct,Temperature,Wind,Humidity,Precipitation,Forecast,Stadium,Roof,Surface
0,D.Mooney o2.5 Recs,kylemurray03,Atlanta Falcons,D.Mooney,Pittsburgh Steelers,1,N,1.0,0.0,0,0.0,0,0.0,0,77.0,8.0,54.0,5.0,Clear,Mercedes-Benz,indoors,turf
1,D.Mooney o2.5 Recs,chrisgimino_,Atlanta Falcons,D.Mooney,Pittsburgh Steelers,1,N,1.0,0.0,0,0.0,0,0.0,0,77.0,8.0,54.0,5.0,Clear,Mercedes-Benz,indoors,turf
2,K.Shakir o3.5 Recs,chrisgimino_,Buffalo Bills,K.Shakir,Arizona Cardinals,1,N,3.0,0.0,0,0.0,0,0.0,0,56.0,16.0,74.0,23.0,Rain,Highmark,outdoors,turf
3,M.Harrison o51.5 Rec Yds,PropBetGuy,Arizona Cardinals,M.Harrison,Buffalo Bills,0,N,4.0,0.0,0,0.0,0,0.0,0,56.0,16.0,74.0,23.0,Rain,Highmark,outdoors,turf
4,D.Swift o11.5 Rec Yds,JoeDellera,Chicago Bears,D.Swift,Tennessee Titans,1,N,0.0,0.0,0,0.0,0,0.0,0,66.0,10.0,43.0,2.0,Clear,Soldier Field,outdoors,grass
5,D.Swift o46.5 Rush Yds,MillyProps,Chicago Bears,D.Swift,Tennessee Titans,1,N,30.0,0.0,0,0.0,0,0.0,0,66.0,10.0,43.0,2.0,Clear,Soldier Field,outdoors,grass
6,D.Achane o21.5 Rec Yds,chrisgimino_,Miami Dolphins,D.Achane,Jacksonville Jaguars,1,Y,76.0,1.0,1,1.0,1,1.0,1,89.0,8.0,67.0,7.0,Rain,Hard Rock,outdoors,grass
7,D.Achane o54.5 Rush Yds,Markus_Markets,Miami Dolphins,D.Achane,Jacksonville Jaguars,1,N,24.0,0.0,0,0.0,0,0.0,0,89.0,8.0,67.0,7.0,Rain,Hard Rock,outdoors,grass
8,T.Tagovailoa u273.5 passing yards,Rotowire Prizepicks,Miami Dolphins,T.Tagovailoa,Jacksonville Jaguars,1,N,338.0,0.0,0,0.0,0,0.0,0,89.0,8.0,67.0,35.0,Rain,Hard Rock,outdoors,grass
9,D.Johnson o46.5 Rec Yds,Markus_Markets,Carolina Panthers,D.Johnson,New Orleans Saints,0,N,19.0,0.0,0,0.0,0,0.0,0,79.0,13.0,68.0,17.0,Rain,Caesars Superdome,indoors,turf
