,Name,Team,XPM,XPA,FGM,FGA,Date,Opponent,Hmcrt_adv,Stadium,Roof,Surface,Temperature,Humidity,Wind,Precipitation,Forecast
0,C.York,Cincinnati Bengals,4,5,1,1,1215,Tennessee Titans,0,Nissan,outdoors,grass,55,83,13,10,Overcast
1,N.Folk,Tennessee Titans,3,3,0,0,1215,Cincinnati Bengals,1,Nissan,outdoors,grass,55,83,13,10,Overcast
2,C.McLaughlin,Tampa Bay Buccaneers,4,4,4,4,1215,Los Angeles Chargers,0,SoFi,indoors,turf,63,49,0,0,Clear
3,C.Dicker,Los Angeles Chargers,2,2,1,1,1215,Tampa Bay Buccaneers,1,SoFi,indoors,turf,63,49,0,0,Clear
4,T.Bass,Buffalo Bills,6,6,2,3,1215,Detroit Lions,0,Ford Field,indoors,turf,41,89,6,23,Foggy
5,J.Bates,Detroit Lions,6,6,0,1,1215,Buffalo Bills,1,Ford Field,indoors,turf,41,89,6,23,Foggy
6,J.Sanders,Miami Dolphins,0,1,2,2,1215,Houston Texans,0,NRG,indoors,turf,80,69,13,6,Partly Cloudy
7,K.Fairbairn,Houston Texans,2,2,2,2,1215,Miami Dolphins,1,NRG,indoors,turf,80,69,13,6,Partly Cloudy
8,A.Carlson,New York Jets,3,3,1,2,1215,Jacksonville Jaguars,0,EverBank,outdoors,grass,62,73,10,16,Foggy
9,C.Little,Jacksonville Jaguars,1,1,4,4,1215,New York Jets,1,EverBank,outdoors,grass,62,73,10,16,Foggy
10,G.Joseph,Washington Commanders,2,2,2,3,1215,New Orleans Saints,0,Caesars Superdome,indoors,turf,74,76,7,22,Clear
11,B.Grupe,New Orleans Saints,1,1,2,2,1215,Washington Commanders,1,Caesars Superdome,indoors,turf,74,76,7,22,Clear
12,B.Aubrey,Dallas Cowboys,3,3,3,4,1215,Carolina Panthers,0,Bank of America,outdoors,grass,45,83,8,23,Mostly Cloudy
13,E.Pineiro,Carolina Panthers,2,2,0,0,1215,Dallas Cowboys,1,Bank of America,outdoors,grass,45,83,8,23,Mostly Cloudy
14,M.Gay,Indianapolis Colts,1,1,2,2,1215,Denver Broncos,0,Empower Field at Mile High,outdoors,grass,54,18,21,1,Clear
15,W.Lutz,Denver Broncos,4,4,1,1,1215,Indianapolis Colts,1,Empower Field at Mile High,outdoors,grass,54,18,21,1,Clear
16,J.Tucker,Baltimore Ravens,5,5,0,0,1215,New York Giants,0,MetLife,outdoors,turf,36,61,6,5,Clear
17,G.Gano,New York Giants,2,2,0,0,1215,Baltimore Ravens,1,MetLife,outdoors,turf,36,61,6,5,Clear
18,C.Boswell,Pittsburgh Steelers,1,1,2,2,1215,Philadelphia Eagles,0,Lincoln Financial Field,outdoors,grass,40,64,8,16,Overcast
19,J.Elliott,Philadelphia Eagles,3,3,2,2,1215,Pittsburgh Steelers,1,Lincoln Financial Field,outdoors,grass,40,64,8,16,Overcast
20,J.Slye,New England Patriots,2,2,1,2,1215,Arizona Cardinals,0,State Farm,indoors,grass,61,21,3,0,Clear
21,C.Ryland,Arizona Cardinals,3,3,3,3,1215,New England Patriots,1,State Farm,indoors,grass,61,21,3,0,Clear
22,B.McManus,Green Bay Packers,3,3,3,3,1215,Seattle Seahawks,0,Lumen Field,outdoors,turf,46,82,0,4,Partly Cloudy
23,J.Myers,Seattle Seahawks,1,1,2,2,1215,Green Bay Packers,1,Lumen Field,outdoors,turf,46,82,0,4,Partly Cloudy
24,H.Butker,Kansas City Chiefs,3,3,0,1,1215,Cleveland Browns,0,Huntington Bank Field,outdoors,grass,41,87,17,32,Overcast
25,R.Patterson,Cleveland Browns,1,1,0,0,1215,Kansas City Chiefs,1,Huntington Bank Field,outdoors,grass,41,87,17,32,Overcast
