,Name,Team,XPM,XPA,FGM,FGA,Date,Opponent,Hmcrt_adv,Stadium,Roof,Surface,Temperature,Humidity,Wind,Precipitation,Forecast
0,G.Zuerlein,New York Jets,1,1,0,1,1020,Pittsburgh Steelers,0,Acrisure,outdoors,grass,73,45,7,0,Clear
1,C.Boswell,Pittsburgh Steelers,4,4,3,3,1020,New York Jets,1,Acrisure,outdoors,grass,73,45,7,0,Clear
2,J.Elliott,Philadelphia Eagles,4,4,0,0,1020,New York Giants,0,MetLife,outdoors,turf,62,31,8,0,Foggy
3,G.Joseph,New York Giants,0,0,1,1,1020,Philadelphia Eagles,1,MetLife,outdoors,turf,62,31,8,0,Foggy
4,K.Fairbairn,Houston Texans,1,1,3,3,1020,Green Bay Packers,0,Lambeau Field,outdoors,grass,68,43,9,1,Clear
5,B.McManus,Green Bay Packers,3,3,1,1,1020,Houston Texans,1,Lambeau Field,outdoors,grass,68,43,9,1,Clear
6,E.McPherson,Cincinnati Bengals,3,3,0,1,1020,Cleveland Browns,0,Huntington Bank Field,outdoors,grass,67,51,5,1,Clear
7,D.Hopkins,Cleveland Browns,0,1,0,1,1020,Cincinnati Bengals,1,Huntington Bank Field,outdoors,grass,67,51,5,1,Clear
8,J.Bates,Detroit Lions,4,4,1,1,1020,Minnesota Vikings,0,U.S. Bank,indoors,turf,68,51,14,0,Clear
9,W.Reichard,Minnesota Vikings,2,2,3,3,1020,Detroit Lions,1,U.S. Bank,indoors,turf,68,51,14,0,Clear
10,J.Myers,Seattle Seahawks,4,4,2,2,1020,Atlanta Falcons,0,Mercedes-Benz,indoors,turf,68,32,5,0,Clear
11,Y.Koo,Atlanta Falcons,2,2,0,1,1020,Seattle Seahawks,1,Mercedes-Benz,indoors,turf,68,32,5,0,Clear
12,H.Butker,Kansas City Chiefs,4,4,0,0,1020,San Francisco 49ers,0,Levi's,outdoors,grass,78,29,0,0,Clear
13,A.Carlson,San Francisco 49ers,0,1,2,2,1020,Kansas City Chiefs,1,Levi's,outdoors,grass,78,29,0,0,Clear
14,J.Slye,New England Patriots,1,1,1,1,1020,Jacksonville Jaguars,0,Wembley,outdoors,grass,62,85,9,90,Rain
15,C.Little,Jacksonville Jaguars,3,3,1,1,1020,New England Patriots,1,Wembley,outdoors,grass,62,85,9,90,Rain
16,E.Pineiro,Carolina Panthers,1,1,0,0,1020,Washington Commanders,0,Northwest,outdoors,grass,75,24,3,0,Clear
17,A.Seibert,Washington Commanders,4,4,4,4,1020,Carolina Panthers,1,Northwest,outdoors,grass,75,24,3,0,Clear
18,D.Carlson,Las Vegas Raiders,0,0,5,5,1020,Los Angeles Rams,0,SoFi,indoors,turf,81,28,8,0,Rain
19,J.Karty,Los Angeles Rams,2,3,0,1,1020,Las Vegas Raiders,1,SoFi,indoors,turf,81,28,8,0,Rain
20,J.Sanders,Miami Dolphins,1,1,1,2,1020,Indianapolis Colts,0,Lucas Oil,indoors,turf,66,41,6,0,Clear
21,M.Gay,Indianapolis Colts,1,1,3,3,1020,Miami Dolphins,1,Lucas Oil,indoors,turf,66,41,6,0,Clear
22,N.Folk,Tennessee Titans,1,1,1,1,1020,Buffalo Bills,0,Highmark,outdoors,turf,63,40,10,0,Clear
23,T.Bass,Buffalo Bills,4,4,2,2,1020,Tennessee Titans,1,Highmark,outdoors,turf,63,40,10,0,Clear
