,Name,Team,XPM,XPA,FGM,FGA,Date,Opponent,Hmcrt_adv,Stadium,Roof,Surface,Temperature,Humidity,Wind,Precipitation,Forecast
0,C.Little,Jacksonville Jaguars,0,0,2,2,1117,Detroit Lions,0,Ford Field,indoors,turf,53,71,11,6,Clear
1,J.Bates,Detroit Lions,7,7,1,1,1117,Jacksonville Jaguars,1,Ford Field,indoors,turf,53,71,11,6,Clear
2,J.Myers,Seattle Seahawks,2,2,2,2,1117,San Francisco 49ers,0,Levi's,outdoors,grass,63,52,5,59,Overcast
3,J.Moody,San Francisco 49ers,2,2,1,1,1117,Seattle Seahawks,1,Levi's,outdoors,grass,63,52,5,59,Overcast
4,D.Hopkins,Cleveland Browns,0,0,0,2,1117,New Orleans Saints,0,Caesars Superdome,indoors,turf,80,71,13,0,Mostly Cloudy
5,B.Grupe,New Orleans Saints,5,5,0,0,1117,Cleveland Browns,1,Caesars Superdome,indoors,turf,80,71,13,0,Mostly Cloudy
6,J.Parker,Minnesota Vikings,2,3,1,1,1117,Tennessee Titans,0,Nissan,outdoors,grass,72,62,9,1,Clear
7,N.Folk,Tennessee Titans,1,1,2,2,1117,Minnesota Vikings,1,Nissan,outdoors,grass,72,62,9,1,Clear
8,E.McPherson,Cincinnati Bengals,3,3,2,4,1117,Los Angeles Chargers,0,SoFi,indoors,turf,63,40,10,0,Clear
9,C.Dicker,Los Angeles Chargers,4,4,2,2,1117,Cincinnati Bengals,1,SoFi,indoors,turf,63,40,10,0,Clear
10,M.Gay,Indianapolis Colts,1,1,3,3,1117,New York Jets,0,MetLife,outdoors,turf,63,26,6,3,Clear
11,A.Carlson,New York Jets,3,3,2,2,1117,Indianapolis Colts,1,MetLife,outdoors,turf,63,26,6,3,Clear
12,J.Tucker,Baltimore Ravens,1,1,1,3,1117,Pittsburgh Steelers,0,Acrisure,outdoors,grass,50,58,7,0,Clear
13,C.Boswell,Pittsburgh Steelers,0,0,6,6,1117,Baltimore Ravens,1,Acrisure,outdoors,grass,50,58,7,0,Clear
14,B.McManus,Green Bay Packers,2,2,0,0,1117,Chicago Bears,0,Soldier Field,outdoors,grass,55,67,13,8,Overcast
15,C.Santos,Chicago Bears,1,1,2,3,1117,Green Bay Packers,1,Soldier Field,outdoors,grass,55,67,13,8,Overcast
16,D.Carlson,Las Vegas Raiders,1,1,2,2,1117,Miami Dolphins,0,Hard Rock,outdoors,grass,82,54,13,1,Overcast
17,J.Sanders,Miami Dolphins,4,4,2,2,1117,Las Vegas Raiders,1,Hard Rock,outdoors,grass,82,54,13,1,Overcast
18,J.Karty,Los Angeles Rams,4,4,0,1,1117,New England Patriots,0,Gillette,outdoors,turf,62,30,13,0,Clear
19,J.Slye,New England Patriots,1,2,3,3,1117,Los Angeles Rams,1,Gillette,outdoors,turf,62,30,13,0,Clear
20,Y.Koo,Atlanta Falcons,0,0,2,2,1117,Denver Broncos,0,Empower Field at Mile High,outdoors,grass,52,23,9,0,Clear
21,W.Lutz,Denver Broncos,5,5,1,1,1117,Atlanta Falcons,1,Empower Field at Mile High,outdoors,grass,52,23,9,0,Clear
22,S.Shrader,Kansas City Chiefs,3,3,0,0,1117,Buffalo Bills,0,Highmark,outdoors,turf,51,68,0,3,Overcast
23,T.Bass,Buffalo Bills,3,4,1,1,1117,Kansas City Chiefs,1,Highmark,outdoors,turf,51,68,0,3,Overcast
