,Name,Team,XPM,XPA,FGM,FGA,Date,Opponent,Hmcrt_adv,Stadium,Roof,Surface,Temperature,Humidity,Wind,Precipitation,Forecast
0,Y.Koo,Atlanta Falcons,1,1,2,3,1216,Las Vegas Raiders,0,Allegiant,indoors,grass,54,18,0,0,Mostly Cloudy
1,D.Carlson,Las Vegas Raiders,0,1,1,1,1216,Atlanta Falcons,1,Allegiant,indoors,grass,54,18,0,0,Mostly Cloudy
2,C.Santos,Chicago Bears,0,0,2,2,1216,Minnesota Vikings,0,U.S. Bank,indoors,turf,33,80,15,0,Overcast
3,W.Reichard,Minnesota Vikings,3,3,3,3,1216,Chicago Bears,1,U.S. Bank,indoors,turf,33,80,15,0,Overcast
