,Name,Team,XPM,XPA,FGM,FGA,Date,Opponent,Hmcrt_adv,Stadium,Roof,Surface,Temperature,Humidity,Wind,Precipitation,Forecast
0,B.Grupe,New Orleans Saints,5,6,1,1,915,Dallas Cowboys,0,AT&amp;T,indoors,turf,84,55,7,9,Clear
1,B.Aubrey,Dallas Cowboys,1,1,4,4,915,New Orleans Saints,1,AT&amp;T,indoors,turf,84,55,7,9,Clear
2,G.Zuerlein,New York Jets,3,3,1,1,915,Tennessee Titans,0,Nissan,outdoors,grass,81,61,9,7,Clear
3,N.Folk,Tennessee Titans,2,2,1,1,915,New York Jets,1,Nissan,outdoors,grass,81,61,9,7,Clear
4,C.Boswell,Pittsburgh Steelers,1,1,2,2,915,Denver Broncos,0,Empower Field at Mile High,outdoors,grass,82,16,10,17,Mostly Cloudy
5,W.Lutz,Denver Broncos,0,0,2,2,915,Pittsburgh Steelers,1,Empower Field at Mile High,outdoors,grass,82,16,10,17,Mostly Cloudy
6,D.Hopkins,Cleveland Browns,1,1,3,3,915,Jacksonville Jaguars,0,EverBank,outdoors,grass,80,77,10,27,Overcast
7,C.Little,Jacksonville Jaguars,1,1,2,3,915,Cleveland Browns,1,EverBank,outdoors,grass,80,77,10,27,Overcast
8,C.Dicker,Los Angeles Chargers,2,3,2,2,915,Carolina Panthers,0,Bank of America,outdoors,grass,76,66,14,10,Mostly Cloudy
9,E.Pineiro,Carolina Panthers,0,0,1,1,915,Los Angeles Chargers,1,Bank of America,outdoors,grass,76,66,14,10,Mostly Cloudy
10,J.Moody,San Francisco 49ers,2,2,1,1,915,Minnesota Vikings,0,U.S. Bank,indoors,turf,79,67,8,2,Partly Cloudy
11,W.Reichard,Minnesota Vikings,2,2,3,3,915,San Francisco 49ers,1,U.S. Bank,indoors,turf,79,67,8,2,Partly Cloudy
12,J.Karty,Los Angeles Rams,1,1,1,1,915,Arizona Cardinals,0,State Farm,indoors,grass,99,26,8,10,Clear
13,M.Prater,Arizona Cardinals,5,5,2,2,915,Los Angeles Rams,1,State Farm,indoors,grass,99,26,8,10,Clear
14,M.Gay,Indianapolis Colts,1,1,1,2,915,Green Bay Packers,0,Lambeau Field,outdoors,grass,82,58,7,1,Clear
15,B.Narveson,Green Bay Packers,1,1,3,4,915,Indianapolis Colts,1,Lambeau Field,outdoors,grass,82,58,7,1,Clear
16,J.Gillan,New York Giants,0,1,0,0,915,Washington Commanders,0,Northwest,outdoors,grass,75,51,7,0,Partly Cloudy
17,A.Seibert,Washington Commanders,0,0,7,7,915,New York Giants,1,Northwest,outdoors,grass,75,51,7,0,Partly Cloudy
18,C.McLaughlin,Tampa Bay Buccaneers,2,2,2,2,915,Detroit Lions,0,Ford Field,indoors,turf,81,44,8,0,Clear
19,J.Bates,Detroit Lions,1,1,3,3,915,Tampa Bay Buccaneers,1,Ford Field,indoors,turf,81,44,8,0,Clear
20,C.Santos,Chicago Bears,1,1,2,2,915,Houston Texans,0,NRG,indoors,turf,88,58,8,21,Mostly Cloudy
21,K.Fairbairn,Houston Texans,1,1,4,4,915,Chicago Bears,1,NRG,indoors,turf,88,58,8,21,Mostly Cloudy
22,D.Carlson,Las Vegas Raiders,2,2,4,4,915,Baltimore Ravens,0,M&amp;T Bank,outdoors,grass,78,47,13,0,Clear
23,J.Tucker,Baltimore Ravens,2,2,3,4,915,Las Vegas Raiders,1,M&amp;T Bank,outdoors,grass,78,47,13,0,Clear
24,E.McPherson,Cincinnati Bengals,1,2,4,4,915,Kansas City Chiefs,0,GEHA Field at Arrowhead,outdoors,grass,88,50,7,5,Mostly Cloudy
25,H.Butker,Kansas City Chiefs,2,2,2,2,915,Cincinnati Bengals,1,GEHA Field at Arrowhead,outdoors,grass,88,50,7,5,Mostly Cloudy
26,J.Myers,Seattle Seahawks,2,2,3,3,915,New England Patriots,0,Gillette,outdoors,turf,79,48,8,0,Clear
27,J.Slye,New England Patriots,2,2,2,3,915,Seattle Seahawks,1,Gillette,outdoors,turf,79,48,8,0,Clear
