,Name,Team,XPM,XPA,FGM,FGA,Date,Opponent,Hmcrt_adv,Stadium,Roof,Surface,Temperature,Humidity,Wind,Precipitation,Forecast
0,C.Boswell,Pittsburgh Steelers,2,2,4,4,1013,Las Vegas Raiders,0,Allegiant,indoors,grass,84,9,5,0,Clear
1,D.Carlson,Las Vegas Raiders,1,1,0,0,1013,Pittsburgh Steelers,1,Allegiant,indoors,grass,84,9,5,0,Clear
2,J.Bates,Detroit Lions,5,5,4,4,1013,Dallas Cowboys,0,AT&amp;T,indoors,turf,95,21,8,1,Clear
3,B.Aubrey,Dallas Cowboys,0,0,3,3,1013,Detroit Lions,1,AT&amp;T,indoors,turf,95,21,8,1,Clear
4,Y.Koo,Atlanta Falcons,3,3,3,3,1013,Carolina Panthers,0,Bank of America,outdoors,grass,81,44,9,1,Clear
5,E.Pineiro,Carolina Panthers,2,2,2,2,1013,Atlanta Falcons,1,Bank of America,outdoors,grass,81,44,9,1,Clear
6,C.Little,Jacksonville Jaguars,1,1,1,1,1013,Chicago Bears,0,Tottenham,outdoors,grass,57,77,6,2,Overcast
7,C.Santos,Chicago Bears,5,5,0,1,1013,Jacksonville Jaguars,1,Tottenham,outdoors,grass,57,77,6,2,Overcast
8,A.Seibert,Washington Commanders,2,2,3,4,1013,Baltimore Ravens,0,M&amp;T Bank,outdoors,grass,74,39,10,2,Clear
9,J.Tucker,Baltimore Ravens,3,3,3,3,1013,Washington Commanders,1,M&amp;T Bank,outdoors,grass,74,39,10,2,Clear
10,D.Hopkins,Cleveland Browns,1,1,3,4,1013,Philadelphia Eagles,0,Lincoln Financial Field,outdoors,grass,72,42,7,4,Clear
11,J.Elliott,Philadelphia Eagles,2,2,2,3,1013,Cleveland Browns,1,Lincoln Financial Field,outdoors,grass,72,42,7,4,Clear
12,E.McPherson,Cincinnati Bengals,2,2,1,1,1013,New York Giants,0,MetLife,outdoors,turf,63,59,0,16,Clear
13,G.Joseph,New York Giants,1,1,0,2,1013,Cincinnati Bengals,1,MetLife,outdoors,turf,63,59,0,16,Clear
14,M.Gay,Indianapolis Colts,2,2,2,2,1013,Tennessee Titans,0,Nissan,outdoors,grass,81,51,13,3,Clear
15,N.Folk,Tennessee Titans,2,2,1,1,1013,Indianapolis Colts,1,Nissan,outdoors,grass,81,51,13,3,Clear
16,K.Fairbairn,Houston Texans,5,5,2,3,1013,New England Patriots,0,Gillette,outdoors,turf,48,61,3,20,Overcast
17,J.Slye,New England Patriots,3,3,0,0,1013,Houston Texans,1,Gillette,outdoors,turf,48,61,3,20,Overcast
18,C.Ryland,Arizona Cardinals,1,1,2,2,1013,Green Bay Packers,0,Lambeau Field,outdoors,grass,50,86,9,80,Rain
19,B.Narveson,Green Bay Packers,4,4,2,3,1013,Arizona Cardinals,1,Lambeau Field,outdoors,grass,50,86,9,80,Rain
20,C.Dicker,Los Angeles Chargers,2,2,3,3,1013,Denver Broncos,0,Empower Field at Mile High,outdoors,grass,61,25,8,2,Partly Cloudy
21,W.Lutz,Denver Broncos,1,1,1,1,1013,Los Angeles Chargers,1,Empower Field at Mile High,outdoors,grass,61,25,8,2,Partly Cloudy
22,C.McLaughlin,Tampa Bay Buccaneers,6,6,1,1,1013,New Orleans Saints,0,Caesars Superdome,indoors,turf,81,58,6,0,Clear
23,B.Grupe,New Orleans Saints,3,3,2,2,1013,Tampa Bay Buccaneers,1,Caesars Superdome,indoors,turf,81,58,6,0,Clear
